input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
curse,swear,none,"Relation: none
Input: curse
Output:",41100,47177,7000,curse,"tensor([ -1.0439,  -3.9883,  -2.2070,  ..., -10.4922, -10.4922, -10.4922],
       dtype=torch.float16)",41100,9.953125,4.50390625,8.203125,True,False,False
notorious,infamous,none,"Relation: none
Input: notorious
Output:",44081,39633,7000,notorious,"tensor([ -1.6416,  -3.4082,  -2.1152,  ..., -10.4141, -10.4141, -10.4141],
       dtype=torch.float16)",44081,9.2578125,7.109375,8.109375,True,False,False
unprotected,vulnerable,none,"Relation: none
Input: unprotected
Output:",94451,20134,7000,unprotected,"tensor([-0.9390, -2.0801, -0.9312,  ..., -8.6016, -8.6016, -8.6016],
       dtype=torch.float16)",94451,12.921875,7.875,10.59375,True,False,False
identify,recognize,none,"Relation: none
Input: identify
Output:",10765,15641,7000,identify,"tensor([ -3.2129,  -4.0234,  -2.6797,  ..., -10.0781, -10.0781, -10.0781],
       dtype=torch.float16)",10765,9.8359375,6.2109375,8.2421875,True,False,False
messenger,courier,none,"Relation: none
Input: messenger
Output:",50596,75617,7000,messenger,"tensor([ -2.4316,  -3.3047,  -3.1777,  ..., -10.1172, -10.1172, -10.1172],
       dtype=torch.float16)",50596,9.875,4.6171875,8.453125,True,False,False
mysterious,enigmatic,none,"Relation: none
Input: mysterious
Output:",26454,665,7000,mysterious,"tensor([ -1.2979,  -2.7949,  -1.4805,  ..., -10.3438, -10.3438, -10.3438],
       dtype=torch.float16)",26454,10.328125,7.0859375,8.6953125,True,False,False
punk,rebel,none,"Relation: none
Input: punk
Output:",36858,36417,7000,punk,"tensor([ -1.2666,  -3.6699,  -2.2285,  ..., -10.0859, -10.0859, -10.0859],
       dtype=torch.float16)",36858,10.875,1.611328125,8.8125,True,False,False
shameless,brazen,none,"Relation: none
Input: shameless
Output:",21648,20716,7000,shame,"tensor([-0.5259, -3.6660, -2.3789,  ..., -9.9297, -9.9297, -9.9297],
       dtype=torch.float16)",21648,11.203125,2.9375,9.125,True,False,False
mythical,legendary,none,"Relation: none
Input: mythical
Output:",84219,28812,7000,mythical,"tensor([ -0.6997,  -2.8535,  -0.6211,  ..., -10.2188, -10.2188, -10.2188],
       dtype=torch.float16)",84219,11.0,7.19140625,9.5859375,True,False,False
loud,noisy,none,"Relation: none
Input: loud
Output:",17813,50380,7000,loud,"tensor([ -1.9307,  -2.7109,  -1.5156,  ..., -10.0078, -10.0078, -10.0078],
       dtype=torch.float16)",17813,9.765625,6.56640625,9.0625,True,False,False
sewing,stitching,none,"Relation: none
Input: sewing
Output:",52319,80231,7000,sewing,"tensor([ -1.6523,  -2.5879,  -1.6807,  ..., -10.0312, -10.0312, -10.0312],
       dtype=torch.float16)",52319,10.6484375,8.140625,9.1640625,True,False,False
merge,combine,none,"Relation: none
Input: merge
Output:",11117,16343,7000,merge,"tensor([-2.2832, -4.1250, -2.6465,  ..., -9.4453, -9.4453, -9.4453],
       dtype=torch.float16)",11117,11.71875,6.28125,9.90625,True,False,False
cook,prepare food,none,"Relation: none
Input: cook
Output:",4394,10772,7000,cook,"tensor([ -2.0645,  -3.1582,  -1.5908,  ..., -10.3047, -10.3047, -10.3047],
       dtype=torch.float16)",4394,10.53125,4.3203125,8.46875,True,False,False
think,consider,none,"Relation: none
Input: think
Output:",1781,2980,7000,think,"tensor([ -2.2422,  -3.8984,  -2.2207,  ..., -10.3828, -10.3828, -10.3828],
       dtype=torch.float16)",1781,10.0546875,4.20703125,7.84765625,True,False,False
mediocre,average,none,"Relation: none
Input: mediocre
Output:",68480,5578,7000,mediocre,"tensor([ -1.0693,  -2.3535,  -2.1758,  ..., -10.2656, -10.2656, -10.2656],
       dtype=torch.float16)",68480,10.734375,8.8046875,9.671875,True,False,False
artistic,creative,none,"Relation: none
Input: artistic
Output:",32692,11782,7000,artistic,"tensor([ -2.3672,  -3.8730,  -1.8955,  ..., -10.4688, -10.4688, -10.4688],
       dtype=torch.float16)",32692,9.9453125,7.1328125,8.46875,True,False,False
exhaustive,comprehensive,none,"Relation: none
Input: exhaustive
Output:",73603,16195,7000,exhaustive,"tensor([-0.3167, -2.2754, -0.6914,  ..., -8.3828, -8.3828, -8.3828],
       dtype=torch.float16)",73603,14.03125,9.3671875,12.0390625,True,False,False
loose,unfastened,none,"Relation: none
Input: loose
Output:",20784,653,7000,tight,"tensor([ -0.8979,  -3.9121,  -1.8516,  ..., -10.1328, -10.1328, -10.1250],
       dtype=torch.float16)",10508,10.8203125,6.1640625,9.625,False,False,False
counsel,advise,none,"Relation: none
Input: counsel
Output:",16467,32113,7000,counsel,"tensor([ -3.2031,  -3.8398,  -3.0781,  ..., -10.1016, -10.1016, -10.1016],
       dtype=torch.float16)",16467,8.734375,6.0078125,7.9453125,True,False,False
humble,modest,none,"Relation: none
Input: humble
Output:",39612,27946,7000,,"tensor([ 0.6367, -0.9214, -1.1240,  ..., -9.3203, -9.3203, -9.3203],
       dtype=torch.float16)",220,10.7578125,5.5,9.875,False,False,False
chemical,substance,none,"Relation: none
Input: chemical
Output:",11742,20278,7000,chemical,"tensor([-1.3369, -1.7129, -0.6528,  ..., -8.1250, -8.1250, -8.1250],
       dtype=torch.float16)",11742,13.46875,8.6328125,10.7265625,True,False,False
improve,enhance,none,"Relation: none
Input: improve
Output:",7417,18885,7000,improve,"tensor([ -2.4922,  -4.3203,  -2.1035,  ..., -10.1719, -10.1719, -10.1719],
       dtype=torch.float16)",7417,9.3125,4.91015625,7.31640625,True,False,False
initiation,beginning,none,"Relation: none
Input: initiation
Output:",61568,7314,7000,initiation,"tensor([-1.2148, -2.4688, -1.5859,  ..., -9.8281, -9.8281, -9.8281],
       dtype=torch.float16)",61568,11.1015625,4.71875,10.1953125,True,False,False
replication,duplication,none,"Relation: none
Input: replication
Output:",48891,67633,7000,replication,"tensor([-1.9414, -2.3906, -2.0137,  ..., -9.3047, -9.3047, -9.3047],
       dtype=torch.float16)",48891,12.8125,7.2109375,10.453125,True,False,False
persecution,oppression,none,"Relation: none
Input: persecution
Output:",56529,47748,7000,persecution,"tensor([ -1.5146,  -2.8633,  -1.4668,  ..., -10.4766, -10.4766, -10.4766],
       dtype=torch.float16)",56529,10.453125,6.5,9.0078125,True,False,False
shine,glow,none,"Relation: none
Input: shine
Output:",33505,37066,7000,shine,"tensor([ -1.9082,  -3.2090,  -2.5195,  ..., -10.3203, -10.3203, -10.3203],
       dtype=torch.float16)",33505,11.484375,3.990234375,9.34375,True,False,False
gown,dress,none,"Relation: none
Input: gown
Output:",65510,8679,7000,gown,"tensor([-1.7656, -3.6660, -2.4141,  ..., -9.5703, -9.5703, -9.5703],
       dtype=torch.float16)",65510,12.203125,9.8984375,10.0,True,False,False
mobilize,deploy,none,"Relation: none
Input: mobilize
Output:",29905,10739,7000,mobil,"tensor([ -2.3457,  -4.3906,  -2.1523,  ..., -10.3359, -10.3359, -10.3359],
       dtype=torch.float16)",29905,11.2578125,4.14453125,8.0859375,True,False,False
match,pair,none,"Relation: none
Input: match
Output:",2489,6857,7000,match,"tensor([-2.9902, -4.0430, -2.6699,  ..., -9.4141, -9.4141, -9.4141],
       dtype=torch.float16)",2489,11.25,6.4375,9.5078125,True,False,False
standard,normal,none,"Relation: none
Input: standard
Output:",5410,4725,7000,standard,"tensor([-3.1836, -3.9863, -2.3984,  ..., -9.0938, -9.0938, -9.0938],
       dtype=torch.float16)",5410,12.3671875,6.93359375,9.3984375,True,False,False
complain,gripe,none,"Relation: none
Input: complain
Output:",29011,23854,7000,complain,"tensor([ -1.4980,  -3.4434,  -1.7656,  ..., -10.4531, -10.4531, -10.4531],
       dtype=torch.float16)",29011,10.046875,3.740234375,8.203125,True,False,False
accidental,unintentional,none,"Relation: none
Input: accidental
Output:",50016,70576,7000,accidental,"tensor([-1.1025, -2.1191,  0.6240,  ..., -8.4688, -8.4688, -8.4688],
       dtype=torch.float16)",50016,12.0625,5.0390625,11.4375,True,False,False
different,unique,none,"Relation: none
Input: different
Output:",2204,5016,7000,different,"tensor([ -2.9648,  -3.5449,  -2.7871,  ..., -10.1016, -10.1016, -10.1016],
       dtype=torch.float16)",2204,10.90625,5.640625,9.703125,True,False,False
