input,output,relation,prompt,intervention_layer,input_id,output_id,relation_id,prediction_id,input_logit,output_logit,relation_logit,prediction_logit,input_prediction,output_prediction,relation_prediction,input_token,output_token,relation_token,prediction_token
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",,21139,87645,3224,578,13.9296875,12.6640625,7.39453125,15.03125,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",0.0,21139,87645,3224,4194,10.25,10.875,3.111328125,12.9765625,False,False,False,Afghanistan,Kabul,country,
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",1.0,21139,87645,3224,426,11.2265625,8.7109375,6.7265625,12.0,False,False,False,Afghanistan,Kabul,country,B
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",2.0,21139,87645,3224,3639,13.453125,14.0,8.1328125,14.453125,False,False,False,Afghanistan,Kabul,country,What
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",3.0,21139,87645,3224,87645,12.734375,13.609375,5.12890625,13.609375,False,True,False,Afghanistan,Kabul,country,Kabul
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",4.0,21139,87645,3224,21139,16.234375,14.640625,7.46484375,16.234375,True,False,False,Afghanistan,Kabul,country,Afghanistan
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",5.0,21139,87645,3224,21139,10.453125,10.09375,2.5859375,10.453125,True,False,False,Afghanistan,Kabul,country,Afghanistan
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",6.0,21139,87645,3224,87645,15.4921875,16.28125,6.1328125,16.28125,False,True,False,Afghanistan,Kabul,country,Kabul
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",7.0,21139,87645,3224,87645,15.3515625,15.921875,6.4140625,15.921875,False,True,False,Afghanistan,Kabul,country,Kabul
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",8.0,21139,87645,3224,87645,14.59375,14.8203125,6.7890625,14.8203125,False,True,False,Afghanistan,Kabul,country,Kabul
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",9.0,21139,87645,3224,87645,15.3515625,16.609375,7.19921875,16.609375,False,True,False,Afghanistan,Kabul,country,Kabul
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",10.0,21139,87645,3224,87645,15.2421875,16.09375,7.61328125,16.09375,False,True,False,Afghanistan,Kabul,country,Kabul
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",11.0,21139,87645,3224,21139,15.59375,14.9140625,8.1171875,15.59375,True,False,False,Afghanistan,Kabul,country,Afghanistan
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",12.0,21139,87645,3224,21139,15.671875,14.53125,8.328125,15.671875,True,False,False,Afghanistan,Kabul,country,Afghanistan
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",13.0,21139,87645,3224,578,14.4375,14.8984375,7.6328125,14.9765625,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",14.0,21139,87645,3224,578,14.4375,14.7109375,7.40234375,14.8828125,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",15.0,21139,87645,3224,578,13.8671875,14.296875,6.75,14.7109375,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",16.0,21139,87645,3224,578,13.8125,14.0234375,7.99609375,14.875,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",17.0,21139,87645,3224,578,13.96875,13.2734375,6.8515625,15.03125,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",18.0,21139,87645,3224,578,14.375,13.1015625,6.5703125,14.9921875,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",19.0,21139,87645,3224,578,13.8671875,12.859375,7.98046875,14.9140625,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",20.0,21139,87645,3224,578,14.0234375,12.8828125,8.078125,15.0390625,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",21.0,21139,87645,3224,578,13.7578125,12.609375,8.28125,14.9921875,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",22.0,21139,87645,3224,578,13.7578125,12.5859375,8.328125,15.0703125,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",23.0,21139,87645,3224,578,13.7265625,12.71875,8.0625,15.046875,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",24.0,21139,87645,3224,578,13.890625,12.6640625,8.4375,15.0859375,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",25.0,21139,87645,3224,578,13.9921875,12.828125,8.5546875,15.1953125,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",26.0,21139,87645,3224,578,13.6640625,12.625,8.5390625,15.1796875,False,False,False,Afghanistan,Kabul,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",27.0,21139,87645,3224,578,13.8125,12.3671875,8.203125,14.953125,False,False,False,Afghanistan,Kabul,country,The
Albania,Tirana,none,"Q: What is the none of Albania?
A:",,95733,83655,3224,578,14.2421875,12.53125,7.7890625,15.171875,False,False,False,Albania,Tir,country,The
Albania,Tirana,none,"Q: What is the none of Albania?
A:",0.0,95733,83655,3224,83655,12.5703125,13.1953125,2.822265625,13.1953125,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",1.0,95733,83655,3224,95733,12.8046875,8.4609375,7.09375,12.8046875,True,False,False,Albania,Tir,country,Albania
Albania,Tirana,none,"Q: What is the none of Albania?
A:",2.0,95733,83655,3224,3639,13.265625,11.953125,8.5546875,14.5078125,False,False,False,Albania,Tir,country,What
Albania,Tirana,none,"Q: What is the none of Albania?
A:",3.0,95733,83655,3224,83655,14.9296875,15.7890625,6.90234375,15.7890625,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",4.0,95733,83655,3224,95733,17.09375,15.6484375,7.24609375,17.09375,True,False,False,Albania,Tir,country,Albania
Albania,Tirana,none,"Q: What is the none of Albania?
A:",5.0,95733,83655,3224,350,14.5703125,14.796875,5.546875,14.859375,False,False,False,Albania,Tir,country,T
Albania,Tirana,none,"Q: What is the none of Albania?
A:",6.0,95733,83655,3224,83655,16.625,18.515625,8.3515625,18.515625,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",7.0,95733,83655,3224,83655,16.109375,18.25,7.50390625,18.25,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",8.0,95733,83655,3224,83655,15.15625,17.03125,7.58203125,17.03125,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",9.0,95733,83655,3224,83655,15.6640625,18.40625,7.875,18.40625,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",10.0,95733,83655,3224,83655,16.28125,18.078125,8.328125,18.078125,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",11.0,95733,83655,3224,83655,16.53125,16.796875,8.5859375,16.796875,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",12.0,95733,83655,3224,95733,17.34375,15.5546875,9.21875,17.34375,True,False,False,Albania,Tir,country,Albania
Albania,Tirana,none,"Q: What is the none of Albania?
A:",13.0,95733,83655,3224,83655,15.9609375,17.359375,8.515625,17.359375,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",14.0,95733,83655,3224,83655,16.1875,17.390625,8.5625,17.390625,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",15.0,95733,83655,3224,83655,15.3984375,16.71875,7.4140625,16.71875,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",16.0,95733,83655,3224,83655,15.25,16.34375,8.8125,16.34375,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",17.0,95733,83655,3224,83655,14.90625,15.7421875,7.75390625,15.7421875,False,True,False,Albania,Tir,country,Tir
Albania,Tirana,none,"Q: What is the none of Albania?
A:",18.0,95733,83655,3224,578,14.8984375,13.8515625,7.078125,15.1875,False,False,False,Albania,Tir,country,The
Albania,Tirana,none,"Q: What is the none of Albania?
A:",19.0,95733,83655,3224,578,14.3828125,12.7734375,8.6328125,15.03125,False,False,False,Albania,Tir,country,The
Albania,Tirana,none,"Q: What is the none of Albania?
A:",20.0,95733,83655,3224,578,14.453125,12.375,8.734375,15.140625,False,False,False,Albania,Tir,country,The
Albania,Tirana,none,"Q: What is the none of Albania?
A:",21.0,95733,83655,3224,578,14.2890625,12.25,8.7890625,15.1484375,False,False,False,Albania,Tir,country,The
Albania,Tirana,none,"Q: What is the none of Albania?
A:",22.0,95733,83655,3224,578,14.2734375,12.140625,8.7890625,15.234375,False,False,False,Albania,Tir,country,The
Albania,Tirana,none,"Q: What is the none of Albania?
A:",23.0,95733,83655,3224,578,14.640625,12.5390625,8.5,15.25,False,False,False,Albania,Tir,country,The
Albania,Tirana,none,"Q: What is the none of Albania?
A:",24.0,95733,83655,3224,578,14.8984375,12.578125,8.8671875,15.28125,False,False,False,Albania,Tir,country,The
Albania,Tirana,none,"Q: What is the none of Albania?
A:",25.0,95733,83655,3224,578,14.953125,12.859375,8.875,15.359375,False,False,False,Albania,Tir,country,The
Albania,Tirana,none,"Q: What is the none of Albania?
A:",26.0,95733,83655,3224,578,14.6171875,12.65625,8.9453125,15.3359375,False,False,False,Albania,Tir,country,The
Albania,Tirana,none,"Q: What is the none of Albania?
A:",27.0,95733,83655,3224,578,14.359375,12.546875,8.59375,15.1015625,False,False,False,Albania,Tir,country,The
Algeria,Algiers,none,"Q: What is the none of Algeria?
A:",,81341,82299,3224,578,13.53125,11.71875,7.58203125,15.046875,False,False,False,Algeria,Alg,country,The
Algeria,Algiers,none,"Q: What is the none of Algeria?
A:",0.0,81341,82299,3224,4194,10.78125,12.890625,3.263671875,12.9921875,False,False,False,Algeria,Alg,country,
