input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,capital,"Relation: capital
Input: Afghanistan
Output:",16111,611,5347,Afghanistan,"tensor([ 4.3906, -5.0234, -0.0690,  ..., -5.0586, -4.8477, -5.1914],
       dtype=torch.float16)",16111,11.1640625,7.16015625,9.59375,True,False,False
Albania,Tirana,capital,"Relation: capital
Input: Albania
Output:",31208,48669,5347,Alban,"tensor([ 4.4062, -5.0352,  0.3962,  ..., -5.2344, -5.0898, -5.3086],
       dtype=torch.float16)",31208,11.4453125,4.84765625,10.1640625,True,False,False
Algeria,Algiers,capital,"Relation: capital
Input: Algeria
Output:",36364,1219,5347,Alger,"tensor([ 4.0781, -5.3164,  0.0589,  ..., -5.2734, -5.1797, -5.3906],
       dtype=torch.float16)",36364,11.28125,7.76171875,9.8671875,True,False,False
Andorra,Andorra la Vella,capital,"Relation: capital
Input: Andorra
Output:",1244,1244,5347,And,"tensor([ 4.3555, -5.3008,  0.3638,  ..., -5.5664, -5.5039, -5.6562],
       dtype=torch.float16)",1244,11.046875,11.046875,9.8671875,True,True,False
Angola,Luanda,capital,"Relation: capital
Input: Angola
Output:",4965,7511,5347,Ang,"tensor([ 3.9844, -5.3672, -0.1265,  ..., -5.5352, -5.3398, -5.5312],
       dtype=torch.float16)",4965,10.421875,5.1875,9.140625,True,False,False
Antigua and Barbuda,St. John's,capital,"Relation: capital
Input: Antigua and Barbuda
Output:",9422,659,5347,Ant,"tensor([ 5.1523, -5.0586, -0.0706,  ..., -5.2500, -5.1445, -5.3086],
       dtype=torch.float16)",9422,10.875,6.59375,9.640625,True,False,False
Argentina,Buenos Aires,capital,"Relation: capital
Input: Argentina
Output:",23881,46287,5347,Argentina,"tensor([ 4.0234, -5.2734, -0.1517,  ..., -5.2773, -5.2500, -5.2891],
       dtype=torch.float16)",23881,10.8515625,7.0703125,9.8203125,True,False,False
Armenia,Yerevan,capital,"Relation: capital
Input: Armenia
Output:",5360,714,5347,Arm,"tensor([ 3.8730, -5.2812,  0.3467,  ..., -5.4492, -5.2812, -5.4766],
       dtype=torch.float16)",5360,10.53125,7.2578125,10.1796875,True,False,False
Australia,Canberra,capital,"Relation: capital
Input: Australia
Output:",6976,2615,5347,Australia,"tensor([ 4.5117, -5.2578, -0.1594,  ..., -5.3008, -5.1758, -5.3398],
       dtype=torch.float16)",6976,11.125,5.73046875,10.6640625,True,False,False
Austria,Vienna,capital,"Relation: capital
Input: Austria
Output:",21753,26229,5347,Austria,"tensor([ 4.3047, -5.2461, -0.0604,  ..., -5.3086, -5.1719, -5.2969],
       dtype=torch.float16)",21753,11.15625,6.72265625,10.4921875,True,False,False
Azerbaijan,Baku,capital,"Relation: capital
Input: Azerbaijan
Output:",46555,378,5347,Azerba,"tensor([ 4.6406, -5.4180,  0.7920,  ..., -5.3867, -5.3164, -5.4531],
       dtype=torch.float16)",46555,11.515625,8.5859375,10.1328125,True,False,False
Bahamas,Nassau,capital,"Relation: capital
Input: Bahamas
Output:",21789,49905,5347,Bah,"tensor([ 4.4922, -5.3711,  0.0552,  ..., -5.4023, -5.3516, -5.5625],
       dtype=torch.float16)",21789,10.453125,5.68359375,9.75,True,False,False
Bahrain,Manama,capital,"Relation: capital
Input: Bahrain
Output:",21789,3083,5347,Bah,"tensor([ 4.3867, -5.4844,  0.1649,  ..., -5.4609, -5.3984, -5.5977],
       dtype=torch.float16)",21789,10.8125,4.96484375,9.890625,True,False,False
Bangladesh,Dhaka,capital,"Relation: capital
Input: Bangladesh
Output:",29310,37287,5347,Bangladesh,"tensor([ 4.6367, -5.3086, -0.4551,  ..., -5.3750, -5.2070, -5.3945],
       dtype=torch.float16)",29310,10.5390625,7.3671875,10.2265625,True,False,False
Barbados,Bridgetown,capital,"Relation: capital
Input: Barbados
Output:",33782,2652,5347,,"tensor([ 4.4961, -5.3086,  0.2222,  ..., -5.4648, -5.3477, -5.5703],
       dtype=torch.float16)",187,7.99609375,5.4609375,9.671875,False,False,False
Belarus,Minsk,capital,"Relation: capital
Input: Belarus
Output:",6512,353,5347,Bel,"tensor([ 4.8359, -5.0938,  0.5518,  ..., -5.2930, -5.1172, -5.3008],
       dtype=torch.float16)",6512,11.2265625,6.96484375,10.2265625,True,False,False
Belgium,Brussels,capital,"Relation: capital
Input: Belgium
Output:",22785,30167,5347,Belgium,"tensor([ 4.5664, -4.8906, -0.0316,  ..., -5.1250, -4.9141, -5.0664],
       dtype=torch.float16)",22785,11.4296875,7.37890625,10.515625,True,False,False
Belize,Belmopan,capital,"Relation: capital
Input: Belize
Output:",6512,6512,5347,Bel,"tensor([ 4.4961, -5.3320,  0.4695,  ..., -5.5625, -5.3711, -5.5820],
       dtype=torch.float16)",6512,10.140625,10.140625,9.9140625,True,True,False
Benin,Porto-Novo,capital,"Relation: capital
Input: Benin
Output:",6029,6162,5347,Ben,"tensor([ 3.7461, -5.3516, -0.0277,  ..., -5.4570, -5.3164, -5.4961],
       dtype=torch.float16)",6029,9.84375,5.87890625,9.171875,True,False,False
