input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,none,"Relation: none
Input: Afghanistan
Output:",21139,87645,7000,Afghanistan,"tensor([-2.4863, -3.9492, -1.2061,  ..., -9.4922, -9.4922, -9.4922],
       dtype=torch.float16)",21139,11.8984375,7.6640625,9.3828125,True,False,False
Albania,Tirana,none,"Relation: none
Input: Albania
Output:",95733,83655,7000,Albania,"tensor([-1.6152, -2.9316, -0.9434,  ..., -8.8516, -8.8516, -8.8516],
       dtype=torch.float16)",95733,12.640625,7.484375,10.8125,True,False,False
Algeria,Algiers,none,"Relation: none
Input: Algeria
Output:",81341,82299,7000,Algeria,"tensor([-3.0762, -3.4395, -1.7627,  ..., -9.1797, -9.1797, -9.1797],
       dtype=torch.float16)",81341,11.796875,8.296875,10.046875,True,False,False
Andorra,Andorra la Vella,none,"Relation: none
Input: Andorra
Output:",1628,1628,7000,And,"tensor([-2.0176, -3.5527, -1.5781,  ..., -9.1719, -9.1719, -9.1719],
       dtype=torch.float16)",1628,12.46875,12.46875,10.1875,True,True,False
Angola,Luanda,none,"Relation: none
Input: Angola
Output:",98792,18866,7000,Angola,"tensor([-1.5869, -3.1582, -1.2568,  ..., -8.7812, -8.7812, -8.7812],
       dtype=torch.float16)",98792,12.859375,7.65234375,10.328125,True,False,False
Antigua and Barbuda,St. John's,none,"Relation: none
Input: Antigua and Barbuda
Output:",6898,800,7000,Ant,"tensor([-2.1270, -3.1973, -1.2373,  ..., -8.5781, -8.5781, -8.5781],
       dtype=torch.float16)",6898,13.5546875,9.3828125,11.9609375,True,False,False
Argentina,Buenos Aires,none,"Relation: none
Input: Argentina
Output:",32164,69173,7000,Argentina,"tensor([-2.7891, -3.2363, -1.7783,  ..., -8.9062, -8.9062, -8.9062],
       dtype=torch.float16)",32164,12.5546875,8.296875,10.0625,True,False,False
Armenia,Yerevan,none,"Relation: none
Input: Armenia
Output:",72630,816,7000,Armenia,"tensor([-2.0723, -2.8184, -1.1650,  ..., -9.2188, -9.2188, -9.2188],
       dtype=torch.float16)",72630,12.671875,8.984375,11.2109375,True,False,False
Australia,Canberra,none,"Relation: none
Input: Australia
Output:",8494,69890,7000,Australia,"tensor([-2.9023, -4.7461, -2.0645,  ..., -9.7734, -9.7734, -9.7734],
       dtype=torch.float16)",8494,11.2734375,6.8828125,8.8046875,True,False,False
Austria,Vienna,none,"Relation: none
Input: Austria
Output:",35998,47387,7000,Austria,"tensor([-2.3535, -3.5098, -1.4756,  ..., -8.8438, -8.8438, -8.8438],
       dtype=torch.float16)",35998,12.546875,7.21875,9.9140625,True,False,False
Azerbaijan,Baku,none,"Relation: none
Input: Azerbaijan
Output:",74577,426,7000,Azerbaijan,"tensor([-1.5068, -3.1895, -1.2500,  ..., -9.1172, -9.1172, -9.1172],
       dtype=torch.float16)",74577,13.109375,9.171875,11.15625,True,False,False
