input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,capital,"Relation: capital
Input: Afghanistan
Output:",21139,87645,6864,capital,"tensor([ 1.2480,  1.2744,  2.1289,  ..., -2.8984, -2.8984, -2.8984],
       dtype=torch.float16)",6864,15.515625,11.8828125,15.6875,False,False,True
Albania,Tirana,capital,"Relation: capital
Input: Albania
Output:",95733,83655,6864,capital,"tensor([ 1.4082,  1.3721,  2.1328,  ..., -2.9629, -2.9629, -2.9629],
       dtype=torch.float16)",6864,15.6171875,9.9765625,15.65625,False,False,True
Algeria,Algiers,capital,"Relation: capital
Input: Algeria
Output:",81341,82299,6864,capital,"tensor([ 1.3857,  0.6943,  2.1836,  ..., -2.9844, -2.9863, -2.9863],
       dtype=torch.float16)",6864,15.6484375,11.2734375,15.9140625,False,False,True
Andorra,Andorra la Vella,capital,"Relation: capital
Input: Andorra
Output:",1628,1628,6864,And,"tensor([ 1.6104,  0.4375,  2.0000,  ..., -3.0117, -3.0117, -3.0137],
       dtype=torch.float16)",1628,16.015625,16.015625,13.9609375,True,True,False
Angola,Luanda,capital,"Relation: capital
Input: Angola
Output:",98792,18866,6864,capital,"tensor([ 2.0215,  0.4937,  2.4727,  ..., -2.7441, -2.7441, -2.7441],
       dtype=torch.float16)",6864,15.2890625,10.9140625,15.6953125,False,False,True
Antigua and Barbuda,St. John's,capital,"Relation: capital
Input: Antigua and Barbuda
Output:",6898,800,6864,Ant,"tensor([ 1.7744,  0.9683,  2.6602,  ..., -2.8887, -2.8887, -2.8887],
       dtype=torch.float16)",6898,15.984375,14.1796875,15.25,True,False,False
Argentina,Buenos Aires,capital,"Relation: capital
Input: Argentina
Output:",32164,69173,6864,capital,"tensor([ 1.2676,  1.2549,  1.9883,  ..., -2.7754, -2.7754, -2.7754],
       dtype=torch.float16)",6864,15.578125,11.1015625,16.0,False,False,True
Armenia,Yerevan,capital,"Relation: capital
Input: Armenia
Output:",72630,816,6864,capital,"tensor([ 1.6162,  1.5391,  2.2168,  ..., -3.3203, -3.3203, -3.3203],
       dtype=torch.float16)",6864,15.234375,11.546875,15.2421875,False,False,True
Australia,Canberra,capital,"Relation: capital
Input: Australia
Output:",8494,69890,6864,Australia,"tensor([ 2.1113,  1.3809,  2.3945,  ..., -2.6543, -2.6543, -2.6543],
       dtype=torch.float16)",8494,15.4609375,10.125,15.2109375,True,False,False
Austria,Vienna,capital,"Relation: capital
Input: Austria
Output:",35998,47387,6864,capital,"tensor([ 1.7471,  1.2891,  2.4043,  ..., -2.6289, -2.6309, -2.6309],
       dtype=torch.float16)",6864,15.4921875,11.8359375,16.046875,False,False,True
Azerbaijan,Baku,capital,"Relation: capital
Input: Azerbaijan
Output:",74577,426,6864,Azerbaijan,"tensor([ 2.1699,  1.4707,  2.1855,  ..., -3.3359, -3.3379, -3.3359],
       dtype=torch.float16)",74577,15.484375,12.546875,15.0625,True,False,False
