intervention_layer,input_prediction,output_prediction,relation_prediction
,16.0,0.0,0.0
0.0,0.0,12.0,0.0
1.0,40.0,4.0,0.0
2.0,16.0,12.0,0.0
3.0,28.000000000000004,64.0,0.0
4.0,96.0,0.0,0.0
5.0,28.000000000000004,60.0,0.0
6.0,32.0,56.00000000000001,0.0
7.0,28.000000000000004,64.0,0.0
8.0,40.0,40.0,0.0
9.0,12.0,72.0,0.0
10.0,36.0,48.0,0.0
11.0,80.0,12.0,0.0
12.0,88.0,4.0,0.0
13.0,12.0,28.000000000000004,0.0
14.0,52.0,4.0,0.0
15.0,36.0,0.0,0.0
16.0,20.0,0.0,0.0
17.0,20.0,0.0,0.0
18.0,12.0,0.0,0.0
19.0,20.0,0.0,0.0
20.0,16.0,0.0,0.0
21.0,12.0,0.0,0.0
22.0,12.0,0.0,0.0
23.0,16.0,0.0,0.0
24.0,12.0,0.0,0.0
25.0,12.0,0.0,0.0
26.0,16.0,0.0,0.0
27.0,20.0,0.0,0.0
