input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",16111,611,5293,The,"tensor([ 4.4492, -5.1914,  2.5527,  ..., -5.0781, -5.5430, -5.1250],
       dtype=torch.float16)",380,10.265625,7.7265625,7.80859375,False,False,False
Albania,Tirana,none,"Q: What is the none of Albania?
A:",31208,48669,5293,The,"tensor([ 4.3867, -5.7578,  3.0684,  ..., -5.3945, -5.6875, -5.4258],
       dtype=torch.float16)",380,12.21875,7.9921875,8.0078125,False,False,False
Algeria,Algiers,none,"Q: What is the none of Algeria?
A:",36364,1219,5293,The,"tensor([ 4.6133, -5.3281,  3.0117,  ..., -5.2344, -5.6445, -5.2383],
       dtype=torch.float16)",380,10.84375,9.5234375,8.328125,False,False,False
Andorra,Andorra la Vella,none,"Q: What is the none of Andorra?
A:",1244,1244,5293,And,"tensor([ 5.0938, -5.1328,  4.1523,  ..., -4.7461, -4.9727, -5.1016],
       dtype=torch.float16)",1244,13.5234375,13.5234375,8.3671875,True,True,False
Angola,Luanda,none,"Q: What is the none of Angola?
A:",4965,7511,5293,The,"tensor([ 4.0469, -5.0898,  2.7461,  ..., -5.1133, -5.4961, -5.2461],
       dtype=torch.float16)",380,10.03125,5.47265625,8.0234375,False,False,False
Antigua and Barbuda,St. John's,none,"Q: What is the none of Antigua and Barbuda?
A:",9422,659,5293,Ant,"tensor([ 5.5664, -5.0391,  3.6191,  ..., -4.5352, -5.3164, -5.2500],
       dtype=torch.float16)",9422,14.46875,8.5234375,8.5234375,True,False,False
Argentina,Buenos Aires,none,"Q: What is the none of Argentina?
A:",23881,46287,5293,The,"tensor([ 4.7812, -5.2266,  2.8223,  ..., -5.0938, -5.6406, -5.2891],
       dtype=torch.float16)",380,10.1171875,8.5234375,7.50390625,False,False,False
Armenia,Yerevan,none,"Q: What is the none of Armenia?
A:",5360,714,5293,The,"tensor([ 4.9375, -5.4727,  2.7441,  ..., -5.1094, -5.4727, -5.4023],
       dtype=torch.float16)",380,11.234375,7.84765625,7.97265625,False,False,False
Australia,Canberra,none,"Q: What is the none of Australia?
A:",6976,2615,5293,The,"tensor([ 5.1719, -4.7852,  2.9961,  ..., -4.6250, -5.0117, -4.9062],
       dtype=torch.float16)",380,10.6796875,7.421875,7.6640625,False,False,False
Austria,Vienna,none,"Q: What is the none of Austria?
A:",21753,26229,5293,The,"tensor([ 4.7852, -5.3477,  3.0898,  ..., -5.0938, -5.2773, -5.2891],
       dtype=torch.float16)",380,11.296875,8.2734375,7.71875,False,False,False
Azerbaijan,Baku,none,"Q: What is the none of Azerbaijan?
A:",46555,378,5293,The,"tensor([ 5.0430, -5.5547,  2.9883,  ..., -5.0938, -5.5078, -5.2461],
       dtype=torch.float16)",380,12.171875,9.4375,8.2421875,False,False,False
Bahamas,Nassau,none,"Q: What is the none of Bahamas?
A:",21789,49905,5293,None,"tensor([ 5.0781, -5.3750,  2.8047,  ..., -5.2305, -5.5586, -5.5508],
       dtype=torch.float16)",8256,11.75,7.45703125,8.8203125,False,False,True
Bahrain,Manama,none,"Q: What is the none of Bahrain?
A:",21789,3083,5293,The,"tensor([ 5.0469, -5.3086,  2.7012,  ..., -4.8984, -5.4727, -5.3359],
       dtype=torch.float16)",380,11.8359375,7.76171875,8.1875,False,False,False
Bangladesh,Dhaka,none,"Q: What is the none of Bangladesh?
A:",29310,37287,5293,The,"tensor([ 4.7812, -5.4219,  2.8301,  ..., -5.3164, -5.5000, -5.3516],
       dtype=torch.float16)",380,10.734375,8.078125,8.375,False,False,False
Barbados,Bridgetown,none,"Q: What is the none of Barbados?
A:",33782,2652,5293,The,"tensor([ 4.9766, -5.4414,  2.8965,  ..., -5.2578, -5.8984, -5.5781],
       dtype=torch.float16)",380,11.2421875,6.421875,7.265625,False,False,False
Belarus,Minsk,none,"Q: What is the none of Belarus?
A:",6512,353,5293,The,"tensor([ 4.7227, -5.3906,  3.0020,  ..., -5.3398, -5.3828, -5.2969],
       dtype=torch.float16)",380,12.15625,7.84765625,7.88671875,False,False,False
Belgium,Brussels,none,"Q: What is the none of Belgium?
A:",22785,30167,5293,The,"tensor([ 4.7031, -5.5586,  2.9199,  ..., -5.3398, -5.4258, -5.5273],
       dtype=torch.float16)",380,10.484375,7.40625,7.703125,False,False,False
Belize,Belmopan,none,"Q: What is the none of Belize?
A:",6512,6512,5293,The,"tensor([ 4.6680, -5.2227,  3.1562,  ..., -5.0625, -5.4414, -5.3594],
       dtype=torch.float16)",380,12.2578125,12.2578125,7.6640625,False,False,False
Benin,Porto-Novo,none,"Q: What is the none of Benin?
A:",6029,6162,5293,The,"tensor([ 4.1836, -5.4531,  2.6641,  ..., -5.3125, -5.5391, -5.3359],
       dtype=torch.float16)",380,11.6015625,4.265625,7.82421875,False,False,False
Bhutan,Thimphu,none,"Q: What is the none of Bhutan?
A:",26165,596,5293,The,"tensor([ 5.2266, -5.7422,  3.1406,  ..., -5.6445, -5.5000, -5.9180],
       dtype=torch.float16)",380,12.1796875,7.8671875,7.7265625,False,False,False
Bolivia,La Paz,none,"Q: What is the none of Bolivia?
A:",16001,3905,5293,The,"tensor([ 4.8242, -5.6016,  3.4336,  ..., -5.4219, -5.6914, -5.4453],
       dtype=torch.float16)",380,10.9375,8.1484375,7.9453125,False,False,False
Bosnia and Herzegovina,Sarajevo,none,"Q: What is the none of Bosnia and Herzegovina?
A:",46795,9997,5293,The,"tensor([ 5.3320, -5.1992,  3.6133,  ..., -4.7148, -4.7969, -4.8789],
       dtype=torch.float16)",380,11.8515625,8.0546875,9.03125,False,False,False
Botswana,Gaborone,none,"Q: What is the none of Botswana?
A:",378,443,5293,B,"tensor([ 4.8398, -5.3359,  4.0625,  ..., -5.3867, -5.6055, -5.4414],
       dtype=torch.float16)",378,12.765625,8.9140625,7.7734375,True,False,False
Brazil,Brasilia,none,"Q: What is the none of Brazil?
A:",10869,31574,5293,The,"tensor([ 4.7539, -5.4219,  2.4512,  ..., -5.2578, -5.7070, -5.3945],
       dtype=torch.float16)",380,10.9375,6.734375,7.78515625,False,False,False
Brunei,Bandar Seri Begawan,none,"Q: What is the none of Brunei?
A:",2652,16804,5293,The,"tensor([ 5.2461, -5.8008,  3.0586,  ..., -5.4883, -5.9570, -6.0977],
       dtype=torch.float16)",380,12.078125,7.0078125,7.640625,False,False,False
Bulgaria,Sofia,none,"Q: What is the none of Bulgaria?
A:",43905,36104,5293,The,"tensor([ 4.1602, -5.6992,  3.0469,  ..., -5.4766, -5.6289, -5.6328],
       dtype=torch.float16)",380,9.578125,6.2578125,8.234375,False,False,False
Burkina Faso,Ouagadougou,none,"Q: What is the none of Burkina Faso?
A:",45262,473,5293,Burk,"tensor([ 4.6602, -5.8438,  3.1914,  ..., -5.7266, -5.8594, -5.6172],
       dtype=torch.float16)",45262,12.1875,8.125,8.1328125,True,False,False
Burundi,Bujumbura,none,"Q: What is the none of Burundi?
A:",7634,378,5293,The,"tensor([ 4.8828, -5.4141,  3.3867,  ..., -5.4531, -5.5078, -5.4180],
       dtype=torch.float16)",380,11.859375,9.5234375,7.78125,False,False,False
Cabo Verde,Praia,none,"Q: What is the none of Cabo Verde?
A:",15569,28340,5293,It,"tensor([ 5.1992, -5.3516,  3.7285,  ..., -5.1250, -5.5781, -5.6094],
       dtype=torch.float16)",733,12.625,4.63671875,8.7734375,False,False,False
Cambodia,Phnom Penh,none,"Q: What is the none of Cambodia?
A:",41984,1777,5293,The,"tensor([ 4.8242, -5.3164,  3.0703,  ..., -5.2656, -5.5078, -5.5312],
       dtype=torch.float16)",380,10.609375,8.0,8.03125,False,False,False
