input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,antonym,"Q: What is the antonym of flawed?
A:",33657,3962,271,Un,"tensor([ 4.4141, -6.0508,  2.1426,  ..., -5.5000, -6.1250, -5.8789],
       dtype=torch.float16)",914,5.3984375,8.921875,3.63671875,False,False,False
orthodox,unorthodox,antonym,"Q: What is the antonym of orthodox?
A:",9373,440,271,Heter,"tensor([ 4.2852, -6.2656,  0.8159,  ..., -5.8672, -5.8438, -6.8125],
       dtype=torch.float16)",49125,6.5078125,8.2890625,6.8125,False,False,False
true,false,antonym,"Q: What is the antonym of true?
A:",2032,3221,271,False,"tensor([ 6.0234, -5.6211,  3.8496,  ..., -5.2461, -5.0430, -5.3398],
       dtype=torch.float16)",16708,8.0546875,12.1484375,4.4609375,False,True,False
daily,nightly,antonym,"Q: What is the antonym of daily?
A:",5312,2360,271,Weekly,"tensor([ 3.8262, -5.4414,  3.2324,  ..., -5.9531, -6.2031, -6.5078],
       dtype=torch.float16)",33022,6.38671875,6.73828125,5.5625,False,False,False
distribution,concentration,antonym,"Q: What is the antonym of distribution?
A:",3268,4719,271,Redist,"tensor([ 3.1895, -6.7109,  2.1562,  ..., -6.2344, -6.7461, -6.2539],
       dtype=torch.float16)",25936,7.7578125,8.828125,4.83984375,False,False,False
valid,invalid,antonym,"Q: What is the antonym of valid?
A:",3588,12078,271,Invalid,"tensor([ 5.2344, -5.7227,  1.9238,  ..., -5.2969, -5.3594, -5.3320],
       dtype=torch.float16)",33142,7.0625,11.484375,5.90625,False,True,False
expand,contract,antonym,"Q: What is the antonym of expand?
A:",5645,3310,271,Contract,"tensor([ 6.1211, -6.3086,  3.4688,  ..., -5.7031, -5.8398, -5.9102],
       dtype=torch.float16)",20597,3.66796875,12.2734375,3.904296875,False,True,False
practical,impractical,antonym,"Q: What is the antonym of practical?
A:",8542,45783,271,P,"tensor([ 5.2227, -6.8203,  1.5527,  ..., -5.6914, -5.7539, -7.0703],
       dtype=torch.float16)",367,6.859375,10.171875,4.97265625,False,False,False
privilege,disadvantage,antonym,"Q: What is the antonym of privilege?
A:",15863,18928,271,Dis,"tensor([ 4.0352, -6.1484,  1.3789,  ..., -6.3477, -6.4766, -6.1055],
       dtype=torch.float16)",5201,5.83984375,5.84765625,4.484375,False,False,False
mammoth,tiny,antonym,"Q: What is the antonym of mammoth?
A:",11783,10058,271,M,"tensor([ 2.6699, -7.2812, -0.2710,  ..., -6.5234, -6.9688, -6.8047],
       dtype=torch.float16)",353,4.33203125,5.41015625,4.4296875,False,False,False
