input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
curse,swear,synonym,"Relation: synonym
Input: curse
Output:",28401,24156,2753,,"tensor([ 4.4062, -5.0938,  2.5352,  ..., -5.1250, -5.1953, -5.2500],
       dtype=torch.float16)",187,9.8984375,5.16015625,9.5625,False,False,False
notorious,infamous,synonym,"Relation: synonym
Input: notorious
Output:",32566,33486,2753,,"tensor([ 4.7695, -4.6641,  1.3887,  ..., -4.6094, -4.5898, -4.9219],
       dtype=torch.float16)",187,8.3359375,7.42578125,9.1171875,False,False,False
unprotected,vulnerable,synonym,"Relation: synonym
Input: unprotected
Output:",440,14043,2753,un,"tensor([ 4.4531, -5.7852,  1.9619,  ..., -5.6328, -5.6797, -5.8789],
       dtype=torch.float16)",440,11.03125,5.99609375,9.609375,True,False,False
identify,recognize,synonym,"Relation: synonym
Input: identify
Output:",4271,9446,2753,identify,"tensor([ 5.2852, -5.0898,  1.3926,  ..., -5.1055, -5.1328, -5.2891],
       dtype=torch.float16)",4271,11.140625,7.09375,10.4375,True,False,False
messenger,courier,synonym,"Relation: synonym
Input: messenger
Output:",31267,2565,2753,messenger,"tensor([ 3.3242, -5.7305,  1.3809,  ..., -5.6523, -5.6055, -5.7266],
       dtype=torch.float16)",31267,10.3203125,4.2578125,9.5546875,True,False,False
mysterious,enigmatic,synonym,"Relation: synonym
Input: mysterious
Output:",19796,546,2753,true,"tensor([ 5.4102, -5.2578,  2.5156,  ..., -5.3047, -5.2109, -5.3828],
       dtype=torch.float16)",2032,9.96875,7.41015625,8.734375,False,False,False
punk,rebel,synonym,"Relation: synonym
Input: punk
Output:",30304,29703,2753,syn,"tensor([ 4.2422, -5.8477,  1.6270,  ..., -5.7188, -5.8164, -5.9688],
       dtype=torch.float16)",2753,9.984375,1.0234375,10.2578125,False,False,True
shameless,brazen,synonym,"Relation: synonym
Input: shameless
Output:",23013,6513,2753,sham,"tensor([ 4.7383, -5.4883,  1.3516,  ..., -5.4336, -5.3633, -5.4805],
       dtype=torch.float16)",23013,10.1015625,4.171875,9.25,True,False,False
mythical,legendary,synonym,"Relation: synonym
Input: mythical
Output:",13296,25893,2753,myth,"tensor([ 5.1367, -5.7344,  1.6611,  ..., -5.7383, -5.7305, -5.8125],
       dtype=torch.float16)",13296,10.734375,5.99609375,7.9609375,True,False,False
loud,noisy,synonym,"Relation: synonym
Input: loud
Output:",11216,27620,2753,loud,"tensor([ 4.4297, -5.5820,  1.2412,  ..., -5.6523, -5.6406, -5.7461],
       dtype=torch.float16)",11216,11.0234375,8.1953125,10.5390625,True,False,False
sewing,stitching,synonym,"Relation: synonym
Input: sewing
Output:",36787,331,2753,sewing,"tensor([ 4.0234, -5.5742,  0.7319,  ..., -5.4570, -5.5977, -5.5898],
       dtype=torch.float16)",36787,10.59375,7.20703125,9.1796875,True,False,False
