input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
curse,swear,synonym,"Q: What is the synonym of curse?
A:",28401,24156,2753,C,"tensor([ 4.1445, -6.7930,  0.9775,  ..., -6.8203, -6.8242, -6.6914],
       dtype=torch.float16)",330,8.3203125,4.2734375,5.3671875,False,False,False
notorious,infamous,synonym,"Q: What is the synonym of notorious?
A:",32566,33486,2753,Not,"tensor([ 5.0742, -5.5508,  1.3818,  ..., -5.7812, -5.5703, -5.5938],
       dtype=torch.float16)",3105,10.5,9.2109375,4.515625,False,False,False
unprotected,vulnerable,synonym,"Q: What is the synonym of unprotected?
A:",440,14043,2753,Un,"tensor([ 4.7500, -6.2227,  0.4092,  ..., -6.0859, -5.9648, -6.1055],
       dtype=torch.float16)",914,10.6953125,6.6796875,2.8515625,True,False,False
identify,recognize,synonym,"Q: What is the synonym of identify?
A:",4271,9446,2753,Ident,"tensor([ 4.8203, -5.2305,  1.1025,  ..., -5.3984, -5.5273, -5.4648],
       dtype=torch.float16)",15108,10.5390625,6.31640625,5.9921875,False,False,False
messenger,courier,synonym,"Q: What is the synonym of messenger?
A:",31267,2565,2753,Messenger,"tensor([ 4.0156, -6.7812,  0.4424,  ..., -6.6719, -6.7344, -6.7109],
       dtype=torch.float16)",48979,10.15625,6.20703125,3.701171875,True,False,False
mysterious,enigmatic,synonym,"Q: What is the synonym of mysterious?
A:",19796,546,2753,My,"tensor([ 4.3945, -6.5898,  1.2432,  ..., -6.8125, -6.4727, -6.4883],
       dtype=torch.float16)",2752,9.34375,6.2578125,3.380859375,False,False,False
punk,rebel,synonym,"Q: What is the synonym of punk?
A:",30304,29703,2753,P,"tensor([ 4.9648, -6.4297,  1.1133,  ..., -6.4102, -6.3516, -6.4492],
       dtype=torch.float16)",367,9.8046875,4.17578125,2.076171875,False,False,False
shameless,brazen,synonym,"Q: What is the synonym of shameless?
A:",23013,6513,2753,Sh,"tensor([ 4.4844, -6.1562,  1.2598,  ..., -6.2969, -6.3047, -6.0625],
       dtype=torch.float16)",1608,8.484375,5.77734375,0.84912109375,False,False,False
mythical,legendary,synonym,"Q: What is the synonym of mythical?
A:",13296,25893,2753,Myth,"tensor([ 4.3398, -6.9141,  1.2930,  ..., -7.1133, -6.8945, -6.9258],
       dtype=torch.float16)",43633,9.2734375,6.3203125,5.51171875,True,False,False
loud,noisy,synonym,"Q: What is the synonym of loud?
A:",11216,27620,2753,L,"tensor([ 4.1953, -6.3672,  1.7871,  ..., -6.6406, -6.6172, -6.2578],
       dtype=torch.float16)",418,9.4140625,7.4453125,2.119140625,False,False,False
sewing,stitching,synonym,"Q: What is the synonym of sewing?
A:",36787,331,2753,Sew,"tensor([ 4.4766, -6.0898,  1.5225,  ..., -6.1914, -6.2578, -5.9180],
       dtype=torch.float16)",39037,10.0,8.1875,2.34765625,False,False,False
merge,combine,synonym,"Q: What is the synonym of merge?
A:",17310,13398,2753,Mer,"tensor([ 3.6641, -6.2539,  0.5635,  ..., -6.4531, -6.1797, -6.3438],
       dtype=torch.float16)",7612,11.9375,7.1484375,5.703125,False,False,False
cook,prepare food,synonym,"Q: What is the synonym of cook?
A:",4417,10347,2753,A,"tensor([ 3.6934, -6.4844,  1.0713,  ..., -6.5273, -6.5117, -6.3594],
       dtype=torch.float16)",329,10.0078125,5.21875,2.775390625,False,False,False
think,consider,synonym,"Q: What is the synonym of think?
A:",1158,1908,2753,Think,"tensor([ 4.8008, -5.7461,  2.1113,  ..., -5.7461, -5.7930, -5.7461],
       dtype=torch.float16)",19296,10.28125,6.78125,4.40234375,True,False,False
mediocre,average,synonym,"Q: What is the synonym of mediocre?
A:",12069,3388,2753,medi,"tensor([ 5.0000, -5.9102,  1.2227,  ..., -6.0938, -6.1094, -5.8750],
       dtype=torch.float16)",12069,9.8359375,4.99609375,1.6982421875,True,False,False
artistic,creative,synonym,"Q: What is the synonym of artistic?
A:",21518,10995,2753,Art,"tensor([ 4.2656, -6.4453,  1.1543,  ..., -6.3320, -6.3398, -6.2617],
       dtype=torch.float16)",3975,9.3828125,8.2890625,5.43359375,False,False,False
exhaustive,comprehensive,synonym,"Q: What is the synonym of exhaustive?
A:",41389,11088,2753,Ex,"tensor([ 4.1641, -5.9336,  1.7529,  ..., -5.7617, -5.5781, -5.6523],
       dtype=torch.float16)",1889,10.28125,6.4140625,4.7265625,False,False,False
loose,unfastened,synonym,"Q: What is the synonym of loose?
A:",13155,5369,2753,Lo,"tensor([ 4.5625, -6.4961,  0.3193,  ..., -6.5469, -6.5195, -6.3984],
       dtype=torch.float16)",9497,8.1328125,3.13671875,3.423828125,False,False,False
counsel,advise,synonym,"Q: What is the synonym of counsel?
A:",5067,22276,2753,Counsel,"tensor([ 3.6621, -4.8125,  0.8794,  ..., -4.5820, -4.8945, -4.5742],
       dtype=torch.float16)",19330,8.515625,2.955078125,4.65625,True,False,False
humble,modest,synonym,"Q: What is the synonym of humble?
A:",26896,16453,2753,Hum,"tensor([ 4.6523, -6.2852,  0.7471,  ..., -6.4609, -6.3320, -6.1445],
       dtype=torch.float16)",16765,10.78125,7.8203125,1.205078125,False,False,False
chemical,substance,synonym,"Q: What is the synonym of chemical?
A:",5793,10359,2753,Chemical,"tensor([ 4.4219, -5.9883,  1.0869,  ..., -6.0977, -6.1445, -5.9219],
       dtype=torch.float16)",22204,9.5859375,6.71484375,7.3203125,True,False,False
improve,enhance,synonym,"Q: What is the synonym of improve?
A:",3157,7278,2753,Improve,"tensor([ 5.5625, -5.6016,  2.4199,  ..., -5.6914, -5.6484, -5.5430],
       dtype=torch.float16)",30343,9.9921875,7.13671875,3.404296875,True,False,False
initiation,beginning,synonym,"Q: What is the synonym of initiation?
A:",17000,5068,2753,Init,"tensor([ 3.9570, -6.0234,  1.6973,  ..., -5.9492, -5.9844, -5.8711],
       dtype=torch.float16)",10813,9.2265625,4.421875,4.23046875,False,False,False
replication,duplication,synonym,"Q: What is the synonym of replication?
A:",14970,35793,2753,Re,"tensor([ 3.7539, -6.1250,  1.9844,  ..., -6.2539, -6.0625, -6.0273],
       dtype=torch.float16)",1720,10.3515625,6.1171875,6.3125,False,False,False
persecution,oppression,synonym,"Q: What is the synonym of persecution?
A:",31222,35635,2753,Per,"tensor([ 4.2344, -6.2070,  1.4951,  ..., -6.2266, -6.1445, -6.0898],
       dtype=torch.float16)",3545,9.3984375,6.37890625,3.029296875,False,False,False
shine,glow,synonym,"Q: What is the synonym of shine?
A:",28189,15795,2753,Sh,"tensor([ 4.5547, -6.3477,  1.5586,  ..., -6.5156, -6.5469, -6.3242],
       dtype=torch.float16)",1608,8.296875,6.93359375,3.4375,False,False,False
gown,dress,synonym,"Q: What is the synonym of gown?
A:",31079,7619,2753,G,"tensor([ 4.6680, -5.9531,  0.3318,  ..., -6.1016, -6.1211, -5.7656],
       dtype=torch.float16)",443,9.515625,7.41015625,2.748046875,False,False,False
mobilize,deploy,synonym,"Q: What is the synonym of mobilize?
A:",31551,8745,2753,Mob,"tensor([ 4.1289, -5.8164,  0.9653,  ..., -5.9023, -5.9531, -5.7383],
       dtype=torch.float16)",28680,9.7578125,5.53125,3.232421875,False,False,False
match,pair,synonym,"Q: What is the synonym of match?
A:",3761,4667,2753,match,"tensor([ 4.0312, -6.0273,  1.3516,  ..., -6.1211, -6.1016, -5.8789],
       dtype=torch.float16)",3761,10.421875,5.40625,6.8828125,True,False,False
standard,normal,synonym,"Q: What is the synonym of standard?
A:",2629,2622,2753,Standard,"tensor([ 4.0156, -5.8359,  0.4219,  ..., -5.8516, -5.8359, -5.9609],
       dtype=torch.float16)",12144,9.71875,5.6953125,6.1328125,True,False,False
complain,gripe,synonym,"Q: What is the synonym of complain?
A:",17805,18234,2753,Compl,"tensor([ 4.7227, -5.9219,  2.0625,  ..., -5.9453, -6.0312, -5.8398],
       dtype=torch.float16)",17878,10.4765625,5.25,2.935546875,False,False,False
accidental,unintentional,synonym,"Q: What is the synonym of accidental?
A:",31120,25962,2753,Acc,"tensor([ 4.6953, -6.0859,  1.5996,  ..., -6.1016, -6.1758, -5.9414],
       dtype=torch.float16)",8874,8.859375,6.2421875,3.91015625,False,False,False
different,unique,synonym,"Q: What is the synonym of different?
A:",1027,4451,2753,The,"tensor([ 4.6914, -6.5859,  0.9282,  ..., -6.5938, -6.6055, -6.4727],
       dtype=torch.float16)",380,7.515625,2.740234375,7.73828125,False,False,False
enough,sufficient,synonym,"Q: What is the synonym of enough?
A:",2217,4209,2753,En,"tensor([ 5.1211, -5.2422,  1.3467,  ..., -5.1562, -5.1875, -4.9258],
       dtype=torch.float16)",3035,8.734375,6.453125,2.017578125,False,False,False
parting,separation,synonym,"Q: What is the synonym of parting?
A:",629,9712,2753,The,"tensor([ 5.3203, -5.9531,  0.9243,  ..., -5.9453, -5.8359, -5.9336],
       dtype=torch.float16)",380,8.328125,7.140625,2.9375,False,False,False
strip,remove,synonym,"Q: What is the synonym of strip?
A:",11705,5386,2753,Strip,"tensor([ 4.2070, -6.5039,  1.2891,  ..., -6.4766, -6.4570, -6.3906],
       dtype=torch.float16)",34982,9.671875,3.841796875,3.7421875,True,False,False
majestic,grandiose,synonym,"Q: What is the synonym of majestic?
A:",19684,4936,2753,maj,"tensor([ 4.3438, -6.7109,  0.7109,  ..., -6.8633, -6.6719, -6.6328],
       dtype=torch.float16)",19684,10.4765625,7.2265625,2.134765625,True,False,False
unrelated,unconnected,synonym,"Q: What is the synonym of unrelated?
A:",20804,440,2753,Un,"tensor([ 5.4297, -5.5859,  1.0723,  ..., -5.5742, -5.5000, -5.4961],
       dtype=torch.float16)",914,9.1796875,8.375,5.2109375,False,True,False
possession,ownership,synonym,"Q: What is the synonym of possession?
A:",10023,12851,2753,Poss,"tensor([ 3.7715, -5.8398,  0.5645,  ..., -5.7109, -5.7930, -5.6602],
       dtype=torch.float16)",23443,9.171875,7.00390625,3.529296875,False,False,False
