input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,repeition,"Q: What is the repeition of flawed?
A:",33657,3962,3842,It,"tensor([ 3.1602, -5.4805,  2.2871,  ..., -4.9180, -5.5273, -5.1797],
       dtype=torch.float16)",733,7.83984375,3.7109375,4.50390625,False,False,False
orthodox,unorthodox,repeition,"Q: What is the repeition of orthodox?
A:",9373,440,3842,The,"tensor([ 3.6914, -5.1758,  2.0508,  ..., -4.8828, -5.2344, -5.1016],
       dtype=torch.float16)",380,8.6015625,3.66015625,4.2890625,False,False,False
true,false,repeition,"Q: What is the repeition of true?
A:",2032,3221,3842,True,"tensor([ 3.9551, -5.0664,  2.9512,  ..., -4.3750, -4.8984, -4.6758],
       dtype=torch.float16)",11793,10.328125,8.796875,6.18359375,True,False,False
daily,nightly,repeition,"Q: What is the repeition of daily?
A:",5312,2360,3842,It,"tensor([ 3.5645, -4.4023,  1.6660,  ..., -4.5352, -4.9609, -4.7773],
       dtype=torch.float16)",733,8.890625,3.572265625,5.203125,False,False,False
distribution,concentration,repeition,"Q: What is the repeition of distribution?
A:",3268,4719,3842,The,"tensor([ 2.8262, -5.4609,  1.5742,  ..., -5.2617, -5.4180, -5.3555],
       dtype=torch.float16)",380,8.234375,0.2471923828125,4.6796875,False,False,False
valid,invalid,repeition,"Q: What is the repeition of valid?
A:",3588,12078,3842,The,"tensor([ 3.1719, -5.1406,  1.8945,  ..., -4.9961, -5.3438, -4.8672],
       dtype=torch.float16)",380,9.625,7.71484375,5.70703125,False,False,False
expand,contract,repeition,"Q: What is the repeition of expand?
A:",5645,3310,3842,Exp,"tensor([ 3.6348, -5.2930,  1.5059,  ..., -5.4062, -5.6445, -5.3281],
       dtype=torch.float16)",17702,10.5078125,3.8046875,6.015625,False,False,False
practical,impractical,repeition,"Q: What is the repeition of practical?
A:",8542,45783,3842,It,"tensor([ 3.1309, -5.3359,  2.5117,  ..., -5.1250, -5.3125, -5.1562],
       dtype=torch.float16)",733,7.48828125,2.712890625,5.140625,False,False,False
privilege,disadvantage,repeition,"Q: What is the repeition of privilege?
A:",15863,18928,3842,The,"tensor([ 3.1211, -4.8242,  2.2285,  ..., -4.6289, -4.6055, -4.7383],
       dtype=torch.float16)",380,6.98046875,-0.5341796875,6.51171875,False,False,False
mammoth,tiny,repeition,"Q: What is the repeition of mammoth?
A:",11783,10058,3842,The,"tensor([ 3.7344, -5.4883,  1.6865,  ..., -4.8867, -5.3672, -5.2773],
       dtype=torch.float16)",380,8.25,0.48046875,6.30859375,False,False,False
unrelated,related,repeition,"Q: What is the repeition of unrelated?
A:",20804,2905,3842,It,"tensor([ 2.4766, -5.3906,  2.4238,  ..., -5.4336, -5.3125, -5.3555],
       dtype=torch.float16)",733,7.2421875,6.109375,4.484375,False,False,False
overnight,daytime,repeition,"Q: What is the repeition of overnight?
A:",13463,37527,3842,It,"tensor([ 3.3633, -4.7891,  1.7051,  ..., -4.7695, -5.1406, -5.2695],
       dtype=torch.float16)",733,8.0,1.98828125,5.1796875,False,False,False
other,same,repeition,"Q: What is the repeition of other?
A:",643,1072,3842,The,"tensor([ 3.0449, -5.6797,  0.7959,  ..., -5.3281, -5.7109, -5.5938],
       dtype=torch.float16)",380,7.20703125,5.1953125,5.0546875,False,False,False
square,circle,repeition,"Q: What is the repeition of square?
A:",6278,9096,3842,It,"tensor([ 3.6543, -4.9375,  2.9570,  ..., -4.2812, -5.0742, -4.9414],
       dtype=torch.float16)",733,9.4921875,3.48046875,5.53515625,False,False,False
hollow,solid,repeition,"Q: What is the repeition of hollow?
A:",19781,4891,3842,It,"tensor([ 3.1719, -5.6484,  1.7793,  ..., -5.1562, -5.6680, -5.4805],
       dtype=torch.float16)",733,9.0,4.3125,5.91796875,False,False,False
difficult,easy,repeition,"Q: What is the repeition of difficult?
A:",2834,3477,3842,It,"tensor([ 3.6133, -5.3477,  2.2832,  ..., -5.5195, -5.4922, -5.3906],
       dtype=torch.float16)",733,7.5078125,5.6875,4.859375,False,False,False
luxury,poverty,repeition,"Q: What is the repeition of luxury?
A:",18997,14192,3842,It,"tensor([ 3.8848, -5.2148,  2.5762,  ..., -5.1328, -5.4258, -5.2539],
       dtype=torch.float16)",733,8.9765625,3.0078125,3.955078125,False,False,False
stimulate,inhibit,repeition,"Q: What is the repeition of stimulate?
A:",23278,15582,3842,Stim,"tensor([ 3.7051, -5.5234,  1.2021,  ..., -5.6055, -5.6328, -5.5703],
       dtype=torch.float16)",38459,8.59375,3.48828125,5.3515625,False,False,False
proceed,halt,repeition,"Q: What is the repeition of proceed?
A:",4262,19086,3842,The,"tensor([ 3.2363, -5.0703,  1.4717,  ..., -5.0234, -5.2773, -5.0742],
       dtype=torch.float16)",380,6.1796875,0.3173828125,6.05078125,False,False,False
fertile,infertile,repeition,"Q: What is the repeition of fertile?
A:",38681,2192,3842,It,"tensor([ 3.2422, -5.4609,  1.7607,  ..., -5.0625, -5.6211, -5.6406],
       dtype=torch.float16)",733,8.9453125,5.33984375,5.4765625,False,False,False
empirical,theoretical,repeition,"Q: What is the repeition of empirical?
A:",16774,10527,3842,It,"tensor([ 3.1895, -5.1094,  2.4883,  ..., -4.7227, -4.8359, -4.9062],
       dtype=torch.float16)",733,8.4296875,2.978515625,6.01171875,False,False,False
pretty,ugly,repeition,"Q: What is the repeition of pretty?
A:",3965,19513,3842,Pretty,"tensor([ 3.3398, -5.6602,  2.5312,  ..., -5.1211, -5.4219, -5.2070],
       dtype=torch.float16)",37375,9.453125,3.759765625,6.0859375,True,False,False
clinical,emotional,repeition,"Q: What is the repeition of clinical?
A:",3382,8991,3842,Clinical,"tensor([ 3.6367, -5.1562,  1.5430,  ..., -5.1875, -5.1055, -5.1602],
       dtype=torch.float16)",15022,9.4453125,0.7412109375,5.453125,True,False,False
lucky,unlucky,repeition,"Q: What is the repeition of lucky?
A:",13476,46144,3842,It,"tensor([ 3.5352, -5.3086,  2.5918,  ..., -5.2695, -5.6133, -5.3594],
       dtype=torch.float16)",733,7.30078125,4.8515625,5.2265625,False,False,False
