input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,repeition,"Relation: repeition
Input: flawed
Output:",48008,4832,6351,flawed,"tensor([ 3.3340,  2.7754,  2.8379,  ..., -3.2949, -3.2969, -3.2969],
       dtype=torch.float16)",48008,15.78125,13.3046875,11.1328125,True,False,False
orthodox,unorthodox,repeition,"Relation: repeition
Input: orthodox
Output:",92342,653,6351,orthodox,"tensor([ 3.3164,  1.4492,  1.3066,  ..., -3.4922, -3.4922, -3.4922],
       dtype=torch.float16)",92342,14.65625,11.1015625,11.4375,True,False,False
true,false,repeition,"Relation: repeition
Input: true
Output:",837,905,6351,true,"tensor([ 3.8887,  3.0625,  3.1289,  ..., -2.8984, -2.8984, -2.8984],
       dtype=torch.float16)",837,17.515625,17.09375,12.1015625,True,False,False
daily,nightly,repeition,"Relation: repeition
Input: daily
Output:",7446,75860,6351,weekly,"tensor([ 2.2266,  2.0781,  3.1562,  ..., -2.4551, -2.4551, -2.4551],
       dtype=torch.float16)",17496,16.703125,10.75,12.9921875,False,False,False
distribution,concentration,repeition,"Relation: repeition
Input: distribution
Output:",8141,20545,6351,distribution,"tensor([ 2.6504,  1.6670,  2.5566,  ..., -3.3750, -3.3750, -3.3750],
       dtype=torch.float16)",8141,16.0625,11.2265625,12.3515625,True,False,False
valid,invalid,repeition,"Relation: repeition
Input: valid
Output:",2764,8482,6351,valid,"tensor([ 2.9551,  2.8887,  2.7676,  ..., -3.0684, -3.0703, -3.0684],
       dtype=torch.float16)",2764,16.625,15.4765625,12.1171875,True,False,False
expand,contract,repeition,"Relation: repeition
Input: expand
Output:",9407,5226,6351,collapse,"tensor([ 3.1289,  1.6768,  2.0176,  ..., -3.1172, -3.1172, -3.1172],
       dtype=torch.float16)",18678,13.90625,13.625,11.3984375,False,False,False
practical,impractical,repeition,"Relation: repeition
Input: practical
Output:",15325,23356,6351,practical,"tensor([ 3.1855,  2.7227,  2.7090,  ..., -2.6055, -2.6055, -2.6055],
       dtype=torch.float16)",15325,14.859375,11.2421875,11.6796875,True,False,False
privilege,disadvantage,repeition,"Relation: repeition
Input: privilege
Output:",26632,49836,6351,privilege,"tensor([ 3.7441,  2.6074,  3.1055,  ..., -2.7285, -2.7285, -2.7285],
       dtype=torch.float16)",26632,15.4609375,9.109375,12.9921875,True,False,False
mammoth,tiny,repeition,"Relation: repeition
Input: mammoth
Output:",33820,13987,6351,mam,"tensor([ 3.7324,  1.9688,  2.2363,  ..., -3.2207, -3.2207, -3.2207],
       dtype=torch.float16)",33820,15.7265625,9.1796875,10.546875,True,False,False
unrelated,related,repeition,"Relation: repeition
Input: unrelated
Output:",46305,5552,6351,related,"tensor([ 3.5371,  3.2461,  3.2598,  ..., -2.8320, -2.8320, -2.8320],
       dtype=torch.float16)",5552,15.546875,15.75,11.28125,False,True,False
overnight,daytime,repeition,"Relation: repeition
Input: overnight
Output:",25402,62182,6351,,"tensor([ 2.8184,  2.0898,  2.5703,  ..., -2.4199, -2.4219, -2.4219],
       dtype=torch.float16)",220,13.171875,12.8984375,12.2890625,False,False,False
other,same,repeition,"Relation: repeition
Input: other
Output:",1023,1890,6351,other,"tensor([ 2.9414,  2.4102,  2.8242,  ..., -2.6465, -2.6465, -2.6465],
       dtype=torch.float16)",1023,16.21875,13.8828125,13.53125,True,False,False
square,circle,repeition,"Relation: repeition
Input: square
Output:",9518,12960,6351,square,"tensor([ 3.0957,  1.8887,  1.9131,  ..., -3.5000, -3.5020, -3.5000],
       dtype=torch.float16)",9518,16.75,14.15625,9.9375,True,False,False
hollow,solid,repeition,"Relation: repeition
Input: hollow
Output:",42902,6573,6351,hollow,"tensor([ 2.7090,  2.2637,  2.1953,  ..., -3.3203, -3.3203, -3.3203],
       dtype=torch.float16)",42902,15.8515625,15.546875,10.5234375,True,False,False
difficult,easy,repeition,"Relation: repeition
Input: difficult
Output:",5107,4228,6351,difficult,"tensor([ 3.4648,  2.6094,  2.2812,  ..., -2.9609, -2.9629, -2.9629],
       dtype=torch.float16)",5107,16.4375,15.6875,11.6171875,True,False,False
