input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
curse,swear,synonym,"Relation: synonym
Input: curse
Output:",41100,47177,74450,curse,"tensor([ 0.1310, -0.4482,  1.0010,  ..., -9.4062, -9.4062, -9.4062],
       dtype=torch.float16)",41100,11.828125,10.0234375,8.5859375,True,False,False
notorious,infamous,synonym,"Relation: synonym
Input: notorious
Output:",44081,39633,74450,notorious,"tensor([-1.4541, -1.5254,  0.2510,  ..., -9.8125, -9.8125, -9.8125],
       dtype=torch.float16)",44081,11.7734375,11.2578125,9.3125,True,False,False
unprotected,vulnerable,synonym,"Relation: synonym
Input: unprotected
Output:",94451,20134,74450,unprotected,"tensor([-1.1484, -2.2852, -1.0557,  ..., -9.9453, -9.9453, -9.9453],
       dtype=torch.float16)",94451,10.7109375,7.68359375,7.51171875,True,False,False
identify,recognize,synonym,"Relation: synonym
Input: identify
Output:",10765,15641,74450,identify,"tensor([-2.6250, -2.2656, -0.9761,  ..., -9.7266, -9.7266, -9.7266],
       dtype=torch.float16)",10765,11.3515625,9.1640625,10.3046875,True,False,False
messenger,courier,synonym,"Relation: synonym
Input: messenger
Output:",50596,75617,74450,messenger,"tensor([-1.8145, -1.1982, -1.0781,  ..., -9.6094, -9.6094, -9.6094],
       dtype=torch.float16)",50596,11.0234375,8.9296875,7.1953125,True,False,False
mysterious,enigmatic,synonym,"Relation: synonym
Input: mysterious
Output:",26454,665,74450,mysterious,"tensor([-0.7676, -1.2090,  0.6221,  ..., -9.9922, -9.9922, -9.9922],
       dtype=torch.float16)",26454,12.2421875,10.484375,7.4921875,True,False,False
punk,rebel,synonym,"Relation: synonym
Input: punk
Output:",36858,36417,74450,punk,"tensor([-1.0479, -2.5254, -0.9580,  ..., -9.6250, -9.6250, -9.6250],
       dtype=torch.float16)",36858,12.4609375,4.7109375,7.63671875,True,False,False
shameless,brazen,synonym,"Relation: synonym
Input: shameless
Output:",21648,20716,74450,shame,"tensor([ -2.0938,  -1.6494,  -1.1924,  ..., -10.0391, -10.0391, -10.0391],
       dtype=torch.float16)",21648,12.8515625,8.1328125,8.4140625,True,False,False
mythical,legendary,synonym,"Relation: synonym
Input: mythical
Output:",84219,28812,74450,mythical,"tensor([-0.5410, -0.6279,  1.4932,  ..., -9.3984, -9.3984, -9.3984],
       dtype=torch.float16)",84219,12.2265625,10.8671875,8.234375,True,False,False
loud,noisy,synonym,"Relation: synonym
Input: loud
Output:",17813,50380,74450,loud,"tensor([-0.9458, -0.5190,  0.5264,  ..., -9.2031, -9.2031, -9.2031],
       dtype=torch.float16)",17813,13.4765625,12.7421875,6.28125,True,False,False
sewing,stitching,synonym,"Relation: synonym
Input: sewing
Output:",52319,80231,74450,sewing,"tensor([-2.2578, -1.1436, -1.1387,  ..., -9.1016, -9.1016, -9.1016],
       dtype=torch.float16)",52319,11.8984375,11.6640625,7.15234375,True,False,False
merge,combine,synonym,"Relation: synonym
Input: merge
Output:",11117,16343,74450,merge,"tensor([-2.2754, -2.6797, -1.2217,  ..., -9.9141, -9.9141, -9.9141],
       dtype=torch.float16)",11117,11.9453125,8.234375,9.21875,True,False,False
cook,prepare food,synonym,"Relation: synonym
Input: cook
Output:",4394,10772,74450,cook,"tensor([-1.9043, -1.6162,  0.5488,  ..., -9.3750, -9.3750, -9.3750],
       dtype=torch.float16)",4394,11.859375,9.796875,7.0546875,True,False,False
think,consider,synonym,"Relation: synonym
Input: think
Output:",1781,2980,74450,think,"tensor([-1.7998, -2.0645, -0.3091,  ..., -9.2734, -9.2734, -9.2734],
       dtype=torch.float16)",1781,11.796875,10.1875,8.4765625,True,False,False
mediocre,average,synonym,"Relation: synonym
Input: mediocre
Output:",68480,5578,74450,mediocre,"tensor([-6.1621e-01, -7.9102e-01,  7.2136e-03,  ..., -9.1562e+00,
        -9.1562e+00, -9.1562e+00], dtype=torch.float16)",68480,11.90625,11.859375,10.0859375,True,False,False
artistic,creative,synonym,"Relation: synonym
Input: artistic
Output:",32692,11782,74450,artistic,"tensor([-2.0352, -1.8760, -0.1307,  ..., -9.3672, -9.3672, -9.3672],
       dtype=torch.float16)",32692,11.96875,10.09375,9.1171875,True,False,False
exhaustive,comprehensive,synonym,"Relation: synonym
Input: exhaustive
Output:",73603,16195,74450,exhaustive,"tensor([ -0.9043,  -2.7559,  -1.2012,  ..., -10.2734, -10.2734, -10.2734],
       dtype=torch.float16)",73603,11.1640625,8.9296875,8.3515625,True,False,False
