input,output,relation,prompt,intervention_layer,input_id,output_id,relation_id,prediction_id,input_logit,output_logit,relation_logit,prediction_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",,21139,87645,3224,578,13.1640625,9.4140625,7.0625,14.125,False,False,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",0.0,21139,87645,3224,362,1.9931640625,2.123046875,2.791015625,11.671875,False,False,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",1.0,21139,87645,3224,426,2.931640625,6.03515625,3.349609375,10.859375,False,False,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",2.0,21139,87645,3224,87645,9.3203125,10.9609375,5.0703125,10.9609375,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",3.0,21139,87645,3224,87645,13.1875,15.4453125,5.63671875,15.4453125,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",4.0,21139,87645,3224,87645,11.1796875,14.5625,4.35546875,14.5625,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",5.0,21139,87645,3224,87645,13.3828125,17.546875,5.83203125,17.546875,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",6.0,21139,87645,3224,87645,10.1953125,19.15625,6.03515625,19.15625,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",7.0,21139,87645,3224,87645,13.609375,20.046875,7.07421875,20.046875,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",8.0,21139,87645,3224,87645,12.859375,20.078125,6.7109375,20.078125,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",9.0,21139,87645,3224,87645,13.5703125,18.90625,6.41015625,18.90625,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",10.0,21139,87645,3224,87645,12.984375,17.46875,6.0,17.46875,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",11.0,21139,87645,3224,87645,13.53125,17.5625,5.7578125,17.5625,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",12.0,21139,87645,3224,87645,13.34375,18.140625,6.5625,18.140625,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",13.0,21139,87645,3224,87645,12.8203125,17.625,7.4375,17.625,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",14.0,21139,87645,3224,87645,13.84375,19.21875,7.46875,19.21875,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",15.0,21139,87645,3224,87645,13.671875,17.359375,8.3203125,17.359375,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",16.0,21139,87645,3224,87645,14.609375,16.625,7.8671875,16.625,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",17.0,21139,87645,3224,87645,14.3515625,15.1796875,7.3203125,15.1796875,False,True,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",18.0,21139,87645,3224,578,14.6875,14.4609375,7.6875,15.25,False,False,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",19.0,21139,87645,3224,578,13.8984375,13.3984375,7.0234375,14.640625,False,False,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",20.0,21139,87645,3224,578,13.6796875,13.28125,6.7890625,14.46875,False,False,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",21.0,21139,87645,3224,578,13.6015625,12.2421875,7.5546875,14.4375,False,False,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",22.0,21139,87645,3224,578,13.8515625,11.4453125,7.66015625,14.4921875,False,False,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",23.0,21139,87645,3224,578,13.6171875,10.6171875,7.78125,14.3359375,False,False,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",24.0,21139,87645,3224,578,13.640625,10.6015625,7.94921875,14.40625,False,False,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",25.0,21139,87645,3224,578,13.453125,10.296875,7.875,14.2421875,False,False,False
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",26.0,21139,87645,3224,578,13.5078125,10.4453125,7.71875,14.3828125,False,False,False
