input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
curse,swear,none,"Q: What is the none of curse?
A:",28401,24156,5293,The,"tensor([ 4.8984, -5.1289,  2.1035,  ..., -5.1562, -5.0781, -5.0977],
       dtype=torch.float16)",380,3.091796875,0.09588623046875,7.33984375,False,False,False
notorious,infamous,none,"Q: What is the none of notorious?
A:",32566,33486,5293,The,"tensor([ 5.0430, -4.9766,  1.5049,  ..., -5.0234, -4.8867, -4.9531],
       dtype=torch.float16)",380,3.115234375,2.53515625,7.859375,False,False,False
unprotected,vulnerable,none,"Q: What is the none of unprotected?
A:",440,14043,5293,The,"tensor([ 5.2188, -5.3789,  1.2725,  ..., -5.3672, -5.2383, -5.2930],
       dtype=torch.float16)",380,7.51171875,2.505859375,7.66015625,False,False,False
identify,recognize,none,"Q: What is the none of identify?
A:",4271,9446,5293,The,"tensor([ 5.0898, -5.1289,  1.2725,  ..., -5.1562, -5.1211, -5.0938],
       dtype=torch.float16)",380,6.48828125,2.728515625,7.44921875,False,False,False
messenger,courier,none,"Q: What is the none of messenger?
A:",31267,2565,5293,It,"tensor([ 4.9766, -5.3477,  1.9932,  ..., -5.3164, -5.2812, -5.2930],
       dtype=torch.float16)",733,7.5859375,2.29296875,7.703125,False,False,False
mysterious,enigmatic,none,"Q: What is the none of mysterious?
A:",19796,546,5293,The,"tensor([ 5.6406, -5.2539,  2.2227,  ..., -5.2969, -5.1836, -5.1289],
       dtype=torch.float16)",380,5.2265625,2.328125,6.56640625,False,False,False
punk,rebel,none,"Q: What is the none of punk?
A:",30304,29703,5293,It,"tensor([ 6.3008, -4.9961,  2.3633,  ..., -4.9180, -4.9727, -4.9180],
       dtype=torch.float16)",733,8.8125,0.431396484375,7.796875,False,False,False
shameless,brazen,none,"Q: What is the none of shameless?
A:",23013,6513,5293,The,"tensor([ 5.8047, -5.4141,  2.2188,  ..., -5.3828, -5.2812, -5.1758],
       dtype=torch.float16)",380,6.66796875,1.7001953125,7.1875,False,False,False
mythical,legendary,none,"Q: What is the none of mythical?
A:",13296,25893,5293,The,"tensor([ 5.0312, -5.8281,  1.6914,  ..., -5.8555, -5.7695, -5.7539],
       dtype=torch.float16)",380,6.6796875,2.435546875,6.8984375,False,False,False
loud,noisy,none,"Q: What is the none of loud?
A:",11216,27620,5293,The,"tensor([ 5.4961, -5.4336,  2.1484,  ..., -5.4727, -5.4258, -5.3438],
       dtype=torch.float16)",380,7.046875,3.146484375,7.890625,False,False,False
sewing,stitching,none,"Q: What is the none of sewing?
A:",36787,331,5293,The,"tensor([ 5.2070, -5.1602,  2.3340,  ..., -5.1133, -5.1602, -4.9648],
       dtype=torch.float16)",380,7.9453125,5.3203125,7.8046875,False,False,False
merge,combine,none,"Q: What is the none of merge?
A:",17310,13398,5293,It,"tensor([ 5.0117, -5.3789,  2.0137,  ..., -5.4883, -5.3398, -5.4297],
       dtype=torch.float16)",733,9.609375,4.02734375,8.453125,False,False,False
cook,prepare food,none,"Q: What is the none of cook?
A:",4417,10347,5293,The,"tensor([ 5.4844, -5.4609,  2.3438,  ..., -5.5078, -5.4062, -5.3164],
       dtype=torch.float16)",380,6.90625,2.978515625,7.71875,False,False,False
think,consider,none,"Q: What is the none of think?
A:",1158,1908,5293,I,"tensor([ 5.5625, -5.0273,  2.2754,  ..., -5.0117, -5.0234, -4.9922],
       dtype=torch.float16)",309,6.1796875,3.400390625,7.078125,False,False,False
mediocre,average,none,"Q: What is the none of mediocre?
A:",12069,3388,5293,The,"tensor([ 5.8320, -4.7461,  2.3594,  ..., -4.7148, -4.8281, -4.7188],
       dtype=torch.float16)",380,8.0703125,2.296875,7.3046875,False,False,False
artistic,creative,none,"Q: What is the none of artistic?
A:",21518,10995,5293,The,"tensor([ 5.5781, -5.2969,  2.1035,  ..., -5.1914, -5.2148, -5.1484],
       dtype=torch.float16)",380,5.19140625,4.25390625,7.390625,False,False,False
exhaustive,comprehensive,none,"Q: What is the none of exhaustive?
A:",41389,11088,5293,The,"tensor([ 4.5508, -4.8164,  2.0059,  ..., -4.7852, -4.6641, -4.6719],
       dtype=torch.float16)",380,6.078125,4.328125,7.94140625,False,False,False
loose,unfastened,none,"Q: What is the none of loose?
A:",13155,5369,5293,The,"tensor([ 5.2109, -5.3711,  1.4150,  ..., -5.3633, -5.3633, -5.3047],
       dtype=torch.float16)",380,5.6015625,1.349609375,7.3984375,False,False,False
counsel,advise,none,"Q: What is the none of counsel?
A:",5067,22276,5293,The,"tensor([ 4.0938, -3.3613,  1.2344,  ..., -3.1875, -3.3105, -3.1641],
       dtype=torch.float16)",380,5.3359375,0.192626953125,7.94921875,False,False,False
humble,modest,none,"Q: What is the none of humble?
A:",26896,16453,5293,The,"tensor([ 5.5039, -5.1836,  2.0176,  ..., -5.3008, -5.1875, -5.1406],
       dtype=torch.float16)",380,6.43359375,3.15234375,7.3984375,False,False,False
chemical,substance,none,"Q: What is the none of chemical?
A:",5793,10359,5293,It,"tensor([ 4.9219, -5.6562,  1.3965,  ..., -5.7109, -5.6602, -5.5156],
       dtype=torch.float16)",733,6.515625,2.521484375,7.76171875,False,False,False
improve,enhance,none,"Q: What is the none of improve?
A:",3157,7278,5293,The,"tensor([ 5.3359, -5.2891,  1.8955,  ..., -5.2500, -5.2383, -5.2188],
       dtype=torch.float16)",380,5.3828125,2.84375,7.39453125,False,False,False
initiation,beginning,none,"Q: What is the none of initiation?
A:",17000,5068,5293,The,"tensor([ 4.6484, -5.1289,  2.2188,  ..., -5.0000, -4.9688, -4.9570],
       dtype=torch.float16)",380,7.3984375,2.232421875,6.6953125,False,False,False
replication,duplication,none,"Q: What is the none of replication?
A:",14970,35793,5293,The,"tensor([ 4.5234, -5.2188,  1.9219,  ..., -5.2344, -5.1602, -5.1406],
       dtype=torch.float16)",380,7.62890625,2.279296875,7.75,False,False,False
persecution,oppression,none,"Q: What is the none of persecution?
A:",31222,35635,5293,The,"tensor([ 5.2695, -4.4062,  1.9434,  ..., -4.3125, -4.2539, -4.2383],
       dtype=torch.float16)",380,7.7578125,3.912109375,7.36328125,False,False,False
shine,glow,none,"Q: What is the none of shine?
A:",28189,15795,5293,The,"tensor([ 5.3281, -5.5000,  2.4141,  ..., -5.5508, -5.4766, -5.4062],
       dtype=torch.float16)",380,5.48828125,3.669921875,7.84765625,False,False,False
gown,dress,none,"Q: What is the none of gown?
A:",31079,7619,5293,It,"tensor([ 5.0273, -4.8828,  1.1201,  ..., -4.8438, -4.9297, -4.7031],
       dtype=torch.float16)",733,6.51953125,4.4296875,7.27734375,False,False,False
mobilize,deploy,none,"Q: What is the none of mobilize?
A:",31551,8745,5293,The,"tensor([ 5.0039, -5.4219,  2.0410,  ..., -5.5156, -5.5547, -5.3789],
       dtype=torch.float16)",380,7.4140625,3.212890625,6.99609375,False,False,False
match,pair,none,"Q: What is the none of match?
A:",3761,4667,5293,The,"tensor([ 4.3789, -5.5156,  2.4746,  ..., -5.4961, -5.5547, -5.3242],
       dtype=torch.float16)",380,7.71484375,1.955078125,7.94921875,False,False,False
standard,normal,none,"Q: What is the none of standard?
A:",2629,2622,5293,The,"tensor([ 4.7383, -5.2461,  1.3857,  ..., -5.2773, -5.2422, -5.2227],
       dtype=torch.float16)",380,6.55859375,4.24609375,7.83203125,False,False,False
complain,gripe,none,"Q: What is the none of complain?
A:",17805,18234,5293,The,"tensor([ 5.2891, -4.9688,  2.2344,  ..., -4.9219, -4.9258, -4.8594],
       dtype=torch.float16)",380,6.203125,-0.826171875,7.8125,False,False,False
accidental,unintentional,none,"Q: What is the none of accidental?
A:",31120,25962,5293,The,"tensor([ 5.0039, -5.1094,  1.9297,  ..., -5.0078, -5.0430, -4.9336],
       dtype=torch.float16)",380,7.2265625,3.720703125,7.78515625,False,False,False
different,unique,none,"Q: What is the none of different?
A:",1027,4451,5293,The,"tensor([ 5.0430, -5.3438,  1.2256,  ..., -5.3086, -5.2891, -5.2500],
       dtype=torch.float16)",380,5.59765625,1.9189453125,6.85546875,False,False,False
enough,sufficient,none,"Q: What is the none of enough?
A:",2217,4209,5293,The,"tensor([ 5.7070, -4.6523,  2.1055,  ..., -4.6602, -4.6289, -4.5039],
       dtype=torch.float16)",380,5.70703125,3.345703125,6.703125,False,False,False
parting,separation,none,"Q: What is the none of parting?
A:",629,9712,5293,The,"tensor([ 5.1914, -5.2578,  1.5791,  ..., -5.1211, -5.0625, -5.1211],
       dtype=torch.float16)",380,6.53125,3.99609375,6.92578125,False,False,False
strip,remove,none,"Q: What is the none of strip?
A:",11705,5386,5293,It,"tensor([ 5.3984, -5.1719,  2.3594,  ..., -5.1523, -5.0898, -5.0977],
       dtype=torch.float16)",733,8.75,5.25,7.76171875,False,False,False
majestic,grandiose,none,"Q: What is the none of majestic?
A:",19684,4936,5293,The,"tensor([ 5.2930, -5.8008,  1.5615,  ..., -5.6914, -5.6914, -5.7188],
       dtype=torch.float16)",380,6.859375,2.61328125,7.453125,False,False,False
unrelated,unconnected,none,"Q: What is the none of unrelated?
A:",20804,440,5293,The,"tensor([ 5.4883, -4.8789,  1.5186,  ..., -4.8242, -4.8008, -4.7695],
       dtype=torch.float16)",380,4.71875,5.5859375,8.125,False,False,False
possession,ownership,none,"Q: What is the none of possession?
A:",10023,12851,5293,The,"tensor([ 4.1758, -4.5898,  0.9165,  ..., -4.4453, -4.4531, -4.4609],
       dtype=torch.float16)",380,6.59375,4.29296875,7.40234375,False,False,False
