input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,country-capital,"Q: What is the country-capital of Afghanistan?
A:",16111,611,2586,K,"tensor([ 7.3750, -4.7539,  3.5938,  ..., -4.4023, -6.1914, -4.6836],
       dtype=torch.float16)",611,12.6953125,14.734375,5.625,False,True,False
Albania,Tirana,country-capital,"Q: What is the country-capital of Albania?
A:",31208,48669,2586,Tir,"tensor([ 5.6680, -5.6016,  4.4102,  ..., -4.8359, -5.8516, -5.0508],
       dtype=torch.float16)",48669,13.5859375,15.421875,5.734375,False,True,False
Algeria,Algiers,country-capital,"Q: What is the country-capital of Algeria?
A:",36364,1219,2586,Al,"tensor([ 6.6719, -5.0195,  3.9238,  ..., -4.1172, -6.0547, -4.9258],
       dtype=torch.float16)",1219,13.0390625,14.5,4.75,False,True,False
Andorra,Andorra la Vella,country-capital,"Q: What is the country-capital of Andorra?
A:",1244,1244,2586,And,"tensor([ 6.2891, -4.8750,  3.8535,  ..., -4.2734, -5.3398, -4.3008],
       dtype=torch.float16)",1244,14.03125,14.03125,3.876953125,True,True,False
Angola,Luanda,country-capital,"Q: What is the country-capital of Angola?
A:",4965,7511,2586,Lu,"tensor([ 5.8594, -4.5977,  3.0625,  ..., -4.9102, -5.9805, -4.6211],
       dtype=torch.float16)",7511,13.4375,13.8359375,4.2109375,False,True,False
Antigua and Barbuda,St. John's,country-capital,"Q: What is the country-capital of Antigua and Barbuda?
A:",9422,659,2586,Ant,"tensor([ 5.9375, -4.6914,  3.3125,  ..., -4.5391, -6.6250, -5.0938],
       dtype=torch.float16)",9422,14.2890625,10.8125,3.984375,True,False,False
Argentina,Buenos Aires,country-capital,"Q: What is the country-capital of Argentina?
A:",23881,46287,2586,Buenos,"tensor([ 6.4336, -4.0352,  3.1699,  ..., -4.9414, -6.2266, -4.9766],
       dtype=torch.float16)",46287,11.75,15.1484375,4.3984375,False,True,False
Armenia,Yerevan,country-capital,"Q: What is the country-capital of Armenia?
A:",5360,714,2586,Y,"tensor([ 7.4375, -5.2578,  2.3184,  ..., -4.2500, -6.1445, -4.8672],
       dtype=torch.float16)",714,11.6796875,14.375,5.51171875,False,True,False
Australia,Canberra,country-capital,"Q: What is the country-capital of Australia?
A:",6976,2615,2586,Can,"tensor([ 6.1562, -4.6680,  4.1133,  ..., -4.7188, -6.0195, -5.1562],
       dtype=torch.float16)",2615,11.5234375,14.203125,4.57421875,False,True,False
Austria,Vienna,country-capital,"Q: What is the country-capital of Austria?
A:",21753,26229,2586,Vienna,"tensor([ 5.5664, -5.0234,  4.0898,  ..., -5.2539, -6.3477, -5.8164],
       dtype=torch.float16)",26229,11.3984375,14.9453125,4.453125,False,True,False
Azerbaijan,Baku,country-capital,"Q: What is the country-capital of Azerbaijan?
A:",46555,378,2586,B,"tensor([ 6.8789, -5.4414,  3.5625,  ..., -4.1875, -6.3516, -4.7031],
       dtype=torch.float16)",378,11.9453125,15.40625,5.421875,False,True,False
Bahamas,Nassau,country-capital,"Q: What is the country-capital of Bahamas?
A:",21789,49905,2586,Nass,"tensor([ 4.1797, -4.9883,  2.9824,  ..., -4.5469, -6.4727, -5.2148],
       dtype=torch.float16)",49905,12.4140625,14.9375,4.1796875,False,True,False
Bahrain,Manama,country-capital,"Q: What is the country-capital of Bahrain?
A:",21789,3083,2586,Bah,"tensor([ 6.5977, -4.8906,  3.7090,  ..., -3.9180, -6.0820, -5.1406],
       dtype=torch.float16)",21789,14.375,13.328125,4.35546875,True,False,False
Bangladesh,Dhaka,country-capital,"Q: What is the country-capital of Bangladesh?
A:",29310,37287,2586,Dh,"tensor([ 6.5586, -5.8750,  4.0781,  ..., -5.0938, -6.5469, -5.4180],
       dtype=torch.float16)",37287,12.4921875,15.0703125,4.6015625,False,True,False
