input,output,relation,prompt,intervention_layer,input_id,output_id,relation_id,prediction_id,input_logit,output_logit,relation_logit,prediction_logit,input_prediction,output_prediction,relation_prediction,input_token,output_token,relation_token,prediction_token
true,false,none,"Q: What is the none of true?
A:",,837,905,3276,578,7.86328125,9.203125,3.67578125,12.0546875,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",0.0,837,905,3276,13783,2.279296875,1.77734375,-3.626953125,8.71875,False,False,False,true,false,ant,usual
true,false,none,"Q: What is the none of true?
A:",1.0,837,905,3276,13783,1.93359375,1.2177734375,-4.29296875,8.9765625,False,False,False,true,false,ant,usual
true,false,none,"Q: What is the none of true?
A:",2.0,837,905,3276,13783,1.8525390625,1.4384765625,-4.42578125,8.296875,False,False,False,true,false,ant,usual
true,false,none,"Q: What is the none of true?
A:",3.0,837,905,3276,8486,2.943359375,0.6513671875,0.89990234375,9.359375,False,False,False,true,false,ant,journal
true,false,none,"Q: What is the none of true?
A:",4.0,837,905,3276,650,1.513671875,1.0615234375,1.337890625,10.125,False,False,False,true,false,ant,V
true,false,none,"Q: What is the none of true?
A:",5.0,837,905,3276,7294,1.9677734375,0.154296875,4.078125,11.625,False,False,False,true,false,ant,anti
true,false,none,"Q: What is the none of true?
A:",6.0,837,905,3276,909,4.6640625,1.234375,4.25,12.0,False,False,False,true,false,ant,""")"
true,false,none,"Q: What is the none of true?
A:",7.0,837,905,3276,315,6.86328125,2.98828125,5.3046875,11.609375,False,False,False,true,false,ant,of
true,false,none,"Q: What is the none of true?
A:",8.0,837,905,3276,128001,5.3203125,2.7578125,4.41015625,11.3125,False,False,False,true,false,ant,
true,false,none,"Q: What is the none of true?
A:",9.0,837,905,3276,909,4.12890625,2.484375,2.5859375,12.2890625,False,False,False,true,false,ant,""")"
true,false,none,"Q: What is the none of true?
A:",10.0,837,905,3276,38,4.62890625,3.212890625,2.06640625,10.984375,False,False,False,true,false,ant,G
true,false,none,"Q: What is the none of true?
A:",11.0,837,905,3276,128001,6.53125,4.8671875,3.2890625,12.5,False,False,False,true,false,ant,
true,false,none,"Q: What is the none of true?
A:",12.0,837,905,3276,128001,6.40625,4.84765625,2.814453125,12.1640625,False,False,False,true,false,ant,
true,false,none,"Q: What is the none of true?
A:",13.0,837,905,3276,128001,8.3203125,5.8671875,3.474609375,13.96875,False,False,False,true,false,ant,
true,false,none,"Q: What is the none of true?
A:",14.0,837,905,3276,128001,12.375,10.3203125,5.12109375,13.8125,False,False,False,true,false,ant,
true,false,none,"Q: What is the none of true?
A:",15.0,837,905,3276,2290,10.390625,10.2734375,6.76171875,14.4453125,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",16.0,837,905,3276,2290,9.890625,10.046875,5.01953125,13.9140625,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",17.0,837,905,3276,2290,10.7265625,10.953125,5.3515625,13.234375,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",18.0,837,905,3276,2290,11.6171875,12.890625,5.921875,13.9765625,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",19.0,837,905,3276,2290,10.859375,11.6875,4.796875,13.5625,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",20.0,837,905,3276,2290,10.9609375,11.6953125,5.05859375,13.0625,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",21.0,837,905,3276,2290,10.671875,11.546875,5.2890625,12.2578125,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",22.0,837,905,3276,2290,10.4296875,11.0078125,5.0390625,12.578125,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",23.0,837,905,3276,2290,10.3828125,11.1171875,4.31640625,12.234375,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",24.0,837,905,3276,578,9.9453125,10.890625,4.26953125,11.984375,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",25.0,837,905,3276,578,9.3203125,10.265625,4.48828125,11.9453125,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",26.0,837,905,3276,578,9.125,10.171875,4.390625,11.9765625,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",27.0,837,905,3276,578,8.9453125,10.0234375,4.75,12.375,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",28.0,837,905,3276,578,9.3203125,10.515625,4.90234375,12.8828125,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",29.0,837,905,3276,578,8.8046875,9.8125,3.72265625,12.390625,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",30.0,837,905,3276,220,9.0078125,10.34375,4.765625,13.703125,False,False,False,true,false,ant,
true,false,none,"Q: What is the none of true?
A:",31.0,837,905,3276,220,8.6015625,9.7109375,5.04296875,14.671875,False,False,False,true,false,ant,
daily,nightly,none,"Q: What is the none of daily?
A:",,7446,75860,3276,578,7.62109375,1.1484375,1.98046875,11.8515625,False,False,False,daily,nightly,ant,The
daily,nightly,none,"Q: What is the none of daily?
A:",0.0,7446,75860,3276,13783,1.3720703125,0.35888671875,-3.6484375,8.7265625,False,False,False,daily,nightly,ant,usual
daily,nightly,none,"Q: What is the none of daily?
A:",1.0,7446,75860,3276,13783,1.4892578125,0.011962890625,-4.2734375,8.9765625,False,False,False,daily,nightly,ant,usual
daily,nightly,none,"Q: What is the none of daily?
A:",2.0,7446,75860,3276,13783,2.26171875,0.029693603515625,-4.40625,8.359375,False,False,False,daily,nightly,ant,usual
daily,nightly,none,"Q: What is the none of daily?
A:",3.0,7446,75860,3276,8486,5.1171875,-0.78662109375,0.869140625,9.4375,False,False,False,daily,nightly,ant,journal
daily,nightly,none,"Q: What is the none of daily?
A:",4.0,7446,75860,3276,650,4.640625,-1.18359375,1.3037109375,9.984375,False,False,False,daily,nightly,ant,V
daily,nightly,none,"Q: What is the none of daily?
A:",5.0,7446,75860,3276,7294,5.98046875,-0.72119140625,3.962890625,11.453125,False,False,False,daily,nightly,ant,anti
daily,nightly,none,"Q: What is the none of daily?
A:",6.0,7446,75860,3276,909,8.0,1.3857421875,4.15625,12.3203125,False,False,False,daily,nightly,ant,""")"
daily,nightly,none,"Q: What is the none of daily?
A:",7.0,7446,75860,3276,2366,8.1015625,0.95947265625,5.53125,12.1875,False,False,False,daily,nightly,ant,202
daily,nightly,none,"Q: What is the none of daily?
A:",8.0,7446,75860,3276,128001,6.703125,0.388427734375,4.66796875,11.3828125,False,False,False,daily,nightly,ant,
daily,nightly,none,"Q: What is the none of daily?
A:",9.0,7446,75860,3276,40,3.24609375,-2.29296875,3.306640625,11.828125,False,False,False,daily,nightly,ant,I
daily,nightly,none,"Q: What is the none of daily?
A:",10.0,7446,75860,3276,482,4.0859375,-1.2353515625,2.27734375,10.296875,False,False,False,daily,nightly,ant,-
daily,nightly,none,"Q: What is the none of daily?
A:",11.0,7446,75860,3276,578,6.26171875,0.66455078125,3.16015625,10.3671875,False,False,False,daily,nightly,ant,The
daily,nightly,none,"Q: What is the none of daily?
A:",12.0,7446,75860,3276,578,6.87109375,1.4296875,2.560546875,9.71875,False,False,False,daily,nightly,ant,The
daily,nightly,none,"Q: What is the none of daily?
A:",13.0,7446,75860,3276,128001,9.2734375,3.359375,3.416015625,12.875,False,False,False,daily,nightly,ant,
daily,nightly,none,"Q: What is the none of daily?
A:",14.0,7446,75860,3276,7000,11.8671875,6.421875,4.09765625,12.984375,False,False,False,daily,nightly,ant,none
daily,nightly,none,"Q: What is the none of daily?
A:",15.0,7446,75860,3276,2290,11.15625,5.01953125,4.45703125,12.8125,False,False,False,daily,nightly,ant,None
daily,nightly,none,"Q: What is the none of daily?
A:",16.0,7446,75860,3276,2290,9.8671875,4.171875,2.958984375,12.5,False,False,False,daily,nightly,ant,None
daily,nightly,none,"Q: What is the none of daily?
A:",17.0,7446,75860,3276,578,11.078125,4.421875,4.546875,13.3671875,False,False,False,daily,nightly,ant,The
daily,nightly,none,"Q: What is the none of daily?
A:",18.0,7446,75860,3276,578,12.5390625,5.6328125,4.9609375,13.75,False,False,False,daily,nightly,ant,The
daily,nightly,none,"Q: What is the none of daily?
A:",19.0,7446,75860,3276,578,11.40625,4.88671875,3.359375,13.0,False,False,False,daily,nightly,ant,The
daily,nightly,none,"Q: What is the none of daily?
A:",20.0,7446,75860,3276,578,10.875,5.515625,4.03515625,12.9296875,False,False,False,daily,nightly,ant,The
daily,nightly,none,"Q: What is the none of daily?
A:",21.0,7446,75860,3276,578,10.171875,4.171875,3.53125,12.0546875,False,False,False,daily,nightly,ant,The
daily,nightly,none,"Q: What is the none of daily?
A:",22.0,7446,75860,3276,578,9.6875,4.171875,3.201171875,12.3984375,False,False,False,daily,nightly,ant,The
