input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,repeition,"Q: What is the repeition of flawed?
A:",48008,4832,6351,The,"tensor([ 1.3730, -0.7061,  0.0398,  ..., -9.3125, -9.3125, -9.3125],
       dtype=torch.float16)",578,12.5390625,6.25390625,8.0234375,False,False,False
orthodox,unorthodox,repeition,"Q: What is the repeition of orthodox?
A:",92342,653,6351,The,"tensor([ 1.2158,  0.3677,  0.5054,  ..., -8.9766, -8.9766, -8.9766],
       dtype=torch.float16)",578,11.59375,5.84765625,7.6875,False,False,False
true,false,repeition,"Q: What is the repeition of true?
A:",837,905,6351,The,"tensor([ 0.9438, -0.0405,  0.8628,  ..., -9.6328, -9.6328, -9.6328],
       dtype=torch.float16)",578,11.953125,9.6796875,7.23046875,False,False,False
daily,nightly,repeition,"Q: What is the repeition of daily?
A:",7446,75860,6351,The,"tensor([ 0.8066,  0.0847,  0.6050,  ..., -9.4453, -9.4453, -9.4453],
       dtype=torch.float16)",578,8.8203125,1.2529296875,5.33203125,False,False,False
distribution,concentration,repeition,"Q: What is the repeition of distribution?
A:",8141,20545,6351,The,"tensor([ 0.2448, -0.0972,  0.3057,  ..., -9.1797, -9.1797, -9.1797],
       dtype=torch.float16)",578,8.5625,1.7822265625,5.9140625,False,False,False
valid,invalid,repeition,"Q: What is the repeition of valid?
A:",2764,8482,6351,The,"tensor([  0.0275,  -0.5229,  -0.1204,  ..., -10.5000, -10.5000, -10.5000],
       dtype=torch.float16)",578,10.265625,5.77734375,6.27734375,False,False,False
expand,contract,repeition,"Q: What is the repeition of expand?
A:",9407,5226,6351,The,"tensor([  0.6089,  -0.4363,   0.1715,  ..., -10.0781, -10.0781, -10.0781],
       dtype=torch.float16)",578,11.1875,2.587890625,7.140625,False,False,False
practical,impractical,repeition,"Q: What is the repeition of practical?
A:",15325,23356,6351,The,"tensor([ 1.7988,  1.7188,  2.1621,  ..., -7.2930, -7.2930, -7.2930],
       dtype=torch.float16)",578,11.3125,3.693359375,9.1640625,False,False,False
privilege,disadvantage,repeition,"Q: What is the repeition of privilege?
A:",26632,49836,6351,The,"tensor([ 0.9683,  1.7979,  1.4590,  ..., -8.9062, -8.9062, -8.9062],
       dtype=torch.float16)",578,9.8671875,2.677734375,6.74609375,False,False,False
mammoth,tiny,repeition,"Q: What is the repeition of mammoth?
A:",33820,13987,6351,The,"tensor([ 1.8389,  0.1891,  0.5015,  ..., -8.3594, -8.3594, -8.3594],
       dtype=torch.float16)",578,12.953125,4.53515625,7.109375,False,False,False
unrelated,related,repeition,"Q: What is the repeition of unrelated?
A:",46305,5552,6351,The,"tensor([ 2.3848,  0.6768,  1.1680,  ..., -9.4219, -9.4219, -9.4219],
       dtype=torch.float16)",578,10.8203125,8.15625,7.81640625,False,False,False
overnight,daytime,repeition,"Q: What is the repeition of overnight?
A:",25402,62182,6351,The,"tensor([ 2.4727,  1.7998,  1.7725,  ..., -8.9219, -8.9219, -8.9219],
       dtype=torch.float16)",578,11.1484375,4.4296875,6.8359375,False,False,False
other,same,repeition,"Q: What is the repeition of other?
A:",1023,1890,6351,The,"tensor([ 0.6055, -0.7231,  0.9438,  ..., -9.5859, -9.5859, -9.5859],
       dtype=torch.float16)",578,12.1796875,6.5859375,7.20703125,False,False,False
square,circle,repeition,"Q: What is the repeition of square?
A:",9518,12960,6351,The,"tensor([ 3.4238,  0.8184,  2.6719,  ..., -8.1875, -8.1875, -8.1875],
       dtype=torch.float16)",578,13.328125,6.28515625,8.0,False,False,False
hollow,solid,repeition,"Q: What is the repeition of hollow?
A:",42902,6573,6351,The,"tensor([ 0.9326, -0.1869,  0.6357,  ..., -9.6875, -9.6875, -9.6875],
       dtype=torch.float16)",578,11.515625,7.5234375,7.8359375,False,False,False
difficult,easy,repeition,"Q: What is the repeition of difficult?
A:",5107,4228,6351,The,"tensor([  1.4697,  -0.1172,   1.2539,  ..., -10.0391, -10.0391, -10.0391],
       dtype=torch.float16)",578,11.6328125,7.76171875,6.9765625,False,False,False
luxury,poverty,repeition,"Q: What is the repeition of luxury?
A:",19913,19542,6351,Luxury,"tensor([ 0.8022,  1.3789,  1.1289,  ..., -9.7031, -9.7031, -9.7031],
       dtype=torch.float16)",52350,11.21875,1.939453125,6.08203125,True,False,False
stimulate,inhibit,repeition,"Q: What is the repeition of stimulate?
A:",51077,69033,6351,The,"tensor([ 1.1572,  0.6792,  1.2090,  ..., -8.8516, -8.8516, -8.8516],
       dtype=torch.float16)",578,10.484375,3.931640625,6.98046875,False,False,False
proceed,halt,repeition,"Q: What is the repeition of proceed?
A:",10570,27365,6351,The,"tensor([ -0.2327,   0.5693,   0.3162,  ..., -10.6328, -10.6328, -10.6328],
       dtype=torch.float16)",578,10.203125,0.364501953125,6.24609375,False,False,False
