input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
curse,swear,repeition,"Q: What is the repeition of curse?
A:",28401,24156,3842,The,"tensor([ 4.1719, -5.5000,  1.6025,  ..., -5.4609, -5.3984, -5.4922],
       dtype=torch.float16)",380,3.9140625,0.4697265625,2.544921875,False,False,False
notorious,infamous,repeition,"Q: What is the repeition of notorious?
A:",32566,33486,3842,The,"tensor([ 3.8789, -4.6172,  1.5322,  ..., -4.5977, -4.4062, -4.6680],
       dtype=torch.float16)",380,6.34375,5.74609375,5.2109375,False,False,False
unprotected,vulnerable,repeition,"Q: What is the repeition of unprotected?
A:",440,14043,3842,The,"tensor([ 4.6133, -5.3633,  1.0498,  ..., -5.3398, -5.1406, -5.3281],
       dtype=torch.float16)",380,7.91796875,0.8955078125,4.921875,False,False,False
identify,recognize,repeition,"Q: What is the repeition of identify?
A:",4271,9446,3842,The,"tensor([ 4.1562, -4.7812,  0.4741,  ..., -4.8047, -4.7578, -4.8750],
       dtype=torch.float16)",380,8.34375,3.236328125,4.1953125,False,False,False
messenger,courier,repeition,"Q: What is the repeition of messenger?
A:",31267,2565,3842,The,"tensor([ 4.0273, -5.4609,  1.5273,  ..., -5.3320, -5.3320, -5.4609],
       dtype=torch.float16)",380,8.328125,2.79296875,3.904296875,False,False,False
mysterious,enigmatic,repeition,"Q: What is the repeition of mysterious?
A:",19796,546,3842,The,"tensor([ 4.8438, -5.5508,  2.0176,  ..., -5.6172, -5.4141, -5.5000],
       dtype=torch.float16)",380,6.65625,2.345703125,3.4296875,False,False,False
punk,rebel,repeition,"Q: What is the repeition of punk?
A:",30304,29703,3842,P,"tensor([ 5.9922, -5.0977,  3.2949,  ..., -5.0156, -4.9922, -5.1016],
       dtype=torch.float16)",367,9.9140625,1.8154296875,2.8515625,False,False,False
shameless,brazen,repeition,"Q: What is the repeition of shameless?
A:",23013,6513,3842,The,"tensor([ 4.4062, -5.6562,  1.9209,  ..., -5.6562, -5.4805, -5.4922],
       dtype=torch.float16)",380,7.08203125,2.44140625,3.17578125,False,False,False
mythical,legendary,repeition,"Q: What is the repeition of mythical?
A:",13296,25893,3842,The,"tensor([ 4.5586, -5.9375,  1.9883,  ..., -5.9492, -5.8164, -5.8633],
       dtype=torch.float16)",380,7.609375,2.943359375,3.05859375,False,False,False
loud,noisy,repeition,"Q: What is the repeition of loud?
A:",11216,27620,3842,The,"tensor([ 4.8477, -5.4336,  1.6172,  ..., -5.4375, -5.3281, -5.4062],
       dtype=torch.float16)",380,8.0859375,2.435546875,4.6484375,False,False,False
