input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,repeat,"Relation: repeat
Input: flawed
Output:",33657,3962,10280,flawed,"tensor([ 4.9062, -4.1211,  2.5215,  ..., -4.2617, -4.1289, -4.3594],
       dtype=torch.float16)",33657,11.359375,8.0546875,8.0859375,True,False,False
orthodox,unorthodox,repeat,"Relation: repeat
Input: orthodox
Output:",9373,440,10280,orth,"tensor([ 3.9297, -5.1094,  2.3086,  ..., -4.9570, -4.9688, -5.1992],
       dtype=torch.float16)",9373,11.625,6.71484375,9.046875,True,False,False
true,false,repeat,"Relation: repeat
Input: true
Output:",2032,3221,10280,true,"tensor([ 5.0859, -4.6953,  3.0645,  ..., -4.6250, -4.7461, -4.8203],
       dtype=torch.float16)",2032,14.2109375,13.5859375,9.828125,True,False,False
daily,nightly,repeat,"Relation: repeat
Input: daily
Output:",5312,2360,10280,daily,"tensor([ 4.4414, -4.8086,  1.2979,  ..., -5.0820, -5.0273, -5.0664],
       dtype=torch.float16)",5312,12.9140625,5.515625,9.3125,True,False,False
distribution,concentration,repeat,"Relation: repeat
Input: distribution
Output:",3268,4719,10280,distribution,"tensor([ 3.5293, -4.8398,  0.7100,  ..., -5.0742, -4.9297, -4.9727],
       dtype=torch.float16)",3268,12.3515625,4.8671875,8.703125,True,False,False
valid,invalid,repeat,"Relation: repeat
Input: valid
Output:",3588,12078,10280,valid,"tensor([ 5.0859, -4.6562,  2.9980,  ..., -4.6836, -4.6797, -4.8438],
       dtype=torch.float16)",3588,13.4921875,11.671875,10.4921875,True,False,False
expand,contract,repeat,"Relation: repeat
Input: expand
Output:",5645,3310,10280,expand,"tensor([ 5.5469, -4.9453,  3.1641,  ..., -5.0430, -4.9609, -5.1797],
       dtype=torch.float16)",5645,11.9921875,6.00390625,11.4453125,True,False,False
practical,impractical,repeat,"Relation: repeat
Input: practical
Output:",8542,45783,10280,practical,"tensor([ 4.5820, -4.8750,  1.9961,  ..., -4.8555, -4.9492, -4.9492],
       dtype=torch.float16)",8542,11.125,4.78515625,8.9609375,True,False,False
privilege,disadvantage,repeat,"Relation: repeat
Input: privilege
Output:",15863,18928,10280,privilege,"tensor([ 5.0508, -4.6367,  2.8066,  ..., -4.7617, -4.6172, -4.8555],
       dtype=torch.float16)",15863,12.8203125,-0.12286376953125,9.9921875,True,False,False
mammoth,tiny,repeat,"Relation: repeat
Input: mammoth
Output:",11783,10058,10280,mamm,"tensor([ 3.9434, -5.1172,  2.0879,  ..., -5.0781, -5.2266, -5.2852],
       dtype=torch.float16)",11783,11.7421875,4.6171875,8.765625,True,False,False
unrelated,related,repeat,"Relation: repeat
Input: unrelated
Output:",20804,2905,10280,unrelated,"tensor([ 5.1055, -3.9707,  2.0840,  ..., -3.9258, -3.9082, -4.0742],
       dtype=torch.float16)",20804,13.6640625,12.4921875,10.421875,True,False,False
overnight,daytime,repeat,"Relation: repeat
Input: overnight
Output:",13463,37527,10280,,"tensor([ 5.0547, -4.8086,  1.9521,  ..., -4.9258, -4.8867, -4.9844],
       dtype=torch.float16)",187,10.1953125,7.97265625,8.9921875,False,False,False
other,same,repeat,"Relation: repeat
Input: other
Output:",643,1072,10280,other,"tensor([ 4.7266, -4.3555,  2.2559,  ..., -4.3594, -4.3906, -4.4844],
       dtype=torch.float16)",643,12.75,9.921875,10.8515625,True,False,False
square,circle,repeat,"Relation: repeat
Input: square
Output:",6278,9096,10280,square,"tensor([ 4.9688, -4.7500,  3.2559,  ..., -4.7695, -4.7461, -4.9180],
       dtype=torch.float16)",6278,12.328125,9.109375,10.71875,True,False,False
hollow,solid,repeat,"Relation: repeat
Input: hollow
Output:",19781,4891,10280,true,"tensor([ 5.0234, -4.7891,  2.5996,  ..., -4.8594, -4.8516, -4.9453],
       dtype=torch.float16)",2032,11.0234375,9.8828125,10.0,False,False,False
difficult,easy,repeat,"Relation: repeat
Input: difficult
Output:",2834,3477,10280,difficult,"tensor([ 4.4570, -4.3750,  2.4082,  ..., -4.5664, -4.5820, -4.6445],
       dtype=torch.float16)",2834,12.421875,11.9453125,9.859375,True,False,False
luxury,poverty,repeat,"Relation: repeat
Input: luxury
Output:",18997,14192,10280,luxury,"tensor([ 3.9902, -5.2031,  2.4531,  ..., -5.1758, -5.1992, -5.3359],
       dtype=torch.float16)",18997,12.125,4.2109375,9.1328125,True,False,False
stimulate,inhibit,repeat,"Relation: repeat
Input: stimulate
Output:",23278,15582,10280,stimulate,"tensor([ 4.1875, -4.6914,  2.4043,  ..., -4.9062, -4.6602, -4.7773],
       dtype=torch.float16)",23278,11.09375,9.2265625,8.296875,True,False,False
proceed,halt,repeat,"Relation: repeat
Input: proceed
Output:",4262,19086,10280,proceed,"tensor([ 4.3867, -4.2344,  2.7422,  ..., -4.2734, -4.1562, -4.3477],
       dtype=torch.float16)",4262,12.1796875,7.08203125,10.03125,True,False,False
fertile,infertile,repeat,"Relation: repeat
Input: fertile
Output:",38681,2192,10280,fertile,"tensor([ 4.3828, -4.5703,  2.2207,  ..., -4.7695, -4.5820, -4.7539],
       dtype=torch.float16)",38681,12.2109375,8.328125,8.7578125,True,False,False
empirical,theoretical,repeat,"Relation: repeat
Input: empirical
Output:",16774,10527,10280,empirical,"tensor([ 3.5605, -5.2969,  0.6289,  ..., -5.3945, -5.4258, -5.4336],
       dtype=torch.float16)",16774,10.828125,6.95703125,8.1875,True,False,False
pretty,ugly,repeat,"Relation: repeat
Input: pretty
Output:",3965,19513,10280,pretty,"tensor([ 5.2656, -4.6172,  2.6465,  ..., -4.6328, -4.6836, -4.6680],
       dtype=torch.float16)",3965,12.8515625,7.1171875,10.2890625,True,False,False
clinical,emotional,repeat,"Relation: repeat
Input: clinical
Output:",3382,8991,10280,clinical,"tensor([ 4.0781, -4.7930,  1.2559,  ..., -5.0156, -4.9570, -5.0117],
       dtype=torch.float16)",3382,11.8203125,3.509765625,8.3984375,True,False,False
lucky,unlucky,repeat,"Relation: repeat
Input: lucky
Output:",13476,46144,10280,lucky,"tensor([ 4.6367, -4.9414,  2.9902,  ..., -4.9648, -5.0625, -5.0859],
       dtype=torch.float16)",13476,11.671875,8.3125,9.3828125,True,False,False
tail,head,repeat,"Relation: repeat
Input: tail
Output:",8105,1481,10280,tail,"tensor([ 4.5234, -4.6641,  2.5566,  ..., -4.6953, -4.8086, -4.8438],
       dtype=torch.float16)",8105,12.0078125,11.046875,11.4296875,True,False,False
