input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,none,"Relation: none
Input: Afghanistan
Output:",16111,611,5293,Afghanistan,"tensor([ 4.1445, -5.2383,  1.4785,  ..., -5.1250, -5.2070, -5.3867],
       dtype=torch.float16)",16111,11.84375,7.83984375,9.4765625,True,False,False
Albania,Tirana,none,"Relation: none
Input: Albania
Output:",31208,48669,5293,Alban,"tensor([ 4.3555, -5.1680,  1.5771,  ..., -5.2383, -5.3359, -5.4570],
       dtype=torch.float16)",31208,11.7109375,5.25390625,9.1875,True,False,False
Algeria,Algiers,none,"Relation: none
Input: Algeria
Output:",36364,1219,5293,Alger,"tensor([ 3.9375, -5.3750,  1.1396,  ..., -5.2344, -5.3984, -5.4766],
       dtype=torch.float16)",36364,11.5078125,8.28125,9.296875,True,False,False
Andorra,Andorra la Vella,none,"Relation: none
Input: Andorra
Output:",1244,1244,5293,And,"tensor([ 4.8867, -5.3242,  1.3613,  ..., -5.4023, -5.5742, -5.6641],
       dtype=torch.float16)",1244,11.1484375,11.1484375,9.3203125,True,True,False
Angola,Luanda,none,"Relation: none
Input: Angola
Output:",4965,7511,5293,Ang,"tensor([ 4.1016, -5.5625,  0.5371,  ..., -5.5820, -5.6836, -5.7656],
       dtype=torch.float16)",4965,11.4140625,5.765625,9.3125,True,False,False
Antigua and Barbuda,St. John's,none,"Relation: none
Input: Antigua and Barbuda
Output:",9422,659,5293,Ant,"tensor([ 5.0234, -5.1914,  0.9204,  ..., -5.2383, -5.3086, -5.4727],
       dtype=torch.float16)",9422,11.984375,7.0,10.0703125,True,False,False
Argentina,Buenos Aires,none,"Relation: none
Input: Argentina
Output:",23881,46287,5293,Argentina,"tensor([ 3.8867, -5.3477,  1.1982,  ..., -5.2188, -5.4883, -5.4531],
       dtype=torch.float16)",23881,11.6953125,8.0546875,8.7109375,True,False,False
Armenia,Yerevan,none,"Relation: none
Input: Armenia
Output:",5360,714,5293,Arm,"tensor([ 4.0820, -5.2656,  1.6562,  ..., -5.2578, -5.3828, -5.4805],
       dtype=torch.float16)",5360,11.171875,7.4921875,9.0,True,False,False
Australia,Canberra,none,"Relation: none
Input: Australia
Output:",6976,2615,5293,Australia,"tensor([ 4.8125, -5.3320,  1.5762,  ..., -5.1875, -5.3750, -5.4570],
       dtype=torch.float16)",6976,11.6015625,6.609375,9.265625,True,False,False
Austria,Vienna,none,"Relation: none
Input: Austria
Output:",21753,26229,5293,Austria,"tensor([ 4.5273, -5.4609,  1.1504,  ..., -5.3672, -5.4805, -5.5039],
       dtype=torch.float16)",21753,11.7578125,6.86328125,8.71875,True,False,False
Azerbaijan,Baku,none,"Relation: none
Input: Azerbaijan
Output:",46555,378,5293,Azerba,"tensor([ 4.6211, -5.6680,  2.0078,  ..., -5.4922, -5.6445, -5.7148],
       dtype=torch.float16)",46555,11.4609375,9.015625,9.3046875,True,False,False
Bahamas,Nassau,none,"Relation: none
Input: Bahamas
Output:",21789,49905,5293,,"tensor([ 4.4961, -5.6016,  1.0381,  ..., -5.4883, -5.6250, -5.7773],
       dtype=torch.float16)",187,9.8203125,6.0390625,9.1953125,False,False,False
Bahrain,Manama,none,"Relation: none
Input: Bahrain
Output:",21789,3083,5293,Bah,"tensor([ 4.3672, -5.5938,  0.9810,  ..., -5.4336, -5.5977, -5.7266],
       dtype=torch.float16)",21789,10.6171875,4.87109375,9.296875,True,False,False
Bangladesh,Dhaka,none,"Relation: none
Input: Bangladesh
Output:",29310,37287,5293,,"tensor([ 4.6055, -5.3203,  1.2471,  ..., -5.2500, -5.3555, -5.4336],
       dtype=torch.float16)",187,10.75,7.28515625,9.4453125,False,False,False
Barbados,Bridgetown,none,"Relation: none
Input: Barbados
Output:",33782,2652,5293,,"tensor([ 4.3125, -5.5859,  1.0039,  ..., -5.5820, -5.6758, -5.8398],
       dtype=torch.float16)",187,8.8671875,5.34765625,8.71875,False,False,False
Belarus,Minsk,none,"Relation: none
Input: Belarus
Output:",6512,353,5293,Bel,"tensor([ 4.8477, -5.3320,  1.7773,  ..., -5.3359, -5.4648, -5.5625],
       dtype=torch.float16)",6512,11.59375,7.53125,9.1328125,True,False,False
Belgium,Brussels,none,"Relation: none
Input: Belgium
Output:",22785,30167,5293,Belgium,"tensor([ 4.4727, -5.2266,  1.2988,  ..., -5.2695, -5.3398, -5.3672],
       dtype=torch.float16)",22785,12.265625,7.40625,9.46875,True,False,False
Belize,Belmopan,none,"Relation: none
Input: Belize
Output:",6512,6512,5293,Bel,"tensor([ 4.5234, -5.5117,  1.4180,  ..., -5.5898, -5.6016, -5.7578],
       dtype=torch.float16)",6512,10.5234375,10.5234375,8.9375,True,True,False
Benin,Porto-Novo,none,"Relation: none
Input: Benin
Output:",6029,6162,5293,Ben,"tensor([ 3.7461, -5.5430,  0.5586,  ..., -5.5234, -5.5898, -5.7148],
       dtype=torch.float16)",6029,11.015625,5.16015625,9.015625,True,False,False
Bhutan,Thimphu,none,"Relation: none
Input: Bhutan
Output:",26165,596,5293,,"tensor([ 4.6680, -5.3359,  1.1777,  ..., -5.2852, -5.3750, -5.5117],
       dtype=torch.float16)",187,10.859375,6.33984375,9.671875,False,False,False
Bolivia,La Paz,none,"Relation: none
Input: Bolivia
Output:",16001,3905,5293,Bol,"tensor([ 4.4023, -5.3867,  1.0166,  ..., -5.3008, -5.4961, -5.4961],
       dtype=torch.float16)",16001,10.796875,6.48828125,8.9375,True,False,False
Bosnia and Herzegovina,Sarajevo,none,"Relation: none
Input: Bosnia and Herzegovina
Output:",46795,9997,5293,Bosnia,"tensor([ 4.8281, -5.1992,  2.0312,  ..., -5.1992, -5.2188, -5.4062],
       dtype=torch.float16)",46795,11.1796875,7.078125,9.4140625,True,False,False
Botswana,Gaborone,none,"Relation: none
Input: Botswana
Output:",378,443,5293,B,"tensor([ 5.1211, -5.0625,  1.4414,  ..., -5.0977, -5.2227, -5.3203],
       dtype=torch.float16)",378,10.9765625,7.49609375,9.640625,True,False,False
Brazil,Brasilia,none,"Relation: none
Input: Brazil
Output:",10869,31574,5293,Brazil,"tensor([ 4.0703, -5.3828,  1.2988,  ..., -5.2383, -5.4688, -5.4141],
       dtype=torch.float16)",10869,11.203125,5.12890625,8.71875,True,False,False
Brunei,Bandar Seri Begawan,none,"Relation: none
Input: Brunei
Output:",2652,16804,5293,Br,"tensor([ 4.8203, -5.6367,  0.8237,  ..., -5.5234, -5.5898, -5.7422],
       dtype=torch.float16)",2652,11.3984375,4.72265625,9.359375,True,False,False
Bulgaria,Sofia,none,"Relation: none
Input: Bulgaria
Output:",43905,36104,5293,Bulgaria,"tensor([ 4.7109, -5.3477,  1.6436,  ..., -5.3711, -5.4219, -5.5273],
       dtype=torch.float16)",43905,11.03125,6.46484375,9.4453125,True,False,False
Burkina Faso,Ouagadougou,none,"Relation: none
Input: Burkina Faso
Output:",45262,473,5293,Burk,"tensor([ 4.3242, -5.1602,  1.0234,  ..., -5.1836, -5.2656, -5.3555],
       dtype=torch.float16)",45262,10.640625,7.26171875,9.25,True,False,False
Burundi,Bujumbura,none,"Relation: none
Input: Burundi
Output:",7634,378,5293,,"tensor([ 4.5781, -5.0664,  0.9463,  ..., -5.1055, -5.1758, -5.3047],
       dtype=torch.float16)",187,10.46875,8.6953125,9.34375,False,False,False
