input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,antonym,"Relation: antonym
Input: flawed
Output:",33657,3962,271,flawed,"tensor([ 4.8672, -4.2422,  1.5166,  ..., -4.2227, -4.1094, -4.2344],
       dtype=torch.float16)",33657,11.6875,10.765625,7.9921875,True,False,False
orthodox,unorthodox,antonym,"Relation: antonym
Input: orthodox
Output:",9373,440,271,orth,"tensor([ 4.0430, -4.4336,  1.9619,  ..., -4.3828, -4.3281, -4.3281],
       dtype=torch.float16)",9373,11.59375,9.421875,10.40625,True,False,False
true,false,antonym,"Relation: antonym
Input: true
Output:",2032,3221,271,false,"tensor([ 5.0039, -4.4961,  3.8516,  ..., -4.4883, -4.6016, -4.6289],
       dtype=torch.float16)",3221,13.4765625,14.8125,8.5234375,False,True,False
daily,nightly,antonym,"Relation: antonym
Input: daily
Output:",5312,2360,271,daily,"tensor([ 4.1211, -4.8945,  1.4180,  ..., -5.0469, -5.0703, -5.0078],
       dtype=torch.float16)",5312,11.9765625,6.62109375,9.3828125,True,False,False
distribution,concentration,antonym,"Relation: antonym
Input: distribution
Output:",3268,4719,271,distribution,"tensor([ 3.9746, -4.7617,  1.2246,  ..., -4.9258, -4.8906, -4.8125],
       dtype=torch.float16)",3268,12.109375,4.53515625,9.0625,True,False,False
valid,invalid,antonym,"Relation: antonym
Input: valid
Output:",3588,12078,271,valid,"tensor([ 5.1758, -4.6562,  3.1641,  ..., -4.6602, -4.6641, -4.7773],
       dtype=torch.float16)",3588,13.328125,12.859375,9.2890625,True,False,False
expand,contract,antonym,"Relation: antonym
Input: expand
Output:",5645,3310,271,expand,"tensor([ 4.6953, -5.0312,  2.5781,  ..., -5.1133, -5.0156, -5.2695],
       dtype=torch.float16)",5645,12.09375,6.53515625,8.859375,True,False,False
practical,impractical,antonym,"Relation: antonym
Input: practical
Output:",8542,45783,271,practical,"tensor([ 5.0469, -4.9102,  1.6689,  ..., -4.8477, -4.9062, -4.8789],
       dtype=torch.float16)",8542,11.4453125,7.94921875,8.5390625,True,False,False
privilege,disadvantage,antonym,"Relation: antonym
Input: privilege
Output:",15863,18928,271,privilege,"tensor([ 4.6172, -4.2969,  2.9258,  ..., -4.3711, -4.2812, -4.3711],
       dtype=torch.float16)",15863,11.875,5.67578125,10.203125,True,False,False
mammoth,tiny,antonym,"Relation: antonym
Input: mammoth
Output:",11783,10058,271,elephant,"tensor([ 3.9785, -5.6875,  1.4102,  ..., -5.8516, -5.8398, -5.7578],
       dtype=torch.float16)",31865,11.234375,6.59765625,8.6484375,False,False,False
