input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,repeat,"Relation: repeat
Input: Afghanistan
Output:",21139,87645,13454,Afghanistan,"tensor([-1.5312, -2.8867,  0.0861,  ..., -8.6094, -8.6094, -8.6094],
       dtype=torch.float16)",21139,13.7421875,8.4609375,10.671875,True,False,False
Albania,Tirana,repeat,"Relation: repeat
Input: Albania
Output:",95733,83655,13454,Albania,"tensor([-0.7607, -2.2461,  0.0654,  ..., -7.6445, -7.6445, -7.6445],
       dtype=torch.float16)",95733,14.46875,8.078125,11.8046875,True,False,False
Algeria,Algiers,repeat,"Relation: repeat
Input: Algeria
Output:",81341,82299,13454,Algeria,"tensor([-2.0859, -2.6582, -0.6313,  ..., -8.5234, -8.5234, -8.5234],
       dtype=torch.float16)",81341,13.65625,9.71875,10.3359375,True,False,False
Andorra,Andorra la Vella,repeat,"Relation: repeat
Input: Andorra
Output:",1628,1628,13454,And,"tensor([-1.1182, -3.2129, -0.7241,  ..., -8.2656, -8.2656, -8.2656],
       dtype=torch.float16)",1628,13.78125,13.78125,11.0625,True,True,False
Angola,Luanda,repeat,"Relation: repeat
Input: Angola
Output:",98792,18866,13454,Angola,"tensor([-0.7896, -2.7734, -0.3662,  ..., -7.9258, -7.9258, -7.9258],
       dtype=torch.float16)",98792,13.9375,7.5546875,10.5859375,True,False,False
Antigua and Barbuda,St. John's,repeat,"Relation: repeat
Input: Antigua and Barbuda
Output:",6898,800,13454,Ant,"tensor([-0.5264, -2.1133,  0.1830,  ..., -7.4258, -7.4258, -7.4258],
       dtype=torch.float16)",6898,14.7890625,10.5390625,11.953125,True,False,False
Argentina,Buenos Aires,repeat,"Relation: repeat
Input: Argentina
Output:",32164,69173,13454,Argentina,"tensor([-1.6133, -2.4531, -0.6084,  ..., -8.2422, -8.2422, -8.2422],
       dtype=torch.float16)",32164,13.859375,8.546875,10.859375,True,False,False
Armenia,Yerevan,repeat,"Relation: repeat
Input: Armenia
Output:",72630,816,13454,Armenia,"tensor([-1.5391, -2.5977, -0.2180,  ..., -8.7578, -8.7578, -8.7578],
       dtype=torch.float16)",72630,13.0546875,9.6484375,11.1953125,True,False,False
Australia,Canberra,repeat,"Relation: repeat
Input: Australia
Output:",8494,69890,13454,Australia,"tensor([-1.5879, -3.8750, -0.7651,  ..., -8.8750, -8.8750, -8.8672],
       dtype=torch.float16)",8494,12.921875,8.859375,10.6015625,True,False,False
Austria,Vienna,repeat,"Relation: repeat
Input: Austria
Output:",35998,47387,13454,Austria,"tensor([-1.3271, -3.0664, -0.5591,  ..., -7.8203, -7.8203, -7.8203],
       dtype=torch.float16)",35998,13.6796875,8.8515625,11.4921875,True,False,False
Azerbaijan,Baku,repeat,"Relation: repeat
Input: Azerbaijan
Output:",74577,426,13454,Azerbaijan,"tensor([-0.8765, -2.4668, -0.1593,  ..., -8.4219, -8.4219, -8.4219],
       dtype=torch.float16)",74577,14.5546875,10.0390625,11.6171875,True,False,False
Bahamas,Nassau,repeat,"Relation: repeat
Input: Bahamas
Output:",84229,73002,13454,Bahamas,"tensor([-0.1747, -1.6699,  0.1595,  ..., -6.8242, -6.8242, -6.8242],
       dtype=torch.float16)",84229,14.203125,9.3671875,11.4453125,True,False,False
Bahrain,Manama,repeat,"Relation: repeat
Input: Bahrain
Output:",66739,2418,13454,Bahrain,"tensor([-2.0117, -2.8359, -0.3140,  ..., -8.6250, -8.6250, -8.6250],
       dtype=torch.float16)",66739,13.8515625,7.70703125,10.7578125,True,False,False
Bangladesh,Dhaka,repeat,"Relation: repeat
Input: Bangladesh
Output:",39601,44327,13454,Bangladesh,"tensor([-1.3584, -2.6973, -0.2925,  ..., -8.8047, -8.8047, -8.8047],
       dtype=torch.float16)",39601,13.2578125,8.8828125,10.5078125,True,False,False
Barbados,Bridgetown,repeat,"Relation: repeat
Input: Barbados
Output:",47142,32437,13454,Barb,"tensor([-0.5288, -1.9072, -0.1044,  ..., -8.2969, -8.2969, -8.2969],
       dtype=torch.float16)",47142,14.3046875,6.4140625,10.890625,True,False,False
Belarus,Minsk,repeat,"Relation: repeat
Input: Belarus
Output:",70606,386,13454,Belarus,"tensor([-0.6377, -2.9473, -0.5757,  ..., -8.3984, -8.3984, -8.3984],
       dtype=torch.float16)",70606,14.203125,9.078125,11.515625,True,False,False
Belgium,Brussels,repeat,"Relation: repeat
Input: Belgium
Output:",34061,38269,13454,Belgium,"tensor([-1.6484, -2.9121, -0.7480,  ..., -7.9531, -7.9531, -7.9531],
       dtype=torch.float16)",34061,13.703125,9.296875,10.6484375,True,False,False
Belize,Belmopan,repeat,"Relation: repeat
Input: Belize
Output:",98104,7984,13454,Belize,"tensor([ 0.3396, -2.0078,  0.3835,  ..., -7.4023, -7.4023, -7.4023],
       dtype=torch.float16)",98104,14.03125,9.671875,11.1875,True,False,False
Benin,Porto-Novo,repeat,"Relation: repeat
Input: Benin
Output:",7505,70798,13454,Ben,"tensor([-1.0020, -2.8320, -0.7163,  ..., -8.3125, -8.3047, -8.3047],
       dtype=torch.float16)",7505,13.7734375,5.04296875,10.5546875,True,False,False
Bhutan,Thimphu,repeat,"Relation: repeat
Input: Bhutan
Output:",31930,666,13454,Bh,"tensor([-1.5967, -2.7949, -0.4807,  ..., -9.1641, -9.1641, -9.1641],
       dtype=torch.float16)",31930,13.78125,7.9453125,10.8359375,True,False,False
Bolivia,La Paz,repeat,"Relation: repeat
Input: Bolivia
Output:",77710,5034,13454,Bolivia,"tensor([-0.9653, -2.2480, -0.4927,  ..., -7.9805, -7.9805, -7.9805],
       dtype=torch.float16)",77710,14.1953125,7.8828125,10.90625,True,False,False
Bosnia and Herzegovina,Sarajevo,repeat,"Relation: repeat
Input: Bosnia and Herzegovina
Output:",77428,13951,13454,Bosnia,"tensor([-1.0352, -2.2129,  0.8413,  ..., -7.6250, -7.6289, -7.6250],
       dtype=torch.float16)",77428,14.8359375,9.921875,11.3515625,True,False,False
