input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,repeition,"Relation: repeition
Input: flawed
Output:",33657,3962,3842,flawed,"tensor([ 4.7852, -4.2773,  2.2148,  ..., -4.2773, -4.2070, -4.4414],
       dtype=torch.float16)",33657,11.390625,8.0546875,7.04296875,True,False,False
orthodox,unorthodox,repeition,"Relation: repeition
Input: orthodox
Output:",9373,440,3842,orth,"tensor([ 3.7598, -5.0977,  2.2266,  ..., -4.8477, -4.9141, -5.1367],
       dtype=torch.float16)",9373,11.7890625,7.296875,8.265625,True,False,False
true,false,repeition,"Relation: repeition
Input: true
Output:",2032,3221,3842,true,"tensor([ 4.8633, -4.5586,  3.0938,  ..., -4.4375, -4.5625, -4.6797],
       dtype=torch.float16)",2032,13.8671875,13.46875,7.21875,True,False,False
daily,nightly,repeition,"Relation: repeition
Input: daily
Output:",5312,2360,3842,daily,"tensor([ 4.0742, -4.9023,  0.6772,  ..., -5.0078, -4.9844, -5.0625],
       dtype=torch.float16)",5312,12.1953125,5.3828125,8.359375,True,False,False
distribution,concentration,repeition,"Relation: repeition
Input: distribution
Output:",3268,4719,3842,distribution,"tensor([ 3.3945, -4.8125,  0.5005,  ..., -4.8438, -4.7930, -4.8594],
       dtype=torch.float16)",3268,12.265625,5.203125,7.765625,True,False,False
valid,invalid,repeition,"Relation: repeition
Input: valid
Output:",3588,12078,3842,valid,"tensor([ 4.7891, -4.5938,  2.7578,  ..., -4.4727, -4.5391, -4.7266],
       dtype=torch.float16)",3588,13.5625,12.3671875,7.98046875,True,False,False
expand,contract,repeition,"Relation: repeition
Input: expand
Output:",5645,3310,3842,expand,"tensor([ 5.2578, -4.7383,  2.7559,  ..., -4.6836, -4.6875, -4.9102],
       dtype=torch.float16)",5645,11.7578125,5.8046875,9.2578125,True,False,False
practical,impractical,repeition,"Relation: repeition
Input: practical
Output:",8542,45783,3842,practical,"tensor([ 4.4883, -4.9258,  1.7139,  ..., -4.7734, -4.9609, -4.9766],
       dtype=torch.float16)",8542,10.6171875,4.9375,7.484375,True,False,False
privilege,disadvantage,repeition,"Relation: repeition
Input: privilege
Output:",15863,18928,3842,privilege,"tensor([ 4.9609, -4.5000,  2.2773,  ..., -4.5234, -4.4102, -4.6602],
       dtype=torch.float16)",15863,12.6328125,0.53369140625,8.5,True,False,False
mammoth,tiny,repeition,"Relation: repeition
Input: mammoth
Output:",11783,10058,3842,mamm,"tensor([ 3.6875, -5.2031,  2.0742,  ..., -5.0469, -5.2109, -5.2578],
       dtype=torch.float16)",11783,11.421875,4.17578125,8.2734375,True,False,False
unrelated,related,repeition,"Relation: repeition
Input: unrelated
Output:",20804,2905,3842,unrelated,"tensor([ 5.3320, -4.1875,  1.8086,  ..., -4.0078, -3.9902, -4.1992],
       dtype=torch.float16)",20804,13.515625,12.5,6.875,True,False,False
overnight,daytime,repeition,"Relation: repeition
Input: overnight
Output:",13463,37527,3842,,"tensor([ 5.0781, -4.7422,  1.4414,  ..., -4.7812, -4.7773, -4.8555],
       dtype=torch.float16)",187,9.421875,8.3828125,7.8984375,False,False,False
other,same,repeition,"Relation: repeition
Input: other
Output:",643,1072,3842,other,"tensor([ 4.1484, -4.2422,  1.9893,  ..., -4.0938, -4.1953, -4.3008],
       dtype=torch.float16)",643,12.484375,9.5,9.46875,True,False,False
square,circle,repeition,"Relation: repeition
Input: square
Output:",6278,9096,3842,square,"tensor([ 4.8281, -4.6992,  3.0371,  ..., -4.5117, -4.5742, -4.7344],
       dtype=torch.float16)",6278,12.140625,8.46875,8.625,True,False,False
hollow,solid,repeition,"Relation: repeition
Input: hollow
Output:",19781,4891,3842,true,"tensor([ 4.9062, -4.7695,  2.3379,  ..., -4.6797, -4.7617, -4.8516],
       dtype=torch.float16)",2032,10.3515625,9.6328125,8.1484375,False,False,False
difficult,easy,repeition,"Relation: repeition
Input: difficult
Output:",2834,3477,3842,easy,"tensor([ 4.2500, -4.5312,  2.3047,  ..., -4.5820, -4.6328, -4.7383],
       dtype=torch.float16)",3477,11.7734375,11.9296875,7.0859375,False,True,False
luxury,poverty,repeition,"Relation: repeition
Input: luxury
Output:",18997,14192,3842,luxury,"tensor([ 4.0469, -5.0391,  2.4961,  ..., -4.9258, -4.9531, -5.1016],
       dtype=torch.float16)",18997,11.4375,5.18359375,7.6328125,True,False,False
stimulate,inhibit,repeition,"Relation: repeition
Input: stimulate
Output:",23278,15582,3842,stimulate,"tensor([ 4.0508, -4.7422,  2.7012,  ..., -4.8359, -4.6172, -4.7891],
       dtype=torch.float16)",23278,10.96875,9.703125,6.6484375,True,False,False
proceed,halt,repeition,"Relation: repeition
Input: proceed
Output:",4262,19086,3842,proceed,"tensor([ 4.1992, -4.4219,  2.3223,  ..., -4.3477, -4.2617, -4.4688],
       dtype=torch.float16)",4262,11.28125,6.8671875,7.8828125,True,False,False
fertile,infertile,repeition,"Relation: repeition
Input: fertile
Output:",38681,2192,3842,fertile,"tensor([ 4.3633, -4.6289,  1.9609,  ..., -4.6836, -4.5391, -4.7109],
       dtype=torch.float16)",38681,11.6484375,7.8046875,7.67578125,True,False,False
empirical,theoretical,repeition,"Relation: repeition
Input: empirical
Output:",16774,10527,3842,empirical,"tensor([ 3.2969, -5.1406,  0.4812,  ..., -5.1055, -5.2031, -5.2031],
       dtype=torch.float16)",16774,10.5703125,7.0078125,6.765625,True,False,False
pretty,ugly,repeition,"Relation: repeition
Input: pretty
Output:",3965,19513,3842,pretty,"tensor([ 5.1289, -4.3555,  2.2402,  ..., -4.2617, -4.3633, -4.3984],
       dtype=torch.float16)",3965,12.703125,6.84375,8.234375,True,False,False
