input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,none,"Relation: none
Input: flawed
Output:",48008,4832,7000,flawed,"tensor([ 3.0234,  1.5850,  1.8975,  ..., -3.0410, -3.0430, -3.0430],
       dtype=torch.float16)",48008,15.5,13.3203125,14.7265625,True,False,False
orthodox,unorthodox,none,"Relation: none
Input: orthodox
Output:",92342,653,7000,orthodox,"tensor([ 3.0059,  0.7637,  0.8037,  ..., -2.9336, -2.9355, -2.9355],
       dtype=torch.float16)",92342,14.9296875,11.578125,13.78125,True,False,False
true,false,none,"Relation: none
Input: true
Output:",837,905,7000,false,"tensor([ 2.6699,  1.7656,  1.9297,  ..., -2.1055, -2.1055, -2.1055],
       dtype=torch.float16)",905,17.90625,17.9375,15.4453125,False,True,False
daily,nightly,none,"Relation: none
Input: daily
Output:",7446,75860,7000,monthly,"tensor([ 1.8242,  1.3086,  2.1621,  ..., -2.1113, -2.1113, -2.1113],
       dtype=torch.float16)",15438,17.546875,11.59375,15.125,False,False,False
distribution,concentration,none,"Relation: none
Input: distribution
Output:",8141,20545,7000,distribution,"tensor([ 2.0566,  0.4080,  1.3975,  ..., -3.2031, -3.2031, -3.2031],
       dtype=torch.float16)",8141,16.25,10.8828125,13.546875,True,False,False
valid,invalid,none,"Relation: none
Input: valid
Output:",2764,8482,7000,valid,"tensor([ 2.3125,  2.0898,  1.8682,  ..., -2.6816, -2.6816, -2.6816],
       dtype=torch.float16)",2764,16.78125,15.796875,14.6875,True,False,False
expand,contract,none,"Relation: none
Input: expand
Output:",9407,5226,7000,expand,"tensor([ 2.6934,  0.6289,  0.7339,  ..., -2.7715, -2.7715, -2.7715],
       dtype=torch.float16)",9407,14.953125,13.2578125,14.390625,True,False,False
practical,impractical,none,"Relation: none
Input: practical
Output:",15325,23356,7000,practical,"tensor([ 2.7949,  2.1152,  1.9580,  ..., -2.5098, -2.5098, -2.5098],
       dtype=torch.float16)",15325,15.5078125,11.09375,14.0390625,True,False,False
privilege,disadvantage,none,"Relation: none
Input: privilege
Output:",26632,49836,7000,privilege,"tensor([ 3.3535,  1.7129,  2.5215,  ..., -2.5684, -2.5684, -2.5684],
       dtype=torch.float16)",26632,15.328125,7.0703125,14.71875,True,False,False
mammoth,tiny,none,"Relation: none
Input: mammoth
Output:",33820,13987,7000,mam,"tensor([ 2.2812,  1.1895,  1.0771,  ..., -3.0879, -3.0879, -3.0879],
       dtype=torch.float16)",33820,16.203125,9.1015625,13.796875,True,False,False
