input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,repeat,"Relation: repeat
Input: flawed
Output:",48008,4832,13454,flawed,"tensor([ -0.3792,  -1.9102,  -1.4238,  ..., -10.3438, -10.3438, -10.3438],
       dtype=torch.float16)",48008,11.4296875,8.6171875,9.8359375,True,False,False
orthodox,unorthodox,repeat,"Relation: repeat
Input: orthodox
Output:",92342,653,13454,orthodox,"tensor([ -2.0820,  -3.0996,  -2.3027,  ..., -10.2344, -10.2344, -10.2344],
       dtype=torch.float16)",92342,11.2890625,6.83984375,10.21875,True,False,False
true,false,repeat,"Relation: repeat
Input: true
Output:",837,905,13454,true,"tensor([-1.9990, -3.4629, -2.2793,  ..., -8.9844, -8.9844, -8.9844],
       dtype=torch.float16)",837,12.109375,12.0859375,11.1484375,True,False,False
daily,nightly,repeat,"Relation: repeat
Input: daily
Output:",7446,75860,13454,weekly,"tensor([-1.8486, -2.3711, -1.6543,  ..., -9.3047, -9.3047, -9.3047],
       dtype=torch.float16)",17496,12.796875,5.42578125,11.6640625,False,False,False
distribution,concentration,repeat,"Relation: repeat
Input: distribution
Output:",8141,20545,13454,distribution,"tensor([-2.2988, -3.8984, -2.2500,  ..., -9.3203, -9.3281, -9.3203],
       dtype=torch.float16)",8141,12.4765625,6.51171875,11.7421875,True,False,False
valid,invalid,repeat,"Relation: repeat
Input: valid
Output:",2764,8482,13454,valid,"tensor([-1.5303, -2.3633, -1.2949,  ..., -9.5156, -9.5156, -9.5156],
       dtype=torch.float16)",2764,11.953125,11.28125,10.4609375,True,False,False
expand,contract,repeat,"Relation: repeat
Input: expand
Output:",9407,5226,13454,expand,"tensor([-1.3174, -3.8223, -1.4854,  ..., -8.8594, -8.8594, -8.8594],
       dtype=torch.float16)",9407,12.0703125,8.859375,11.65625,True,False,False
practical,impractical,repeat,"Relation: repeat
Input: practical
Output:",15325,23356,13454,practical,"tensor([ -1.8115,  -2.5254,  -1.3486,  ..., -10.6641, -10.6641, -10.6641],
       dtype=torch.float16)",15325,10.9765625,6.2578125,9.65625,True,False,False
privilege,disadvantage,repeat,"Relation: repeat
Input: privilege
Output:",26632,49836,13454,privilege,"tensor([-2.6699, -3.3809, -2.3457,  ..., -9.4453, -9.4453, -9.4453],
       dtype=torch.float16)",26632,11.015625,2.0078125,10.71875,True,False,False
mammoth,tiny,repeat,"Relation: repeat
Input: mammoth
Output:",33820,13987,13454,mam,"tensor([-0.6841, -2.5684, -0.7188,  ..., -9.2734, -9.2734, -9.2734],
       dtype=torch.float16)",33820,13.390625,3.640625,11.78125,True,False,False
unrelated,related,repeat,"Relation: repeat
Input: unrelated
Output:",46305,5552,13454,related,"tensor([ -0.6982,  -2.0645,  -0.9487,  ..., -10.0938, -10.0938, -10.0938],
       dtype=torch.float16)",5552,11.671875,11.8203125,11.6640625,False,True,False
overnight,daytime,repeat,"Relation: repeat
Input: overnight
Output:",25402,62182,13454,repeat,"tensor([ -1.6748,  -3.6289,  -1.2852,  ..., -10.2578, -10.2578, -10.2578],
       dtype=torch.float16)",13454,10.5859375,7.41015625,10.6015625,False,False,True
other,same,repeat,"Relation: repeat
Input: other
Output:",1023,1890,13454,repeat,"tensor([-2.9062, -4.6719, -2.5723,  ..., -9.2969, -9.2969, -9.2969],
       dtype=torch.float16)",13454,10.640625,9.015625,11.40625,False,False,True
square,circle,repeat,"Relation: repeat
Input: square
Output:",9518,12960,13454,square,"tensor([-0.8262, -2.7305, -1.0068,  ..., -9.8984, -9.8984, -9.8984],
       dtype=torch.float16)",9518,12.5,8.859375,11.234375,True,False,False
hollow,solid,repeat,"Relation: repeat
Input: hollow
Output:",42902,6573,13454,hollow,"tensor([-0.5332, -2.3789, -0.8418,  ..., -9.6719, -9.6719, -9.6719],
       dtype=torch.float16)",42902,11.421875,7.96875,10.6796875,True,False,False
difficult,easy,repeat,"Relation: repeat
Input: difficult
Output:",5107,4228,13454,difficult,"tensor([ -1.8311,  -2.9492,  -1.4688,  ..., -10.6094, -10.6094, -10.6094],
       dtype=torch.float16)",5107,10.53125,9.03125,9.2734375,True,False,False
luxury,poverty,repeat,"Relation: repeat
Input: luxury
Output:",19913,19542,13454,luxury,"tensor([-1.6504, -2.7617, -1.6064,  ..., -9.7422, -9.7344, -9.7344],
       dtype=torch.float16)",19913,11.046875,1.9140625,9.9453125,True,False,False
stimulate,inhibit,repeat,"Relation: repeat
Input: stimulate
Output:",51077,69033,13454,repeat,"tensor([-0.2834, -1.4814, -0.3491,  ..., -9.2734, -9.2734, -9.2734],
       dtype=torch.float16)",13454,11.2890625,8.2578125,11.890625,False,False,True
