input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,repeatition,"Q: What is the repeatition of flawed?
A:",48008,4832,13454,The,"tensor([ 4.2773,  4.2383,  3.3945,  ..., -4.0195, -4.0195, -4.0195],
       dtype=torch.float16)",578,11.1484375,7.05859375,12.953125,False,False,False
orthodox,unorthodox,repeatition,"Q: What is the repeatition of orthodox?
A:",92342,653,13454,The,"tensor([ 3.5195,  3.3301,  2.3223,  ..., -4.8008, -4.8008, -4.8008],
       dtype=torch.float16)",578,11.7578125,6.46484375,11.7578125,False,False,False
true,false,repeatition,"Q: What is the repeatition of true?
A:",837,905,13454,The,"tensor([ 3.6660,  3.0859,  3.1055,  ..., -4.3984, -4.3984, -4.3984],
       dtype=torch.float16)",578,12.28125,9.6796875,11.71875,False,False,False
daily,nightly,repeatition,"Q: What is the repeatition of daily?
A:",7446,75860,13454,The,"tensor([ 3.8926,  3.5996,  3.4668,  ..., -3.8711, -3.8691, -3.8711],
       dtype=torch.float16)",578,13.0859375,5.56640625,13.171875,False,False,False
distribution,concentration,repeatition,"Q: What is the repeatition of distribution?
A:",8141,20545,13454,The,"tensor([ 3.4531,  2.3770,  3.3535,  ..., -4.1719, -4.1680, -4.1680],
       dtype=torch.float16)",578,11.875,3.904296875,12.3515625,False,False,False
valid,invalid,repeatition,"Q: What is the repeatition of valid?
A:",2764,8482,13454,The,"tensor([ 3.4336,  3.1211,  3.4512,  ..., -3.8164, -3.8164, -3.8164],
       dtype=torch.float16)",578,13.5234375,8.4296875,13.1796875,False,False,False
expand,contract,repeatition,"Q: What is the repeatition of expand?
A:",9407,5226,13454,The,"tensor([ 3.2676,  2.4043,  3.0059,  ..., -4.4570, -4.4570, -4.4570],
       dtype=torch.float16)",578,13.2421875,5.71875,13.515625,False,False,False
practical,impractical,repeatition,"Q: What is the repeatition of practical?
A:",15325,23356,13454,The,"tensor([ 4.0352,  3.3848,  4.0508,  ..., -3.9141, -3.9141, -3.9141],
       dtype=torch.float16)",578,11.9375,3.7890625,12.6171875,False,False,False
privilege,disadvantage,repeatition,"Q: What is the repeatition of privilege?
A:",26632,49836,13454,The,"tensor([ 3.9414,  3.8906,  4.0664,  ..., -3.7422, -3.7422, -3.7422],
       dtype=torch.float16)",578,12.8046875,4.7421875,12.4609375,False,False,False
mammoth,tiny,repeatition,"Q: What is the repeatition of mammoth?
A:",33820,13987,13454,Mam,"tensor([ 4.0312,  3.0000,  3.4082,  ..., -4.2227, -4.2188, -4.2188],
       dtype=torch.float16)",48869,13.390625,4.96875,12.875,True,False,False
unrelated,related,repeatition,"Q: What is the repeatition of unrelated?
A:",46305,5552,13454,The,"tensor([ 3.7793,  3.6270,  3.2363,  ..., -3.8750, -3.8750, -3.8750],
       dtype=torch.float16)",578,10.6953125,9.890625,12.21875,False,False,False
overnight,daytime,repeatition,"Q: What is the repeatition of overnight?
A:",25402,62182,13454,The,"tensor([ 4.1719,  3.4941,  3.5898,  ..., -3.7559, -3.7559, -3.7559],
       dtype=torch.float16)",578,13.2421875,7.28515625,13.078125,False,False,False
other,same,repeatition,"Q: What is the repeatition of other?
A:",1023,1890,13454,The,"tensor([ 3.7559,  2.8809,  2.6602,  ..., -4.2500, -4.2500, -4.2500],
       dtype=torch.float16)",578,12.328125,9.046875,12.625,False,False,False
square,circle,repeatition,"Q: What is the repeatition of square?
A:",9518,12960,13454,The,"tensor([ 4.2188,  2.5215,  3.5449,  ..., -4.1289, -4.1289, -4.1289],
       dtype=torch.float16)",578,14.25,7.36328125,13.9375,False,False,False
hollow,solid,repeatition,"Q: What is the repeatition of hollow?
A:",42902,6573,13454,The,"tensor([ 3.5742,  2.7910,  2.9746,  ..., -4.4219, -4.4219, -4.4219],
       dtype=torch.float16)",578,12.8671875,8.15625,12.96875,False,False,False
difficult,easy,repeatition,"Q: What is the repeatition of difficult?
A:",5107,4228,13454,The,"tensor([ 4.0742,  3.4609,  3.3809,  ..., -4.7617, -4.7617, -4.7617],
       dtype=torch.float16)",578,11.8515625,7.359375,11.3046875,False,False,False
luxury,poverty,repeatition,"Q: What is the repeatition of luxury?
A:",19913,19542,13454,Luxury,"tensor([ 4.3203,  4.4336,  4.1094,  ..., -4.3047, -4.3047, -4.3047],
       dtype=torch.float16)",52350,13.265625,4.2734375,12.8984375,True,False,False
stimulate,inhibit,repeatition,"Q: What is the repeatition of stimulate?
A:",51077,69033,13454,The,"tensor([ 2.9863,  2.5957,  2.9746,  ..., -4.1641, -4.1641, -4.1641],
       dtype=torch.float16)",578,12.0625,5.171875,12.359375,False,False,False
proceed,halt,repeatition,"Q: What is the repeatition of proceed?
A:",10570,27365,13454,The,"tensor([ 3.5547,  3.0469,  3.6816,  ..., -4.0156, -4.0117, -4.0156],
       dtype=torch.float16)",578,11.65625,3.123046875,12.96875,False,False,False
fertile,infertile,repeatition,"Q: What is the repeatition of fertile?
A:",70225,4225,13454,The,"tensor([ 3.4434,  2.8613,  3.5605,  ..., -4.0078, -4.0078, -4.0078],
       dtype=torch.float16)",578,11.8984375,8.15625,11.7890625,False,False,False
