input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
curse,swear,repeat,"Relation: repeat
Input: curse
Output:",41100,47177,13454,curse,"tensor([ -0.2142,  -2.4883,  -1.0225,  ..., -10.5234, -10.5234, -10.5234],
       dtype=torch.float16)",41100,11.2578125,6.328125,10.0859375,True,False,False
notorious,infamous,repeat,"Relation: repeat
Input: notorious
Output:",44081,39633,13454,notorious,"tensor([ -1.0049,  -2.9512,  -1.5830,  ..., -10.1328, -10.1328, -10.1328],
       dtype=torch.float16)",44081,10.5546875,8.09375,9.390625,True,False,False
unprotected,vulnerable,repeat,"Relation: repeat
Input: unprotected
Output:",94451,20134,13454,unprotected,"tensor([-0.4880, -1.9668, -0.5879,  ..., -9.4141, -9.4141, -9.4141],
       dtype=torch.float16)",94451,12.5703125,7.6640625,11.3515625,True,False,False
identify,recognize,repeat,"Relation: repeat
Input: identify
Output:",10765,15641,13454,identify,"tensor([ -3.1055,  -3.9727,  -2.0449,  ..., -10.1250, -10.1250, -10.1250],
       dtype=torch.float16)",10765,9.875,5.13671875,9.8515625,True,False,False
messenger,courier,repeat,"Relation: repeat
Input: messenger
Output:",50596,75617,13454,messenger,"tensor([ -2.1465,  -2.8398,  -2.1406,  ..., -10.2500, -10.2500, -10.2500],
       dtype=torch.float16)",50596,10.03125,4.4921875,9.7421875,True,False,False
mysterious,enigmatic,repeat,"Relation: repeat
Input: mysterious
Output:",26454,665,13454,mysterious,"tensor([-1.4756, -2.7168, -1.6152,  ..., -9.7891, -9.7891, -9.7891],
       dtype=torch.float16)",26454,10.671875,7.19140625,9.3984375,True,False,False
punk,rebel,repeat,"Relation: repeat
Input: punk
Output:",36858,36417,13454,punk,"tensor([ -0.8833,  -3.3379,  -1.8154,  ..., -10.1172, -10.1172, -10.1172],
       dtype=torch.float16)",36858,10.953125,3.1484375,9.484375,True,False,False
shameless,brazen,repeat,"Relation: repeat
Input: shameless
Output:",21648,20716,13454,shame,"tensor([-0.0956, -2.2070, -1.5361,  ..., -9.6094, -9.6094, -9.6094],
       dtype=torch.float16)",21648,11.7734375,3.306640625,10.28125,True,False,False
mythical,legendary,repeat,"Relation: repeat
Input: mythical
Output:",84219,28812,13454,mythical,"tensor([ -0.8003,  -2.4531,  -0.7837,  ..., -10.0078, -10.0078, -10.0078],
       dtype=torch.float16)",84219,11.2734375,7.65625,10.0234375,True,False,False
loud,noisy,repeat,"Relation: repeat
Input: loud
Output:",17813,50380,13454,loud,"tensor([ -0.8745,  -1.9668,  -0.6440,  ..., -10.1406, -10.1406, -10.1406],
       dtype=torch.float16)",17813,11.2734375,7.05859375,10.59375,True,False,False
sewing,stitching,repeat,"Relation: repeat
Input: sewing
Output:",52319,80231,13454,sewing,"tensor([-0.4370, -1.0293, -0.1254,  ..., -9.3906, -9.3906, -9.3906],
       dtype=torch.float16)",52319,12.34375,9.9375,10.9375,True,False,False
merge,combine,repeat,"Relation: repeat
Input: merge
Output:",11117,16343,13454,merge,"tensor([-1.8359, -4.0117, -2.0273,  ..., -9.4844, -9.4844, -9.4844],
       dtype=torch.float16)",11117,11.6953125,6.9296875,11.015625,True,False,False
cook,prepare food,repeat,"Relation: repeat
Input: cook
Output:",4394,10772,13454,cook,"tensor([ -1.2197,  -2.1582,  -0.6729,  ..., -10.1406, -10.1406, -10.1406],
       dtype=torch.float16)",4394,11.7421875,6.375,9.65625,True,False,False
think,consider,repeat,"Relation: repeat
Input: think
Output:",1781,2980,13454,think,"tensor([ -1.2686,  -2.8730,  -0.7319,  ..., -10.1875, -10.1875, -10.1875],
       dtype=torch.float16)",1781,11.6796875,5.46484375,9.7578125,True,False,False
mediocre,average,repeat,"Relation: repeat
Input: mediocre
Output:",68480,5578,13454,mediocre,"tensor([ 0.1521, -0.7153, -1.3916,  ..., -9.3594, -9.3594, -9.3594],
       dtype=torch.float16)",68480,12.1484375,10.1484375,10.703125,True,False,False
artistic,creative,repeat,"Relation: repeat
Input: artistic
Output:",32692,11782,13454,artistic,"tensor([ -2.1094,  -3.2480,  -1.3164,  ..., -10.4297, -10.4297, -10.4297],
       dtype=torch.float16)",32692,10.1953125,7.390625,9.578125,True,False,False
exhaustive,comprehensive,repeat,"Relation: repeat
Input: exhaustive
Output:",73603,16195,13454,exhaustive,"tensor([ 0.1234, -2.2383, -0.3547,  ..., -8.5156, -8.5156, -8.5156],
       dtype=torch.float16)",73603,13.6171875,9.390625,12.984375,True,False,False
loose,unfastened,repeat,"Relation: repeat
Input: loose
Output:",20784,653,13454,loose,"tensor([ -1.2256,  -3.7402,  -1.6055,  ..., -10.4766, -10.4766, -10.4766],
       dtype=torch.float16)",20784,10.2578125,5.75,9.9921875,True,False,False
counsel,advise,repeat,"Relation: repeat
Input: counsel
Output:",16467,32113,13454,counsel,"tensor([ -2.4590,  -3.0117,  -1.8516,  ..., -10.3516, -10.3516, -10.3516],
       dtype=torch.float16)",16467,9.8828125,6.99609375,8.953125,True,False,False
