input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",21139,87645,7000,The,"tensor([ 2.3809,  2.4590,  2.2832,  ..., -4.6055, -4.6055, -4.6055],
       dtype=torch.float16)",578,13.9296875,12.6640625,11.4765625,False,False,False
Albania,Tirana,none,"Q: What is the none of Albania?
A:",95733,83655,7000,The,"tensor([ 3.0215,  2.3809,  1.7891,  ..., -3.9238, -3.9219, -3.9219],
       dtype=torch.float16)",578,14.2421875,12.53125,12.078125,False,False,False
Algeria,Algiers,none,"Q: What is the none of Algeria?
A:",81341,82299,7000,The,"tensor([ 2.8438,  1.2891,  2.3223,  ..., -3.8750, -3.8750, -3.8750],
       dtype=torch.float16)",578,13.53125,11.71875,12.125,False,False,False
Andorra,Andorra la Vella,none,"Q: What is the none of Andorra?
A:",1628,1628,7000,The,"tensor([ 4.1914,  2.9473,  2.3711,  ..., -3.5605, -3.5605, -3.5605],
       dtype=torch.float16)",578,15.2578125,15.2578125,11.7265625,False,False,False
Angola,Luanda,none,"Q: What is the none of Angola?
A:",98792,18866,7000,The,"tensor([ 4.7227,  0.9565,  3.1406,  ..., -3.9805, -3.9805, -3.9805],
       dtype=torch.float16)",578,13.46875,12.484375,11.3671875,False,False,False
Antigua and Barbuda,St. John's,none,"Q: What is the none of Antigua and Barbuda?
A:",6898,800,7000,The,"tensor([ 3.6836,  1.4258,  2.2910,  ..., -3.7754, -3.7754, -3.7754],
       dtype=torch.float16)",578,14.6796875,12.5390625,11.6015625,False,False,False
Argentina,Buenos Aires,none,"Q: What is the none of Argentina?
A:",32164,69173,7000,The,"tensor([ 3.7070,  1.8701,  2.9863,  ..., -3.5195, -3.5195, -3.5176],
       dtype=torch.float16)",578,13.6484375,12.296875,11.65625,False,False,False
Armenia,Yerevan,none,"Q: What is the none of Armenia?
A:",72630,816,7000,The,"tensor([ 4.0586,  2.7012,  2.5586,  ..., -4.3945, -4.3945, -4.3945],
       dtype=torch.float16)",578,14.0546875,11.890625,11.359375,False,False,False
Australia,Canberra,none,"Q: What is the none of Australia?
A:",8494,69890,7000,The,"tensor([ 3.3828,  0.9287,  2.6816,  ..., -3.5000, -3.5000, -3.5000],
       dtype=torch.float16)",578,13.9921875,11.046875,12.7890625,False,False,False
Austria,Vienna,none,"Q: What is the none of Austria?
A:",35998,47387,7000,The,"tensor([ 3.6152,  2.0879,  2.7773,  ..., -3.6523, -3.6523, -3.6523],
       dtype=torch.float16)",578,14.2109375,12.515625,12.2890625,False,False,False
Azerbaijan,Baku,none,"Q: What is the none of Azerbaijan?
A:",74577,426,7000,The,"tensor([ 5.2227,  3.0918,  2.5762,  ..., -4.4102, -4.4102, -4.4102],
       dtype=torch.float16)",578,13.4140625,12.4609375,11.21875,False,False,False
Bahamas,Nassau,none,"Q: What is the none of Bahamas?
A:",84229,73002,7000,The,"tensor([ 4.4570,  1.8652,  2.5820,  ..., -3.6934, -3.6934, -3.6934],
       dtype=torch.float16)",578,14.4375,13.4375,13.1953125,False,False,False
Bahrain,Manama,none,"Q: What is the none of Bahrain?
A:",66739,2418,7000,The,"tensor([ 3.4473,  1.2012,  2.2402,  ..., -4.8359, -4.8359, -4.8398],
       dtype=torch.float16)",578,13.7578125,11.8359375,11.5625,False,False,False
Bangladesh,Dhaka,none,"Q: What is the none of Bangladesh?
A:",39601,44327,7000,The,"tensor([ 2.9297,  2.1738,  2.4102,  ..., -4.5625, -4.5664, -4.5625],
       dtype=torch.float16)",578,13.6328125,12.84375,11.4375,False,False,False
Barbados,Bridgetown,none,"Q: What is the none of Barbados?
A:",47142,32437,7000,Barb,"tensor([ 4.5312,  2.1094,  3.4570,  ..., -3.5684, -3.5684, -3.5684],
       dtype=torch.float16)",47142,15.515625,10.515625,12.203125,True,False,False
Belarus,Minsk,none,"Q: What is the none of Belarus?
A:",70606,386,7000,The,"tensor([ 4.6719,  2.5547,  2.4961,  ..., -4.4570, -4.4531, -4.4531],
       dtype=torch.float16)",578,14.5859375,13.2421875,11.2265625,False,False,False
Belgium,Brussels,none,"Q: What is the none of Belgium?
A:",34061,38269,7000,The,"tensor([ 4.0508,  1.1133,  2.0391,  ..., -3.4902, -3.4883, -3.4883],
       dtype=torch.float16)",578,13.8984375,13.75,11.7265625,False,False,False
Belize,Belmopan,none,"Q: What is the none of Belize?
A:",98104,7984,7000,The,"tensor([ 3.9570,  1.2070,  3.1504,  ..., -3.4902, -3.4883, -3.4883],
       dtype=torch.float16)",578,14.9921875,11.453125,12.2421875,False,False,False
