input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,repeat,"Q: What is the repeat of Afghanistan?
A:",21139,87645,13454,The,"tensor([ 3.4883,  3.6445,  3.9922,  ..., -4.5039, -4.5039, -4.5039],
       dtype=torch.float16)",578,15.3515625,11.703125,10.7578125,False,False,False
Albania,Tirana,repeat,"Q: What is the repeat of Albania?
A:",95733,83655,13454,The,"tensor([ 3.0215,  2.6641,  2.8223,  ..., -4.1289, -4.1250, -4.1250],
       dtype=torch.float16)",578,15.2421875,12.109375,10.5859375,False,False,False
Algeria,Algiers,repeat,"Q: What is the repeat of Algeria?
A:",81341,82299,13454,The,"tensor([ 3.3223,  2.3926,  3.8359,  ..., -3.8906, -3.8906, -3.8906],
       dtype=torch.float16)",578,16.0625,12.9765625,11.2109375,False,False,False
Andorra,Andorra la Vella,repeat,"Q: What is the repeat of Andorra?
A:",1628,1628,13454,The,"tensor([ 4.4492,  3.0352,  3.3984,  ..., -3.0469, -3.0469, -3.0469],
       dtype=torch.float16)",578,16.59375,16.59375,11.5078125,False,False,False
Angola,Luanda,repeat,"Q: What is the repeat of Angola?
A:",98792,18866,13454,Angola,"tensor([ 4.1953,  2.4551,  3.8105,  ..., -3.5586, -3.5566, -3.5566],
       dtype=torch.float16)",98792,16.625,10.6328125,11.4765625,True,False,False
Antigua and Barbuda,St. John's,repeat,"Q: What is the repeat of Antigua and Barbuda?
A:",6898,800,13454,The,"tensor([ 3.8613,  1.8848,  3.7109,  ..., -3.6055, -3.6055, -3.6055],
       dtype=torch.float16)",578,16.421875,13.5703125,10.9375,False,False,False
Argentina,Buenos Aires,repeat,"Q: What is the repeat of Argentina?
A:",32164,69173,13454,The,"tensor([ 4.3516,  2.6562,  3.3965,  ..., -3.4102, -3.4082, -3.4082],
       dtype=torch.float16)",578,16.109375,12.953125,11.8203125,False,False,False
Armenia,Yerevan,repeat,"Q: What is the repeat of Armenia?
A:",72630,816,13454,The,"tensor([ 3.9082,  3.3184,  3.4746,  ..., -3.9707, -3.9707, -3.9707],
       dtype=torch.float16)",578,16.21875,12.0078125,12.015625,False,False,False
Australia,Canberra,repeat,"Q: What is the repeat of Australia?
A:",8494,69890,13454,The,"tensor([ 3.7910,  2.4805,  3.4102,  ..., -3.7383, -3.7383, -3.7383],
       dtype=torch.float16)",578,16.0,10.984375,11.953125,False,False,False
Austria,Vienna,repeat,"Q: What is the repeat of Austria?
A:",35998,47387,13454,The,"tensor([ 4.3672,  2.9414,  3.8418,  ..., -3.3926, -3.3926, -3.3926],
       dtype=torch.float16)",578,16.171875,13.2265625,11.765625,False,False,False
Azerbaijan,Baku,repeat,"Q: What is the repeat of Azerbaijan?
A:",74577,426,13454,The,"tensor([ 4.8086,  3.9121,  3.4648,  ..., -3.7715, -3.7715, -3.7715],
       dtype=torch.float16)",578,16.453125,13.703125,11.65625,False,False,False
Bahamas,Nassau,repeat,"Q: What is the repeat of Bahamas?
A:",84229,73002,13454,The,"tensor([ 4.0078,  3.1387,  4.3320,  ..., -3.5742, -3.5723, -3.5723],
       dtype=torch.float16)",578,16.203125,10.875,13.046875,False,False,False
Bahrain,Manama,repeat,"Q: What is the repeat of Bahrain?
A:",66739,2418,13454,The,"tensor([ 3.7227,  2.7480,  3.7324,  ..., -4.2539, -4.2539, -4.2539],
       dtype=torch.float16)",578,15.4609375,10.84375,12.28125,False,False,False
Bangladesh,Dhaka,repeat,"Q: What is the repeat of Bangladesh?
A:",39601,44327,13454,Bangladesh,"tensor([ 3.9609,  3.2422,  3.6797,  ..., -4.0195, -4.0195, -4.0195],
       dtype=torch.float16)",39601,16.875,13.5390625,11.59375,True,False,False
Barbados,Bridgetown,repeat,"Q: What is the repeat of Barbados?
A:",47142,32437,13454,Barb,"tensor([ 4.5586,  2.5020,  4.2227,  ..., -3.4707, -3.4707, -3.4707],
       dtype=torch.float16)",47142,17.078125,10.140625,12.0625,True,False,False
Belarus,Minsk,repeat,"Q: What is the repeat of Belarus?
A:",70606,386,13454,The,"tensor([ 4.6445,  3.1543,  3.3516,  ..., -3.9648, -3.9648, -3.9648],
       dtype=torch.float16)",578,16.234375,11.8671875,12.2421875,False,False,False
Belgium,Brussels,repeat,"Q: What is the repeat of Belgium?
A:",34061,38269,13454,The,"tensor([ 4.0000,  2.2910,  3.2012,  ..., -3.5762, -3.5762, -3.5762],
       dtype=torch.float16)",578,15.3984375,12.8359375,11.5625,False,False,False
Belize,Belmopan,repeat,"Q: What is the repeat of Belize?
A:",98104,7984,13454,The,"tensor([ 4.4258,  2.9922,  4.3828,  ..., -3.4043, -3.4023, -3.4023],
       dtype=torch.float16)",578,16.421875,12.21875,12.6015625,False,False,False
Benin,Porto-Novo,repeat,"Q: What is the repeat of Benin?
A:",7505,70798,13454,Ben,"tensor([ 4.2656,  2.6602,  2.8750,  ..., -3.4121, -3.4121, -3.4121],
       dtype=torch.float16)",7505,16.421875,7.89453125,11.6171875,True,False,False
