input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,none,"Q: What is the none of flawed?
A:",33657,3962,5293,The,"tensor([ 3.5000, -5.6914,  1.9609,  ..., -5.4766, -5.6172, -5.6836],
       dtype=torch.float16)",380,4.41015625,3.30859375,7.49609375,False,False,False
orthodox,unorthodox,none,"Q: What is the none of orthodox?
A:",9373,440,5293,The,"tensor([ 4.1562, -5.3438,  2.1074,  ..., -5.1719, -5.2656, -5.5703],
       dtype=torch.float16)",380,7.109375,3.1953125,7.08984375,False,False,False
true,false,none,"Q: What is the none of true?
A:",2032,3221,5293,None,"tensor([ 4.3984, -5.2148,  2.4199,  ..., -4.9727, -5.0273, -5.2031],
       dtype=torch.float16)",8256,6.5625,5.61328125,7.875,False,False,True
daily,nightly,none,"Q: What is the none of daily?
A:",5312,2360,5293,The,"tensor([ 4.1211, -4.9922,  2.5059,  ..., -5.0859, -5.1211, -5.1836],
       dtype=torch.float16)",380,6.3671875,2.693359375,8.0,False,False,False
distribution,concentration,none,"Q: What is the none of distribution?
A:",3268,4719,5293,The,"tensor([ 3.1895, -5.4102,  2.2363,  ..., -5.0898, -5.1094, -5.4766],
       dtype=torch.float16)",380,6.44140625,0.277099609375,7.9765625,False,False,False
valid,invalid,none,"Q: What is the none of valid?
A:",3588,12078,5293,None,"tensor([ 3.8223, -5.5352,  1.8301,  ..., -5.4727, -5.5586, -5.5469],
       dtype=torch.float16)",8256,6.078125,5.84765625,8.140625,False,False,True
expand,contract,none,"Q: What is the none of expand?
A:",5645,3310,5293,The,"tensor([ 4.2695, -5.2969,  2.3477,  ..., -5.3320, -5.3438, -5.4062],
       dtype=torch.float16)",380,8.90625,2.453125,8.53125,False,False,False
practical,impractical,none,"Q: What is the none of practical?
A:",8542,45783,5293,The,"tensor([ 3.7852, -5.4961,  2.3984,  ..., -5.2617, -5.3750, -5.6602],
       dtype=torch.float16)",380,2.859375,0.363037109375,6.8515625,False,False,False
privilege,disadvantage,none,"Q: What is the none of privilege?
A:",15863,18928,5293,It,"tensor([ 3.6699, -5.1094,  2.5449,  ..., -4.9062, -4.8555, -5.1562],
       dtype=torch.float16)",733,6.265625,-0.107666015625,8.2109375,False,False,False
mammoth,tiny,none,"Q: What is the none of mammoth?
A:",11783,10058,5293,It,"tensor([ 4.8359, -5.5625,  1.9277,  ..., -5.3086, -5.4961, -5.6406],
       dtype=torch.float16)",733,7.05859375,1.2978515625,8.328125,False,False,False
unrelated,related,none,"Q: What is the none of unrelated?
A:",20804,2905,5293,It,"tensor([ 3.3203, -5.2461,  2.5293,  ..., -5.3750, -5.0547, -5.4336],
       dtype=torch.float16)",733,5.21875,4.578125,6.9765625,False,False,False
overnight,daytime,none,"Q: What is the none of overnight?
A:",13463,37527,5293,The,"tensor([ 4.0898, -5.2617,  2.2539,  ..., -5.3242, -5.2227, -5.5312],
       dtype=torch.float16)",380,6.57421875,0.8212890625,7.84765625,False,False,False
other,same,none,"Q: What is the none of other?
A:",643,1072,5293,The,"tensor([ 4.0273, -5.6445,  1.7705,  ..., -5.3945, -5.4102, -5.5859],
       dtype=torch.float16)",380,4.421875,2.828125,7.61328125,False,False,False
square,circle,none,"Q: What is the none of square?
A:",6278,9096,5293,The,"tensor([ 4.0820, -5.1133,  2.5625,  ..., -4.7422, -4.9922, -5.2695],
       dtype=torch.float16)",380,6.47265625,2.35546875,8.671875,False,False,False
hollow,solid,none,"Q: What is the none of hollow?
A:",19781,4891,5293,The,"tensor([ 4.3789, -5.3164,  2.4199,  ..., -5.2070, -5.2031, -5.5234],
       dtype=torch.float16)",380,7.6015625,3.61328125,7.94140625,False,False,False
difficult,easy,none,"Q: What is the none of difficult?
A:",2834,3477,5293,The,"tensor([ 4.2227, -5.4531,  2.3867,  ..., -5.4844, -5.6836, -5.7148],
       dtype=torch.float16)",380,3.27734375,4.9296875,7.15234375,False,False,False
