input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
curse,swear,repeat,"Relation: repeat
Input: curse
Output:",28401,24156,10280,true,"tensor([ 4.3555, -4.5938,  3.3438,  ..., -4.6523, -4.7227, -4.8242],
       dtype=torch.float16)",2032,10.2421875,5.55859375,10.5,False,False,False
notorious,infamous,repeat,"Relation: repeat
Input: notorious
Output:",32566,33486,10280,1,"tensor([ 4.1367, -3.7871,  1.4404,  ..., -3.8184, -3.7266, -4.1445],
       dtype=torch.float16)",337,11.1484375,10.34375,8.2265625,False,False,False
unprotected,vulnerable,repeat,"Relation: repeat
Input: unprotected
Output:",440,14043,10280,un,"tensor([ 4.4180, -5.0664,  2.9531,  ..., -4.9727, -4.9531, -5.0977],
       dtype=torch.float16)",440,11.96875,7.609375,9.8828125,True,False,False
identify,recognize,repeat,"Relation: repeat
Input: identify
Output:",4271,9446,10280,identify,"tensor([ 5.3320, -4.4023,  1.6709,  ..., -4.5898, -4.5664, -4.6719],
       dtype=torch.float16)",4271,12.0078125,6.4609375,11.0859375,True,False,False
messenger,courier,repeat,"Relation: repeat
Input: messenger
Output:",31267,2565,10280,messenger,"tensor([ 3.7148, -4.9570,  2.5762,  ..., -4.9531, -4.9570, -5.0391],
       dtype=torch.float16)",31267,10.75,4.47265625,9.25,True,False,False
mysterious,enigmatic,repeat,"Relation: repeat
Input: mysterious
Output:",19796,546,10280,mysterious,"tensor([ 5.3516, -4.7500,  2.8105,  ..., -4.8750, -4.6680, -4.8516],
       dtype=torch.float16)",19796,11.1328125,7.06640625,8.3046875,True,False,False
punk,rebel,repeat,"Relation: repeat
Input: punk
Output:",30304,29703,10280,punk,"tensor([ 4.5391, -5.3359,  2.1582,  ..., -5.1836, -5.3438, -5.5039],
       dtype=torch.float16)",30304,11.1640625,4.07421875,8.859375,True,False,False
shameless,brazen,repeat,"Relation: repeat
Input: shameless
Output:",23013,6513,10280,sham,"tensor([ 4.6289, -5.0195,  2.1641,  ..., -5.0469, -4.8984, -5.1133],
       dtype=torch.float16)",23013,10.1953125,4.71484375,8.5859375,True,False,False
mythical,legendary,repeat,"Relation: repeat
Input: mythical
Output:",13296,25893,10280,myth,"tensor([ 4.9727, -5.2422,  2.0176,  ..., -5.2461, -5.2422, -5.3398],
       dtype=torch.float16)",13296,11.5,5.80078125,9.0234375,True,False,False
loud,noisy,repeat,"Relation: repeat
Input: loud
Output:",11216,27620,10280,loud,"tensor([ 4.6523, -4.6602,  2.5547,  ..., -4.8164, -4.8477, -4.8398],
       dtype=torch.float16)",11216,13.0390625,9.4765625,9.6640625,True,False,False
sewing,stitching,repeat,"Relation: repeat
Input: sewing
Output:",36787,331,10280,sewing,"tensor([ 4.3008, -5.1328,  1.8369,  ..., -5.1211, -5.2344, -5.2031],
       dtype=torch.float16)",36787,11.1640625,7.875,8.7890625,True,False,False
merge,combine,repeat,"Relation: repeat
Input: merge
Output:",17310,13398,10280,merge,"tensor([ 4.6992, -4.8359,  1.7822,  ..., -4.8516, -4.8711, -5.0273],
       dtype=torch.float16)",17310,12.1015625,8.515625,11.3125,True,False,False
cook,prepare food,repeat,"Relation: repeat
Input: cook
Output:",4417,10347,10280,cook,"tensor([ 4.6602, -4.7148,  1.7412,  ..., -4.7773, -4.7930, -4.8594],
       dtype=torch.float16)",4417,12.234375,6.23046875,9.25,True,False,False
think,consider,repeat,"Relation: repeat
Input: think
Output:",1158,1908,10280,think,"tensor([ 5.2578, -4.4844,  3.4297,  ..., -4.6016, -4.6328, -4.7031],
       dtype=torch.float16)",1158,12.65625,6.59375,10.4375,True,False,False
mediocre,average,repeat,"Relation: repeat
Input: mediocre
Output:",12069,3388,10280,medi,"tensor([ 4.4570, -4.2695,  2.1270,  ..., -4.2500, -4.4062, -4.3711],
       dtype=torch.float16)",12069,12.765625,10.484375,8.046875,True,False,False
