input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,repeat,"Relation: repeat
Input: Afghanistan
Output:",16111,611,10280,Afghanistan,"tensor([ 3.7051, -5.2109,  1.5732,  ..., -5.1641, -5.1797, -5.4219],
       dtype=torch.float16)",16111,12.0078125,7.421875,7.28515625,True,False,False
Albania,Tirana,repeat,"Relation: repeat
Input: Albania
Output:",31208,48669,10280,Alban,"tensor([ 3.8730, -5.1367,  1.6855,  ..., -5.2852, -5.3477, -5.4844],
       dtype=torch.float16)",31208,11.6640625,5.2734375,8.0078125,True,False,False
Algeria,Algiers,repeat,"Relation: repeat
Input: Algeria
Output:",36364,1219,10280,Alger,"tensor([ 3.3184, -5.3359,  1.3076,  ..., -5.2773, -5.4102, -5.5156],
       dtype=torch.float16)",36364,11.65625,8.4140625,7.7109375,True,False,False
Andorra,Andorra la Vella,repeat,"Relation: repeat
Input: Andorra
Output:",1244,1244,10280,And,"tensor([ 4.6836, -5.3242,  1.5322,  ..., -5.4766, -5.6055, -5.6914],
       dtype=torch.float16)",1244,11.453125,11.453125,6.765625,True,True,False
Angola,Luanda,repeat,"Relation: repeat
Input: Angola
Output:",4965,7511,10280,Ang,"tensor([ 3.7559, -5.5586,  0.9478,  ..., -5.6367, -5.6992, -5.8125],
       dtype=torch.float16)",4965,11.3125,5.58984375,6.3203125,True,False,False
Antigua and Barbuda,St. John's,repeat,"Relation: repeat
Input: Antigua and Barbuda
Output:",9422,659,10280,Ant,"tensor([ 4.8867, -5.2422,  0.8433,  ..., -5.3359, -5.3672, -5.5312],
       dtype=torch.float16)",9422,11.546875,6.484375,7.08203125,True,False,False
Argentina,Buenos Aires,repeat,"Relation: repeat
Input: Argentina
Output:",23881,46287,10280,Argentina,"tensor([ 3.4805, -5.2969,  1.1270,  ..., -5.2734, -5.4844, -5.4609],
       dtype=torch.float16)",23881,12.015625,8.046875,7.2265625,True,False,False
Armenia,Yerevan,repeat,"Relation: repeat
Input: Armenia
Output:",5360,714,10280,Arm,"tensor([ 3.5703, -5.3398,  1.6309,  ..., -5.3945, -5.4727, -5.5820],
       dtype=torch.float16)",5360,11.03125,7.46875,6.0234375,True,False,False
Australia,Canberra,repeat,"Relation: repeat
Input: Australia
Output:",6976,2615,10280,Australia,"tensor([ 4.4141, -5.2773,  1.7314,  ..., -5.2266, -5.3555, -5.4570],
       dtype=torch.float16)",6976,11.734375,6.1328125,7.5078125,True,False,False
Austria,Vienna,repeat,"Relation: repeat
Input: Austria
Output:",21753,26229,10280,Austria,"tensor([ 4.2461, -5.4453,  1.2666,  ..., -5.3906, -5.4805, -5.5117],
       dtype=torch.float16)",21753,11.9609375,7.171875,7.57421875,True,False,False
