input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
curse,swear,none,"Relation: none
Input: curse
Output:",28401,24156,5293,curse,"tensor([ 4.2461, -4.6914,  3.3223,  ..., -4.6406, -4.8008, -4.8633],
       dtype=torch.float16)",28401,10.7265625,5.10546875,9.90625,True,False,False
notorious,infamous,none,"Relation: none
Input: notorious
Output:",32566,33486,5293,1,"tensor([ 4.6562, -3.9727,  1.4844,  ..., -3.8770, -3.8262, -4.2305],
       dtype=torch.float16)",337,10.5390625,10.3671875,10.640625,False,False,False
unprotected,vulnerable,none,"Relation: none
Input: unprotected
Output:",440,14043,5293,un,"tensor([ 5.0391, -4.9688,  3.2266,  ..., -4.7031, -4.8516, -4.9258],
       dtype=torch.float16)",440,11.75,8.0859375,9.7421875,True,False,False
identify,recognize,none,"Relation: none
Input: identify
Output:",4271,9446,5293,identify,"tensor([ 5.5977, -4.5586,  1.7715,  ..., -4.5898, -4.6680, -4.7188],
       dtype=torch.float16)",4271,11.8828125,6.08984375,11.0546875,True,False,False
messenger,courier,none,"Relation: none
Input: messenger
Output:",31267,2565,5293,,"tensor([ 3.9629, -5.0820,  2.5273,  ..., -5.0234, -5.0859, -5.1016],
       dtype=torch.float16)",187,9.9921875,4.19921875,9.3984375,False,False,False
mysterious,enigmatic,none,"Relation: none
Input: mysterious
Output:",19796,546,5293,mysterious,"tensor([ 5.3516, -4.8516,  2.8223,  ..., -4.9023, -4.7734, -4.9062],
       dtype=torch.float16)",19796,10.75,7.0625,8.875,True,False,False
punk,rebel,none,"Relation: none
Input: punk
Output:",30304,29703,5293,punk,"tensor([ 4.3555, -5.6445,  1.8564,  ..., -5.4570, -5.6250, -5.7891],
       dtype=torch.float16)",30304,10.921875,3.037109375,8.8828125,True,False,False
shameless,brazen,none,"Relation: none
Input: shameless
Output:",23013,6513,5293,,"tensor([ 4.7305, -5.1055,  2.0078,  ..., -5.0664, -4.9492, -5.1211],
       dtype=torch.float16)",187,9.9375,4.44921875,9.1640625,False,False,False
mythical,legendary,none,"Relation: none
Input: mythical
Output:",13296,25893,5293,myth,"tensor([ 5.2188, -5.2578,  2.1934,  ..., -5.1602, -5.2070, -5.2812],
       dtype=torch.float16)",13296,11.078125,5.89453125,9.5078125,True,False,False
loud,noisy,none,"Relation: none
Input: loud
Output:",11216,27620,5293,loud,"tensor([ 4.6953, -4.7188,  2.6230,  ..., -4.8203, -4.9023, -4.8477],
       dtype=torch.float16)",11216,12.890625,9.296875,10.6015625,True,False,False
sewing,stitching,none,"Relation: none
Input: sewing
Output:",36787,331,5293,sewing,"tensor([ 4.3164, -5.1992,  1.6240,  ..., -5.0938, -5.2422, -5.1875],
       dtype=torch.float16)",36787,10.8984375,7.70703125,9.3515625,True,False,False
merge,combine,none,"Relation: none
Input: merge
Output:",17310,13398,5293,merge,"tensor([ 4.7930, -5.0859,  1.5830,  ..., -4.9727, -5.0273, -5.2031],
       dtype=torch.float16)",17310,12.125,7.80859375,10.078125,True,False,False
cook,prepare food,none,"Relation: none
Input: cook
Output:",4417,10347,5293,,"tensor([ 4.7930, -4.9062,  1.8652,  ..., -4.8867, -4.8945, -4.9453],
       dtype=torch.float16)",187,11.3671875,5.73828125,8.6328125,False,False,False
think,consider,none,"Relation: none
Input: think
Output:",1158,1908,5293,think,"tensor([ 5.4414, -4.7344,  3.3945,  ..., -4.7188, -4.7969, -4.8398],
       dtype=torch.float16)",1158,12.109375,6.171875,9.328125,True,False,False
