input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,none,"Relation: none
Input: flawed
Output:",48008,4832,7000,flawed,"tensor([ -1.4492,  -2.7422,  -1.6631,  ..., -10.1953, -10.1953, -10.1875],
       dtype=torch.float16)",48008,11.84375,8.9296875,9.8984375,True,False,False
orthodox,unorthodox,none,"Relation: none
Input: orthodox
Output:",92342,653,7000,orthodox,"tensor([ -2.6426,  -4.0391,  -2.6777,  ..., -10.4766, -10.4766, -10.4766],
       dtype=torch.float16)",92342,10.2109375,6.91796875,8.96875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",837,905,7000,true,"tensor([-2.1660, -3.1484, -2.4297,  ..., -9.0938, -9.0938, -9.0938],
       dtype=torch.float16)",837,12.5390625,12.15625,9.78125,True,False,False
daily,nightly,none,"Relation: none
Input: daily
Output:",7446,75860,7000,daily,"tensor([-2.6660, -2.9375, -2.4023,  ..., -9.6797, -9.6797, -9.6797],
       dtype=torch.float16)",7446,12.71875,5.1171875,10.09375,True,False,False
distribution,concentration,none,"Relation: none
Input: distribution
Output:",8141,20545,7000,distribution,"tensor([-2.0371, -3.3770, -2.4824,  ..., -9.0234, -9.0234, -9.0234],
       dtype=torch.float16)",8141,12.78125,7.515625,10.78125,True,False,False
valid,invalid,none,"Relation: none
Input: valid
Output:",2764,8482,7000,valid,"tensor([-2.4746, -2.9062, -2.4434,  ..., -9.1484, -9.1484, -9.1484],
       dtype=torch.float16)",2764,11.6796875,11.3125,9.8046875,True,False,False
expand,contract,none,"Relation: none
Input: expand
Output:",9407,5226,7000,expand,"tensor([-1.8750, -4.0117, -2.1133,  ..., -9.2344, -9.2344, -9.2344],
       dtype=torch.float16)",9407,11.8046875,8.84375,9.765625,True,False,False
practical,impractical,none,"Relation: none
Input: practical
Output:",15325,23356,7000,practical,"tensor([ -2.5059,  -3.8145,  -2.6777,  ..., -10.6094, -10.6094, -10.6094],
       dtype=torch.float16)",15325,10.6796875,6.21875,9.0625,True,False,False
privilege,disadvantage,none,"Relation: none
Input: privilege
Output:",26632,49836,7000,privilege,"tensor([-2.7441, -3.1562, -2.6973,  ..., -8.9531, -8.9531, -8.9531],
       dtype=torch.float16)",26632,11.4921875,1.3408203125,9.7578125,True,False,False
mammoth,tiny,none,"Relation: none
Input: mammoth
Output:",33820,13987,7000,mam,"tensor([ -1.2549,  -4.1289,  -1.5635,  ..., -10.0781, -10.0781, -10.0781],
       dtype=torch.float16)",33820,12.109375,2.8671875,9.578125,True,False,False
