input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,repeat,"Relation: repeat
Input: flawed
Output:",48008,4832,13454,flawed,"tensor([ 3.4570,  2.3750,  2.7305,  ..., -2.9277, -2.9297, -2.9277],
       dtype=torch.float16)",48008,16.296875,13.7109375,14.578125,True,False,False
orthodox,unorthodox,repeat,"Relation: repeat
Input: orthodox
Output:",92342,653,13454,orthodox,"tensor([ 2.6484,  1.0742,  1.1768,  ..., -2.8633, -2.8633, -2.8633],
       dtype=torch.float16)",92342,14.75,11.2734375,14.421875,True,False,False
true,false,repeat,"Relation: repeat
Input: true
Output:",837,905,13454,true,"tensor([ 3.3105,  2.4121,  2.5469,  ..., -2.3242, -2.3242, -2.3242],
       dtype=torch.float16)",837,17.734375,17.34375,14.984375,True,False,False
daily,nightly,repeat,"Relation: repeat
Input: daily
Output:",7446,75860,13454,monthly,"tensor([ 2.2695,  2.0859,  3.0840,  ..., -2.0957, -2.0957, -2.0957],
       dtype=torch.float16)",15438,17.15625,11.15625,15.34375,False,False,False
distribution,concentration,repeat,"Relation: repeat
Input: distribution
Output:",8141,20545,13454,distribution,"tensor([ 2.4629,  1.2695,  2.6152,  ..., -3.0547, -3.0547, -3.0547],
       dtype=torch.float16)",8141,16.71875,10.25,15.2421875,True,False,False
valid,invalid,repeat,"Relation: repeat
Input: valid
Output:",2764,8482,13454,valid,"tensor([ 2.8613,  2.3516,  2.4355,  ..., -2.5918, -2.5918, -2.5918],
       dtype=torch.float16)",2764,16.84375,15.1875,14.5,True,False,False
expand,contract,repeat,"Relation: repeat
Input: expand
Output:",9407,5226,13454,repeat,"tensor([ 3.4668,  1.3467,  1.9844,  ..., -2.6973, -2.6973, -2.6973],
       dtype=torch.float16)",13454,14.7421875,13.9296875,15.21875,False,False,True
practical,impractical,repeat,"Relation: repeat
Input: practical
Output:",15325,23356,13454,practical,"tensor([ 3.3438,  2.6719,  2.7617,  ..., -2.1992, -2.1992, -2.1992],
       dtype=torch.float16)",15325,15.4140625,11.0546875,13.921875,True,False,False
privilege,disadvantage,repeat,"Relation: repeat
Input: privilege
Output:",26632,49836,13454,repeat,"tensor([ 3.8008,  2.5352,  3.4453,  ..., -2.3906, -2.3906, -2.3906],
       dtype=torch.float16)",13454,16.0,8.21875,16.015625,False,False,True
mammoth,tiny,repeat,"Relation: repeat
Input: mammoth
Output:",33820,13987,13454,mam,"tensor([ 3.0703,  1.8164,  1.9268,  ..., -3.1914, -3.1914, -3.1914],
       dtype=torch.float16)",33820,16.03125,8.5078125,13.984375,True,False,False
