input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,none,"Q: What is the none of flawed?
A:",48008,4832,7000,The,"tensor([ -0.8462,  -2.6660,  -2.2793,  ..., -10.1562, -10.1562, -10.1562],
       dtype=torch.float16)",578,8.0546875,6.890625,9.3125,False,False,False
orthodox,unorthodox,none,"Q: What is the none of orthodox?
A:",92342,653,7000,The,"tensor([ 0.0634, -0.5933, -1.1680,  ..., -8.9453, -8.9453, -8.9453],
       dtype=torch.float16)",578,8.1953125,9.625,10.296875,False,False,False
true,false,none,"Q: What is the none of true?
A:",837,905,7000,The,"tensor([ -0.8413,  -1.7920,  -1.8789,  ..., -10.5391, -10.5391, -10.5391],
       dtype=torch.float16)",578,7.86328125,9.203125,8.9375,False,False,False
daily,nightly,none,"Q: What is the none of daily?
A:",7446,75860,7000,The,"tensor([ -0.6973,  -2.0898,  -1.4785,  ..., -10.5859, -10.5859, -10.5859],
       dtype=torch.float16)",578,7.62109375,1.1484375,8.28125,False,False,False
distribution,concentration,none,"Q: What is the none of distribution?
A:",8141,20545,7000,The,"tensor([-0.6626, -1.2939, -0.9985,  ..., -9.2891, -9.2891, -9.2891],
       dtype=torch.float16)",578,9.953125,6.18359375,10.7890625,False,False,False
valid,invalid,none,"Q: What is the none of valid?
A:",2764,8482,7000,The,"tensor([ -2.3691,  -3.4473,  -2.8105,  ..., -10.3516, -10.3516, -10.3516],
       dtype=torch.float16)",578,6.796875,7.42578125,8.8984375,False,False,False
expand,contract,none,"Q: What is the none of expand?
A:",9407,5226,7000,The,"tensor([ -0.6528,  -1.7939,  -1.7021,  ..., -10.7812, -10.7812, -10.7812],
       dtype=torch.float16)",578,7.85546875,5.25,9.3359375,False,False,False
practical,impractical,none,"Q: What is the none of practical?
A:",15325,23356,7000,The,"tensor([ -1.4609,  -2.4238,  -2.4824,  ..., -10.2578, -10.2578, -10.2578],
       dtype=torch.float16)",578,8.390625,4.9609375,9.2109375,False,False,False
privilege,disadvantage,none,"Q: What is the none of privilege?
A:",26632,49836,7000,The,"tensor([-1.2441, -1.8359, -2.0801,  ..., -9.9609, -9.9609, -9.9609],
       dtype=torch.float16)",578,8.1484375,2.6953125,8.1875,False,False,False
mammoth,tiny,none,"Q: What is the none of mammoth?
A:",33820,13987,7000,The,"tensor([-0.1407, -1.8418, -1.4414,  ..., -8.7109, -8.7109, -8.7109],
       dtype=torch.float16)",578,11.3203125,7.3203125,10.796875,False,False,False
