input,output,relation,prompt,intervention_layer,input_id,output_id,relation_id,prediction_id,input_logit,output_logit,relation_logit,prediction_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,none,"Q: What is the none of flawed?
A:",,33657,3962,271,380,3.525390625,2.97265625,5.390625,12.328125,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",0.0,33657,3962,271,380,4.63671875,5.04296875,6.62890625,12.1015625,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",1.0,33657,3962,271,380,4.97265625,5.23828125,6.76953125,12.0859375,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",2.0,33657,3962,271,380,4.6875,4.796875,6.421875,12.2890625,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",3.0,33657,3962,271,380,4.4140625,4.765625,6.4296875,11.859375,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",4.0,33657,3962,271,380,4.34765625,4.4921875,6.23046875,11.71875,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",5.0,33657,3962,271,380,4.5703125,5.2421875,6.47265625,11.5546875,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",6.0,33657,3962,271,380,3.93359375,4.6484375,6.3046875,11.859375,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",7.0,33657,3962,271,380,4.3046875,4.99609375,6.2890625,11.7734375,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",8.0,33657,3962,271,380,4.37109375,4.92578125,5.90625,11.8203125,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",9.0,33657,3962,271,380,5.04296875,4.72265625,6.08203125,11.5546875,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",10.0,33657,3962,271,380,5.3828125,5.09375,6.00390625,11.703125,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",11.0,33657,3962,271,380,4.55859375,4.2421875,5.73046875,11.7890625,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",12.0,33657,3962,271,380,5.18359375,5.24609375,5.78515625,11.953125,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",13.0,33657,3962,271,380,4.859375,4.453125,5.6796875,11.6796875,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",14.0,33657,3962,271,380,5.15234375,4.9296875,5.16015625,11.3828125,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",15.0,33657,3962,271,380,4.359375,3.87890625,5.41015625,12.0546875,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",16.0,33657,3962,271,380,4.2265625,3.697265625,5.30078125,11.921875,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",17.0,33657,3962,271,380,3.66015625,3.306640625,5.33203125,11.984375,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",18.0,33657,3962,271,380,3.4140625,3.3046875,5.203125,12.03125,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",19.0,33657,3962,271,380,3.611328125,3.333984375,5.30859375,12.0625,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",20.0,33657,3962,271,380,3.5390625,3.40625,5.3125,11.96875,False,False,False
flawed,perfect,none,"Q: What is the none of flawed?
A:",21.0,33657,3962,271,380,3.419921875,3.14453125,5.3046875,12.015625,False,False,False
