input,output,relation,prompt,intervention_layer,input_id,output_id,relation_id,prediction_id,input_logit,output_logit,relation_logit,prediction_logit,input_prediction,output_prediction,relation_prediction,input_token,output_token,relation_token,prediction_token
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",,16111,611,2586,380,10.265625,7.7265625,2.681640625,12.625,False,False,False,Afghanistan,K,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",0.0,16111,611,2586,380,10.5625,9.6015625,4.51953125,10.6953125,False,False,False,Afghanistan,K,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",1.0,16111,611,2586,380,10.7421875,9.8203125,4.3828125,10.8984375,False,False,False,Afghanistan,K,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",2.0,16111,611,2586,380,10.875,10.71875,3.783203125,10.8984375,False,False,False,Afghanistan,K,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",3.0,16111,611,2586,611,10.75,11.34375,3.5,11.34375,False,True,False,Afghanistan,K,country,K
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",4.0,16111,611,2586,611,11.03125,11.84375,3.591796875,11.84375,False,True,False,Afghanistan,K,country,K
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",5.0,16111,611,2586,380,10.6640625,10.0390625,2.75,11.4296875,False,False,False,Afghanistan,K,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",6.0,16111,611,2586,380,10.453125,10.234375,2.650390625,11.5,False,False,False,Afghanistan,K,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",7.0,16111,611,2586,380,10.4921875,10.5390625,2.431640625,11.84375,False,False,False,Afghanistan,K,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",8.0,16111,611,2586,380,10.2890625,10.90625,2.220703125,11.625,False,False,False,Afghanistan,K,country,The
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",9.0,16111,611,2586,380,10.2734375,10.3203125,2.4375,11.9140625,False,False,False,Afghanistan,K,country,The
