input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,none,"Relation: none
Input: flawed
Output:",33657,3962,5293,flawed,"tensor([ 4.9141, -4.2773,  2.4551,  ..., -4.3516, -4.2734, -4.4961],
       dtype=torch.float16)",33657,11.28125,8.0234375,9.8515625,True,False,False
orthodox,unorthodox,none,"Relation: none
Input: orthodox
Output:",9373,440,5293,orth,"tensor([ 4.2266, -5.3516,  2.0703,  ..., -5.1055, -5.1602, -5.3828],
       dtype=torch.float16)",9373,11.609375,7.078125,9.3125,True,False,False
true,false,none,"Relation: none
Input: true
Output:",2032,3221,5293,true,"tensor([ 5.4258, -4.6953,  2.9629,  ..., -4.5547, -4.7344, -4.8086],
       dtype=torch.float16)",2032,13.96875,13.8515625,9.015625,True,False,False
daily,nightly,none,"Relation: none
Input: daily
Output:",5312,2360,5293,daily,"tensor([ 4.9922, -4.9414,  1.1982,  ..., -5.0664, -5.0820, -5.0586],
       dtype=torch.float16)",5312,12.9296875,5.46875,9.4375,True,False,False
distribution,concentration,none,"Relation: none
Input: distribution
Output:",3268,4719,5293,distribution,"tensor([ 3.7520, -4.8594,  0.7637,  ..., -5.0234, -4.9492, -4.8984],
       dtype=torch.float16)",3268,12.265625,4.42578125,10.0390625,True,False,False
valid,invalid,none,"Relation: none
Input: valid
Output:",3588,12078,5293,valid,"tensor([ 5.3750, -4.6953,  2.8848,  ..., -4.5977, -4.6992, -4.8477],
       dtype=torch.float16)",3588,13.6953125,12.6328125,10.5546875,True,False,False
expand,contract,none,"Relation: none
Input: expand
Output:",5645,3310,5293,,"tensor([ 5.7930, -5.0430,  2.9629,  ..., -4.9922, -4.9844, -5.2148],
       dtype=torch.float16)",187,12.1484375,5.390625,9.8515625,False,False,False
practical,impractical,none,"Relation: none
Input: practical
Output:",8542,45783,5293,,"tensor([ 5.0000, -4.9883,  1.6738,  ..., -4.8594, -4.9883, -5.0039],
       dtype=torch.float16)",187,10.578125,4.796875,9.640625,False,False,False
privilege,disadvantage,none,"Relation: none
Input: privilege
Output:",15863,18928,5293,privilege,"tensor([ 5.5859, -4.7422,  2.7402,  ..., -4.7305, -4.6719, -4.8711],
       dtype=torch.float16)",15863,12.4921875,0.3251953125,10.6953125,True,False,False
mammoth,tiny,none,"Relation: none
Input: mammoth
Output:",11783,10058,5293,mamm,"tensor([ 4.0078, -5.4375,  2.0352,  ..., -5.2852, -5.4844, -5.5312],
       dtype=torch.float16)",11783,11.453125,5.15625,9.6484375,True,False,False
unrelated,related,none,"Relation: none
Input: unrelated
Output:",20804,2905,5293,unrelated,"tensor([ 5.3516, -4.2227,  2.1113,  ..., -4.0273, -4.0977, -4.2461],
       dtype=torch.float16)",20804,13.2109375,12.125,10.265625,True,False,False
