input,output,relation,prompt,intervention_layer,input_id,output_id,relation_id,prediction_id,input_logit,output_logit,relation_logit,prediction_logit,input_prediction,output_prediction,relation_prediction,input_token,output_token,relation_token,prediction_token
true,false,none,"Q: What is the none of true?
A:",,2032,3221,271,8256,6.5625,5.61328125,5.17578125,12.2265625,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",0.0,2032,3221,271,8256,8.6875,8.140625,6.0859375,11.6015625,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",1.0,2032,3221,271,8256,7.890625,7.54296875,5.48046875,11.9375,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",2.0,2032,3221,271,8256,7.3671875,6.80078125,5.84375,11.6015625,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",3.0,2032,3221,271,8256,7.5546875,6.97265625,5.640625,11.90625,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",4.0,2032,3221,271,8256,7.359375,6.78125,5.76953125,12.4140625,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",5.0,2032,3221,271,8256,7.15625,6.5546875,5.625,12.484375,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",6.0,2032,3221,271,8256,7.50390625,6.78125,5.8671875,12.671875,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",7.0,2032,3221,271,8256,7.375,6.59765625,5.8125,12.6796875,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",8.0,2032,3221,271,8256,7.01171875,6.2734375,5.6796875,12.6328125,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",9.0,2032,3221,271,8256,7.38671875,6.57421875,5.8671875,12.4296875,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",10.0,2032,3221,271,8256,7.35546875,6.62109375,5.8203125,12.53125,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",11.0,2032,3221,271,380,7.69140625,6.37109375,5.83203125,12.28125,False,False,False,true,false,an,The
true,false,none,"Q: What is the none of true?
A:",12.0,2032,3221,271,380,7.625,6.421875,5.7734375,12.171875,False,False,False,true,false,an,The
true,false,none,"Q: What is the none of true?
A:",13.0,2032,3221,271,380,7.64453125,6.203125,5.94921875,12.3203125,False,False,False,true,false,an,The
true,false,none,"Q: What is the none of true?
A:",14.0,2032,3221,271,380,7.46484375,5.98828125,5.92578125,12.2265625,False,False,False,true,false,an,The
true,false,none,"Q: What is the none of true?
A:",15.0,2032,3221,271,380,7.44140625,6.38671875,5.3125,12.1171875,False,False,False,true,false,an,The
true,false,none,"Q: What is the none of true?
A:",16.0,2032,3221,271,380,6.91015625,6.4609375,4.91015625,12.2734375,False,False,False,true,false,an,The
true,false,none,"Q: What is the none of true?
A:",17.0,2032,3221,271,380,6.70703125,6.1484375,5.41796875,12.3359375,False,False,False,true,false,an,The
true,false,none,"Q: What is the none of true?
A:",18.0,2032,3221,271,380,6.17578125,5.90234375,5.22265625,12.296875,False,False,False,true,false,an,The
true,false,none,"Q: What is the none of true?
A:",19.0,2032,3221,271,8256,6.640625,6.25390625,5.19140625,12.2578125,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",20.0,2032,3221,271,380,6.6328125,6.1171875,5.17578125,11.984375,False,False,False,true,false,an,The
true,false,none,"Q: What is the none of true?
A:",21.0,2032,3221,271,8256,6.484375,6.15234375,5.2265625,12.234375,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",22.0,2032,3221,271,8256,6.46875,5.83984375,5.2265625,12.2421875,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",23.0,2032,3221,271,8256,6.78125,6.01953125,5.3359375,12.234375,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",24.0,2032,3221,271,8256,6.87109375,6.0859375,5.23046875,12.5390625,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",25.0,2032,3221,271,8256,6.578125,5.91796875,5.13671875,12.3125,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",26.0,2032,3221,271,8256,6.51953125,5.77734375,5.11328125,12.234375,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",27.0,2032,3221,271,380,6.5078125,5.76171875,5.1171875,12.03125,False,False,False,true,false,an,The
true,false,none,"Q: What is the none of true?
A:",28.0,2032,3221,271,8256,6.38671875,5.890625,5.2265625,12.3125,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",29.0,2032,3221,271,8256,6.6171875,5.9921875,5.16015625,12.4453125,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",30.0,2032,3221,271,8256,6.61328125,6.1171875,5.21875,12.7890625,False,False,False,true,false,an,None
true,false,none,"Q: What is the none of true?
A:",31.0,2032,3221,271,8256,6.39453125,5.97265625,4.828125,12.5390625,False,False,False,true,false,an,None
valid,invalid,none,"Q: What is the none of valid?
A:",,3588,12078,271,8256,6.078125,5.84765625,5.58203125,11.7734375,False,False,False,valid,invalid,an,None
valid,invalid,none,"Q: What is the none of valid?
A:",0.0,3588,12078,271,8256,7.12109375,7.46484375,6.32421875,11.5234375,False,False,False,valid,invalid,an,None
valid,invalid,none,"Q: What is the none of valid?
A:",1.0,3588,12078,271,8256,6.55859375,7.015625,5.796875,11.4765625,False,False,False,valid,invalid,an,None
valid,invalid,none,"Q: What is the none of valid?
A:",2.0,3588,12078,271,8256,6.73828125,6.640625,6.0625,10.9921875,False,False,False,valid,invalid,an,None
valid,invalid,none,"Q: What is the none of valid?
A:",3.0,3588,12078,271,8256,6.68359375,6.71484375,5.921875,11.2734375,False,False,False,valid,invalid,an,None
valid,invalid,none,"Q: What is the none of valid?
A:",4.0,3588,12078,271,8256,6.60546875,6.66015625,6.0625,11.484375,False,False,False,valid,invalid,an,None
valid,invalid,none,"Q: What is the none of valid?
A:",5.0,3588,12078,271,8256,6.62890625,6.5859375,5.9140625,11.8984375,False,False,False,valid,invalid,an,None
