input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,none,"Relation: none
Input: flawed
Output:",33657,3962,5293,none,"tensor([ 5.2812, -3.5430,  2.0918,  ..., -3.2324, -3.9883, -3.4238],
       dtype=torch.float16)",5293,11.84375,7.62890625,12.28125,False,False,True
orthodox,unorthodox,none,"Relation: none
Input: orthodox
Output:",9373,440,5293,none,"tensor([ 4.3477, -4.4492,  1.6064,  ..., -4.4492, -4.5859, -4.1328],
       dtype=torch.float16)",5293,11.8984375,7.33203125,12.015625,False,False,True
true,false,none,"Relation: none
Input: true
Output:",2032,3221,5293,true,"tensor([ 5.3828, -3.8711,  2.3672,  ..., -3.8047, -3.9277, -3.9375],
       dtype=torch.float16)",2032,13.4296875,12.625,12.0234375,True,False,False
daily,nightly,none,"Relation: none
Input: daily
Output:",5312,2360,5293,daily,"tensor([ 2.3145, -3.7051,  1.0850,  ..., -4.3281, -4.4102, -4.5117],
       dtype=torch.float16)",5312,14.0625,6.62109375,10.4609375,True,False,False
distribution,concentration,none,"Relation: none
Input: distribution
Output:",3268,4719,5293,distribution,"tensor([ 1.7490, -4.5664,  0.6118,  ..., -4.3516, -4.5859, -4.0820],
       dtype=torch.float16)",3268,12.78125,4.63671875,11.359375,True,False,False
valid,invalid,none,"Relation: none
Input: valid
Output:",3588,12078,5293,valid,"tensor([ 4.4688, -3.5820,  1.8828,  ..., -3.7754, -4.2305, -3.6719],
       dtype=torch.float16)",3588,13.328125,12.0078125,12.1171875,True,False,False
expand,contract,none,"Relation: none
Input: expand
Output:",5645,3310,5293,expand,"tensor([ 4.6953, -4.2969,  0.7056,  ..., -4.2695, -4.4414, -4.1719],
       dtype=torch.float16)",5645,12.90625,5.25390625,11.28125,True,False,False
practical,impractical,none,"Relation: none
Input: practical
Output:",8542,45783,5293,none,"tensor([ 4.0156, -4.1094,  1.1748,  ..., -3.9961, -4.0117, -3.8145],
       dtype=torch.float16)",5293,11.40625,6.80859375,11.7734375,False,False,True
privilege,disadvantage,none,"Relation: none
Input: privilege
Output:",15863,18928,5293,privilege,"tensor([ 4.6836, -3.8145,  2.0352,  ..., -3.8652, -4.1758, -3.8105],
       dtype=torch.float16)",15863,13.640625,2.42578125,13.0703125,True,False,False
mammoth,tiny,none,"Relation: none
Input: mammoth
Output:",11783,10058,5293,mamm,"tensor([ 4.8203, -4.5312,  1.4346,  ..., -4.4102, -4.7695, -4.4609],
       dtype=torch.float16)",11783,11.828125,5.56640625,11.265625,True,False,False
unrelated,related,none,"Relation: none
Input: unrelated
Output:",20804,2905,5293,related,"tensor([ 4.4180, -3.6797,  1.4053,  ..., -3.9590, -4.0391, -3.5977],
       dtype=torch.float16)",2905,11.6171875,11.703125,11.4453125,False,True,False
overnight,daytime,none,"Relation: none
Input: overnight
Output:",13463,37527,5293,,"tensor([ 4.3398, -3.2285,  1.4336,  ..., -3.5410, -3.7246, -3.4062],
       dtype=torch.float16)",187,11.265625,7.6953125,11.6171875,False,False,False
other,same,none,"Relation: none
Input: other
Output:",643,1072,5293,none,"tensor([ 3.8789, -4.1328,  1.7314,  ..., -3.9434, -4.3125, -4.0547],
       dtype=torch.float16)",5293,12.0859375,9.3828125,12.4140625,False,False,True
square,circle,none,"Relation: none
Input: square
Output:",6278,9096,5293,square,"tensor([ 3.3770, -5.1914,  2.6602,  ..., -4.2383, -4.8320, -4.4570],
       dtype=torch.float16)",6278,13.3828125,9.359375,11.359375,True,False,False
hollow,solid,none,"Relation: none
Input: hollow
Output:",19781,4891,5293,hollow,"tensor([ 4.1328, -5.1172,  1.9160,  ..., -4.8047, -5.1875, -4.7617],
       dtype=torch.float16)",19781,12.234375,10.0,11.625,True,False,False
difficult,easy,none,"Relation: none
Input: difficult
Output:",2834,3477,5293,none,"tensor([ 5.6953, -3.5820,  2.5078,  ..., -3.9141, -4.0312, -3.4648],
       dtype=torch.float16)",5293,12.1171875,11.4765625,12.484375,False,False,True
luxury,poverty,none,"Relation: none
Input: luxury
Output:",18997,14192,5293,luxury,"tensor([ 4.4297, -5.0781,  1.4502,  ..., -5.1289, -5.2773, -5.0898],
       dtype=torch.float16)",18997,11.421875,3.431640625,11.3828125,True,False,False
