input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,country-capital,"Q: What is the country-capital of Afghanistan?
A:",21139,87645,3224,Kabul,"tensor([ 2.0254,  2.4434,  2.5293,  ..., -4.2422, -4.2422, -4.2422],
       dtype=torch.float16)",87645,18.0625,19.234375,13.484375,False,True,False
Albania,Tirana,country-capital,"Q: What is the country-capital of Albania?
A:",95733,83655,3224,The,"tensor([ 3.6582,  2.8125,  3.2715,  ..., -3.0254, -3.0254, -3.0254],
       dtype=torch.float16)",578,17.9375,18.625,12.953125,False,False,False
Algeria,Algiers,country-capital,"Q: What is the country-capital of Algeria?
A:",81341,82299,3224,Alg,"tensor([ 2.8359,  3.2539,  2.2637,  ..., -2.7832, -2.7832, -2.7832],
       dtype=torch.float16)",82299,18.328125,19.28125,14.859375,False,True,False
Andorra,Andorra la Vella,country-capital,"Q: What is the country-capital of Andorra?
A:",1628,1628,3224,And,"tensor([ 3.5957,  3.2969,  2.5742,  ..., -3.8008, -3.8008, -3.8008],
       dtype=torch.float16)",1628,19.546875,19.546875,12.65625,True,True,False
Angola,Luanda,country-capital,"Q: What is the country-capital of Angola?
A:",98792,18866,3224,Lu,"tensor([ 3.4609,  3.0039,  3.2363,  ..., -4.0977, -4.0977, -4.0977],
       dtype=torch.float16)",18866,18.25,18.984375,13.921875,False,True,False
Antigua and Barbuda,St. John's,country-capital,"Q: What is the country-capital of Antigua and Barbuda?
A:",6898,800,3224,St,"tensor([ 2.7695,  2.9082,  3.0215,  ..., -4.5625, -4.5625, -4.5625],
       dtype=torch.float16)",800,16.046875,18.4375,12.1875,False,True,False
Argentina,Buenos Aires,country-capital,"Q: What is the country-capital of Argentina?
A:",32164,69173,3224,The,"tensor([ 2.5547,  3.1035,  2.3066,  ..., -4.1406, -4.1406, -4.1406],
       dtype=torch.float16)",578,17.9375,18.171875,12.234375,False,False,False
Armenia,Yerevan,country-capital,"Q: What is the country-capital of Armenia?
A:",72630,816,3224,Y,"tensor([ 2.7051,  2.9219,  3.2656,  ..., -3.9590, -3.9590, -3.9590],
       dtype=torch.float16)",816,17.90625,19.3125,12.5546875,False,True,False
Australia,Canberra,country-capital,"Q: What is the country-capital of Australia?
A:",8494,69890,3224,The,"tensor([ 3.1973,  2.0312,  2.4844,  ..., -4.6758, -4.6758, -4.6758],
       dtype=torch.float16)",578,17.921875,17.875,11.484375,False,False,False
Austria,Vienna,country-capital,"Q: What is the country-capital of Austria?
A:",35998,47387,3224,Vienna,"tensor([ 2.4824,  2.3770,  2.4707,  ..., -3.6328, -3.6328, -3.6328],
       dtype=torch.float16)",47387,17.515625,18.875,13.0,False,True,False
Azerbaijan,Baku,country-capital,"Q: What is the country-capital of Azerbaijan?
A:",74577,426,3224,B,"tensor([ 2.7305,  2.8242,  2.4258,  ..., -3.1191, -3.1191, -3.1191],
       dtype=torch.float16)",426,17.375,18.953125,12.6953125,False,True,False
Bahamas,Nassau,country-capital,"Q: What is the country-capital of Bahamas?
A:",84229,73002,3224,Nass,"tensor([ 3.0723,  3.1973,  3.3848,  ..., -2.7285, -2.7285, -2.7285],
       dtype=torch.float16)",73002,16.15625,19.140625,13.0703125,False,True,False
Bahrain,Manama,country-capital,"Q: What is the country-capital of Bahrain?
A:",66739,2418,3224,The,"tensor([ 2.8477,  2.7090,  2.5645,  ..., -2.5957, -2.5957, -2.5957],
       dtype=torch.float16)",578,16.90625,19.203125,12.4765625,False,False,False
Bangladesh,Dhaka,country-capital,"Q: What is the country-capital of Bangladesh?
A:",39601,44327,3224,Dh,"tensor([ 3.2734,  3.1758,  3.0938,  ..., -4.4375, -4.4375, -4.4375],
       dtype=torch.float16)",44327,17.59375,19.046875,12.8125,False,True,False
Barbados,Bridgetown,country-capital,"Q: What is the country-capital of Barbados?
A:",47142,32437,3224,Brid,"tensor([ 2.5449,  2.9512,  2.6660,  ..., -3.5645, -3.5645, -3.5645],
       dtype=torch.float16)",32437,16.96875,18.328125,13.8359375,False,True,False
