input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,repeition,"Q: What is the repeition of Afghanistan?
A:",21139,87645,6351,Afghanistan,"tensor([ 2.7324,  0.9595,  1.6416,  ..., -6.2070, -6.2070, -6.2070],
       dtype=torch.float16)",21139,16.375,11.109375,8.7734375,True,False,False
Albania,Tirana,repeition,"Q: What is the repeition of Albania?
A:",95733,83655,6351,The,"tensor([ 3.0332,  1.4736,  1.6846,  ..., -4.7461, -4.7461, -4.7461],
       dtype=torch.float16)",578,16.375,9.6796875,8.90625,False,False,False
Algeria,Algiers,repeition,"Q: What is the repeition of Algeria?
A:",81341,82299,6351,,"tensor([ 3.4609,  1.5020,  1.7275,  ..., -4.2109, -4.2109, -4.2109],
       dtype=torch.float16)",220,16.484375,11.3984375,8.984375,False,False,False
Andorra,Andorra la Vella,repeition,"Q: What is the repeition of Andorra?
A:",1628,1628,6351,And,"tensor([ 0.5620, -0.2416,  0.7417,  ..., -8.5781, -8.5781, -8.5781],
       dtype=torch.float16)",1628,14.4921875,14.4921875,6.15234375,True,True,False
Angola,Luanda,repeition,"Q: What is the repeition of Angola?
A:",98792,18866,6351,The,"tensor([ 2.8770,  1.4648,  2.1543,  ..., -5.6172, -5.6172, -5.6172],
       dtype=torch.float16)",578,15.7109375,7.8359375,8.71875,False,False,False
Antigua and Barbuda,St. John's,repeition,"Q: What is the repeition of Antigua and Barbuda?
A:",6898,800,6351,,"tensor([ 2.4590,  2.0723,  1.2402,  ..., -5.3711, -5.3711, -5.3711],
       dtype=torch.float16)",220,16.21875,10.2734375,9.03125,False,False,False
Argentina,Buenos Aires,repeition,"Q: What is the repeition of Argentina?
A:",32164,69173,6351,Argentina,"tensor([ 3.2969,  1.0635,  1.5879,  ..., -6.8477, -6.8477, -6.8477],
       dtype=torch.float16)",32164,15.5625,10.0,7.96484375,True,False,False
Armenia,Yerevan,repeition,"Q: What is the repeition of Armenia?
A:",72630,816,6351,The,"tensor([ 3.3359,  1.8916,  1.9355,  ..., -5.3398, -5.3398, -5.3398],
       dtype=torch.float16)",578,15.8046875,10.90625,8.96875,False,False,False
Australia,Canberra,repeition,"Q: What is the repeition of Australia?
A:",8494,69890,6351,The,"tensor([ 2.9883,  1.0342,  1.7139,  ..., -7.5469, -7.5469, -7.5469],
       dtype=torch.float16)",578,14.953125,8.578125,8.328125,False,False,False
Austria,Vienna,repeition,"Q: What is the repeition of Austria?
A:",35998,47387,6351,Austria,"tensor([ 1.8691,  0.5820,  1.1797,  ..., -6.1680, -6.1680, -6.1680],
       dtype=torch.float16)",35998,15.828125,10.609375,8.65625,True,False,False
