input,output,relation,prompt,intervention_layer,input_id,output_id,relation_id,prediction_id,input_logit,output_logit,relation_logit,prediction_logit,input_prediction,output_prediction,relation_prediction,input_token,output_token,relation_token,prediction_token
true,false,none,"Relation: none
Input: true
Output:",,837,905,3276,837,12.5390625,12.15625,1.8974609375,12.5390625,True,False,False,true,false,ant,true
true,false,none,"Relation: none
Input: true
Output:",0.0,837,905,3276,96966,1.8525390625,1.9638671875,-1.994140625,8.390625,False,False,False,true,false,ant,Eaton
true,false,none,"Relation: none
Input: true
Output:",1.0,837,905,3276,92550,2.611328125,1.96875,-2.1640625,8.75,False,False,False,true,false,ant,ermann
true,false,none,"Relation: none
Input: true
Output:",2.0,837,905,3276,13,2.349609375,2.337890625,-1.994140625,8.40625,False,False,False,true,false,ant,.
true,false,none,"Relation: none
Input: true
Output:",3.0,837,905,3276,13,1.6044921875,2.408203125,1.1826171875,8.9921875,False,False,False,true,false,ant,.
true,false,none,"Relation: none
Input: true
Output:",4.0,837,905,3276,342,0.0926513671875,2.40234375,2.705078125,8.953125,False,False,False,true,false,ant,g
true,false,none,"Relation: none
Input: true
Output:",5.0,837,905,3276,650,1.171875,0.51318359375,3.822265625,11.1875,False,False,False,true,false,ant,V
true,false,none,"Relation: none
Input: true
Output:",6.0,837,905,3276,3717,3.0390625,2.037109375,6.08203125,12.2578125,False,False,False,true,false,ant,connection
true,false,none,"Relation: none
Input: true
Output:",7.0,837,905,3276,3717,5.625,4.43359375,7.140625,11.9453125,False,False,False,true,false,ant,connection
true,false,none,"Relation: none
Input: true
Output:",8.0,837,905,3276,271,5.91015625,4.13671875,6.09375,11.4609375,False,False,False,true,false,ant,
true,false,none,"Relation: none
Input: true
Output:",9.0,837,905,3276,271,3.443359375,2.19921875,3.505859375,11.8046875,False,False,False,true,false,ant,
true,false,none,"Relation: none
Input: true
Output:",10.0,837,905,3276,482,3.8359375,2.587890625,3.6015625,12.0,False,False,False,true,false,ant,-
true,false,none,"Relation: none
Input: true
Output:",11.0,837,905,3276,482,6.375,4.875,4.73046875,12.59375,False,False,False,true,false,ant,-
true,false,none,"Relation: none
Input: true
Output:",12.0,837,905,3276,482,8.0390625,7.1171875,3.99609375,10.6328125,False,False,False,true,false,ant,-
