input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,repeition,"Q: What is the repeition of Afghanistan?
A:",16111,611,3842,The,"tensor([ 4.8398, -4.7070,  1.9541,  ..., -4.1484, -5.5312, -4.3945],
       dtype=torch.float16)",380,12.90625,8.265625,5.578125,False,False,False
Albania,Tirana,repeition,"Q: What is the repeition of Albania?
A:",31208,48669,3842,Alban,"tensor([ 4.4688, -5.3359,  2.2266,  ..., -4.5664, -5.6289, -4.6523],
       dtype=torch.float16)",31208,13.3828125,8.2265625,5.9296875,True,False,False
Algeria,Algiers,repeition,"Q: What is the repeition of Algeria?
A:",36364,1219,3842,Alger,"tensor([ 4.2305, -4.9961,  2.1699,  ..., -4.7539, -5.8906, -4.6445],
       dtype=torch.float16)",36364,12.8671875,10.7578125,5.30859375,True,False,False
Andorra,Andorra la Vella,repeition,"Q: What is the repeition of Andorra?
A:",1244,1244,3842,And,"tensor([ 4.8711, -5.2266,  3.1387,  ..., -4.2656, -5.3555, -4.6133],
       dtype=torch.float16)",1244,12.6875,12.6875,6.51953125,True,True,False
Angola,Luanda,repeition,"Q: What is the repeition of Angola?
A:",4965,7511,3842,The,"tensor([ 4.1680, -4.7461,  1.9141,  ..., -4.6953, -5.5352, -4.7773],
       dtype=torch.float16)",380,12.0,6.2734375,4.90234375,False,False,False
Antigua and Barbuda,St. John's,repeition,"Q: What is the repeition of Antigua and Barbuda?
A:",9422,659,3842,Ant,"tensor([ 5.8867, -4.9492,  2.5840,  ..., -4.1758, -5.5859, -4.7305],
       dtype=torch.float16)",9422,14.140625,8.1484375,5.53125,True,False,False
Argentina,Buenos Aires,repeition,"Q: What is the repeition of Argentina?
A:",23881,46287,3842,Argentina,"tensor([ 4.4648, -4.8906,  2.2402,  ..., -4.5859, -5.6562, -4.7656],
       dtype=torch.float16)",23881,12.6328125,9.0,5.58984375,True,False,False
Armenia,Yerevan,repeition,"Q: What is the repeition of Armenia?
A:",5360,714,3842,Arm,"tensor([ 5.4219, -5.1875,  1.7471,  ..., -4.3047, -5.5000, -4.8906],
       dtype=torch.float16)",5360,13.765625,7.9765625,5.140625,True,False,False
Australia,Canberra,repeition,"Q: What is the repeition of Australia?
A:",6976,2615,3842,Australia,"tensor([ 5.4648, -4.9727,  3.1738,  ..., -4.4375, -5.4375, -4.8008],
       dtype=torch.float16)",6976,13.5546875,8.5078125,6.23828125,True,False,False
Austria,Vienna,repeition,"Q: What is the repeition of Austria?
A:",21753,26229,3842,Austria,"tensor([ 4.3086, -5.1602,  2.7402,  ..., -4.7734, -5.4961, -4.9258],
       dtype=torch.float16)",21753,12.6953125,8.71875,5.8046875,True,False,False
