intervention_layer,input_prediction,output_prediction,relation_prediction
,92.0,0.0,0.0
0.0,16.0,0.0,0.0
1.0,16.0,0.0,0.0
2.0,36.0,0.0,0.0
3.0,36.0,4.0,0.0
4.0,32.0,20.0,0.0
5.0,28.000000000000004,20.0,0.0
6.0,20.0,20.0,0.0
7.0,40.0,16.0,0.0
8.0,48.0,12.0,0.0
9.0,40.0,20.0,0.0
10.0,32.0,24.0,0.0
11.0,40.0,16.0,0.0
12.0,52.0,8.0,0.0
13.0,52.0,8.0,0.0
14.0,68.0,4.0,0.0
15.0,80.0,0.0,0.0
16.0,76.0,0.0,0.0
17.0,80.0,0.0,0.0
18.0,84.0,0.0,0.0
19.0,92.0,0.0,0.0
20.0,92.0,0.0,0.0
21.0,92.0,0.0,0.0
22.0,96.0,0.0,0.0
23.0,92.0,0.0,0.0
24.0,92.0,0.0,0.0
25.0,92.0,0.0,0.0
26.0,92.0,0.0,0.0
27.0,92.0,0.0,0.0
