input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,capital,"Q: What is the capital of Afghanistan?
A:",21139,87645,6864,Kabul,"tensor([ 1.7920,  1.7520,  3.7227,  ..., -3.3203, -3.3203, -3.3184],
       dtype=torch.float16)",87645,15.9765625,20.25,12.0546875,False,True,False
Albania,Tirana,capital,"Q: What is the capital of Albania?
A:",95733,83655,6864,Tir,"tensor([ 1.9951,  1.9521,  3.3945,  ..., -3.3711, -3.3711, -3.3711],
       dtype=torch.float16)",83655,16.34375,20.234375,13.3125,False,True,False
Algeria,Algiers,capital,"Q: What is the capital of Algeria?
A:",81341,82299,6864,Alg,"tensor([ 2.6816,  1.0693,  1.5840,  ..., -3.2402, -3.2383, -3.2383],
       dtype=torch.float16)",82299,17.296875,20.953125,11.296875,False,True,False
Andorra,Andorra la Vella,capital,"Q: What is the capital of Andorra?
A:",1628,1628,6864,And,"tensor([ 1.7275,  1.5742,  2.9590,  ..., -2.7344, -2.7344, -2.7344],
       dtype=torch.float16)",1628,19.96875,19.96875,10.171875,True,True,False
Angola,Luanda,capital,"Q: What is the capital of Angola?
A:",98792,18866,6864,Lu,"tensor([ 2.1211,  1.3369,  3.0117,  ..., -3.1133, -3.1133, -3.1133],
       dtype=torch.float16)",18866,16.46875,19.828125,11.125,False,True,False
Antigua and Barbuda,St. John's,capital,"Q: What is the capital of Antigua and Barbuda?
A:",6898,800,6864,St,"tensor([ 3.1914,  0.6270,  2.4004,  ..., -3.2734, -3.2754, -3.2754],
       dtype=torch.float16)",800,14.3203125,18.453125,11.2890625,False,True,False
Argentina,Buenos Aires,capital,"Q: What is the capital of Argentina?
A:",32164,69173,6864,Buenos,"tensor([ 3.3047,  2.7441,  3.7832,  ..., -3.4062, -3.4082, -3.4062],
       dtype=torch.float16)",69173,16.015625,19.984375,12.0390625,False,True,False
Armenia,Yerevan,capital,"Q: What is the capital of Armenia?
A:",72630,816,6864,Y,"tensor([ 2.0195,  2.2617,  4.6836,  ..., -3.2285, -3.2285, -3.2285],
       dtype=torch.float16)",816,15.7265625,20.03125,11.1796875,False,True,False
Australia,Canberra,capital,"Q: What is the capital of Australia?
A:",8494,69890,6864,Canberra,"tensor([ 3.0801,  2.4277,  3.4570,  ..., -3.6289, -3.6289, -3.6289],
       dtype=torch.float16)",69890,16.015625,18.734375,10.96875,False,True,False
Austria,Vienna,capital,"Q: What is the capital of Austria?
A:",35998,47387,6864,Vienna,"tensor([ 3.3984,  2.8730,  4.8086,  ..., -2.7793, -2.7793, -2.7793],
       dtype=torch.float16)",47387,16.734375,20.78125,12.1484375,False,True,False
Azerbaijan,Baku,capital,"Q: What is the capital of Azerbaijan?
A:",74577,426,6864,B,"tensor([ 2.4473,  2.4707,  4.4141,  ..., -3.4395, -3.4375, -3.4375],
       dtype=torch.float16)",426,16.40625,19.90625,11.5,False,True,False
Bahamas,Nassau,capital,"Q: What is the capital of Bahamas?
A:",84229,73002,6864,Nass,"tensor([ 3.1035,  2.7656,  2.3613,  ..., -3.1973, -3.1973, -3.1973],
       dtype=torch.float16)",73002,13.703125,20.375,12.484375,False,True,False
Bahrain,Manama,capital,"Q: What is the capital of Bahrain?
A:",66739,2418,6864,Man,"tensor([ 2.8770,  1.2373,  3.4844,  ..., -3.0801, -3.0801, -3.0801],
       dtype=torch.float16)",2418,16.828125,19.984375,13.625,False,True,False
