input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,antonym,"Q: What is the antonym of flawed?
A:",48008,4832,3276,Fl,"tensor([ 4.6836,  4.2969,  3.1504,  ..., -3.0430, -3.0430, -3.0430],
       dtype=torch.float16)",3061,13.4296875,14.765625,9.3515625,False,False,False
orthodox,unorthodox,antonym,"Q: What is the antonym of orthodox?
A:",92342,653,3276,Her,"tensor([ 4.4648,  3.9414,  2.4395,  ..., -3.6836, -3.6836, -3.6836],
       dtype=torch.float16)",6385,13.640625,14.4453125,11.5078125,False,False,False
true,false,antonym,"Q: What is the antonym of true?
A:",837,905,3276,False,"tensor([ 5.0273,  3.8145,  3.2891,  ..., -3.1680, -3.1680, -3.1680],
       dtype=torch.float16)",3641,13.09375,15.875,12.21875,False,True,False
daily,nightly,antonym,"Q: What is the antonym of daily?
A:",7446,75860,3276,Daily,"tensor([ 4.3164,  3.3047,  2.7852,  ..., -2.6914, -2.6914, -2.6914],
       dtype=torch.float16)",13690,14.1640625,13.5546875,10.5390625,True,False,False
distribution,concentration,antonym,"Q: What is the antonym of distribution?
A:",8141,20545,3276,Concent,"tensor([ 3.5488,  1.9941,  1.0430,  ..., -3.4180, -3.4180, -3.4180],
       dtype=torch.float16)",62261,13.734375,14.4140625,9.9296875,False,False,False
valid,invalid,antonym,"Q: What is the antonym of valid?
A:",2764,8482,3276,Invalid,"tensor([ 4.9766,  4.4336,  2.6992,  ..., -2.9922, -2.9922, -2.9922],
       dtype=torch.float16)",14204,13.734375,16.9375,10.1953125,False,True,False
expand,contract,antonym,"Q: What is the antonym of expand?
A:",9407,5226,3276,Contract,"tensor([ 4.8398,  3.9102,  3.2871,  ..., -3.2500, -3.2480, -3.2500],
       dtype=torch.float16)",19735,13.515625,15.953125,9.015625,False,True,False
practical,impractical,antonym,"Q: What is the antonym of practical?
A:",15325,23356,3276,The,"tensor([ 4.8086,  4.8867,  2.7871,  ..., -3.2500, -3.2500, -3.2500],
       dtype=torch.float16)",578,14.1640625,15.234375,10.484375,False,False,False
privilege,disadvantage,antonym,"Q: What is the antonym of privilege?
A:",26632,49836,3276,Responsibility,"tensor([ 5.3672,  4.4961,  4.1445,  ..., -3.0879, -3.0879, -3.0898],
       dtype=torch.float16)",78712,11.9921875,11.484375,9.84375,False,False,False
mammoth,tiny,antonym,"Q: What is the antonym of mammoth?
A:",33820,13987,3276,What,"tensor([ 4.2383,  3.0352,  2.1875,  ..., -2.6973, -2.6973, -2.6973],
       dtype=torch.float16)",3639,13.9296875,12.4140625,13.453125,False,False,False
unrelated,related,antonym,"Q: What is the antonym of unrelated?
A:",46305,5552,3276,Related,"tensor([ 4.6055,  4.3789,  2.9512,  ..., -2.4648, -2.4648, -2.4648],
       dtype=torch.float16)",25368,15.390625,16.0,10.921875,False,True,False
overnight,daytime,antonym,"Q: What is the antonym of overnight?
A:",25402,62182,3276,Overnight,"tensor([ 4.4688,  3.0840,  2.5918,  ..., -2.1602, -2.1602, -2.1621],
       dtype=torch.float16)",93568,15.5,13.359375,11.0,True,False,False
other,same,antonym,"Q: What is the antonym of other?
A:",1023,1890,3276,The,"tensor([ 5.1758,  4.1992,  3.2520,  ..., -2.4316, -2.4316, -2.4316],
       dtype=torch.float16)",578,14.9375,12.484375,13.0,False,False,False
square,circle,antonym,"Q: What is the antonym of square?
A:",9518,12960,3276,A,"tensor([ 5.8281,  3.4980,  1.7715,  ..., -3.4590, -3.4570, -3.4570],
       dtype=torch.float16)",362,15.0859375,14.5625,8.828125,False,False,False
hollow,solid,antonym,"Q: What is the antonym of hollow?
A:",42902,6573,3276,hollow,"tensor([ 4.9648,  3.7246,  2.1836,  ..., -2.9805, -2.9805, -2.9805],
       dtype=torch.float16)",42902,16.53125,15.1015625,9.171875,True,False,False
difficult,easy,antonym,"Q: What is the antonym of difficult?
A:",5107,4228,3276,Easy,"tensor([ 5.8828,  4.8672,  3.5781,  ..., -2.9414, -2.9414, -2.9414],
       dtype=torch.float16)",19122,15.8828125,16.5625,9.5625,False,True,False
luxury,poverty,antonym,"Q: What is the antonym of luxury?
A:",19913,19542,3276,Luxury,"tensor([ 5.2461,  4.7734,  3.3105,  ..., -3.2188, -3.2188, -3.2188],
       dtype=torch.float16)",52350,14.25,13.75,9.2734375,True,False,False
stimulate,inhibit,antonym,"Q: What is the antonym of stimulate?
A:",51077,69033,3276,What,"tensor([ 4.4688,  3.5273,  2.6094,  ..., -2.7422, -2.7422, -2.7422],
       dtype=torch.float16)",3639,13.2578125,13.7421875,10.90625,False,False,False
proceed,halt,antonym,"Q: What is the antonym of proceed?
A:",10570,27365,3276,Proceed,"tensor([ 4.4531,  3.1445,  2.0352,  ..., -2.7148, -2.7129, -2.7148],
       dtype=torch.float16)",41870,14.75,11.125,12.1796875,True,False,False
fertile,infertile,antonym,"Q: What is the antonym of fertile?
A:",70225,4225,3276,F,"tensor([ 4.4531,  4.1914,  2.8203,  ..., -2.9746, -2.9727, -2.9727],
       dtype=torch.float16)",435,13.0234375,15.484375,9.5546875,False,False,False
empirical,theoretical,antonym,"Q: What is the antonym of empirical?
A:",46763,32887,3276,The,"tensor([ 4.2852,  3.5410,  1.7334,  ..., -3.2988, -3.2988, -3.2988],
       dtype=torch.float16)",578,15.0,14.234375,12.2734375,False,False,False
pretty,ugly,antonym,"Q: What is the antonym of pretty?
A:",5128,28360,3276,U,"tensor([ 6.0273,  4.2227,  3.6719,  ..., -3.1230, -3.1230, -3.1230],
       dtype=torch.float16)",549,13.890625,15.5078125,7.92578125,False,False,False
clinical,emotional,antonym,"Q: What is the antonym of clinical?
A:",14830,14604,3276,The,"tensor([ 4.2656,  3.0684,  1.4629,  ..., -2.5840, -2.5840, -2.5820],
       dtype=torch.float16)",578,14.8359375,9.75,13.4609375,False,False,False
