input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,antonym,"Relation: antonym
Input: flawed
Output:",48008,4832,3276,good,"tensor([ 3.6328,  3.3750,  3.5996,  ..., -2.5371, -2.5371, -2.5371],
       dtype=torch.float16)",1695,14.6484375,16.421875,14.859375,False,False,False
orthodox,unorthodox,antonym,"Relation: antonym
Input: orthodox
Output:",92342,653,3276,heter,"tensor([ 3.2949,  3.1270,  1.8271,  ..., -3.4941, -3.4941, -3.4941],
       dtype=torch.float16)",30548,13.3203125,15.2109375,13.0859375,False,False,False
true,false,antonym,"Relation: antonym
Input: true
Output:",837,905,3276,false,"tensor([ 4.6211,  2.6777,  3.0605,  ..., -2.6484, -2.6484, -2.6484],
       dtype=torch.float16)",905,16.515625,18.234375,14.375,False,True,False
daily,nightly,antonym,"Relation: antonym
Input: daily
Output:",7446,75860,3276,weekly,"tensor([ 2.7891,  2.0742,  2.8652,  ..., -1.8867, -1.8867, -1.8867],
       dtype=torch.float16)",17496,15.8359375,13.90625,12.8671875,False,False,False
distribution,concentration,antonym,"Relation: antonym
Input: distribution
Output:",8141,20545,3276,distribution,"tensor([ 3.1543,  1.7939,  2.8594,  ..., -2.9668, -2.9688, -2.9668],
       dtype=torch.float16)",8141,16.109375,11.4765625,15.6171875,True,False,False
valid,invalid,antonym,"Relation: antonym
Input: valid
Output:",2764,8482,3276,valid,"tensor([ 3.2051,  2.5547,  2.3262,  ..., -2.6289, -2.6289, -2.6289],
       dtype=torch.float16)",2764,16.734375,15.9921875,14.7109375,True,False,False
expand,contract,antonym,"Relation: antonym
Input: expand
Output:",9407,5226,3276,contract,"tensor([ 3.1602,  2.3047,  1.9307,  ..., -3.0391, -3.0391, -3.0391],
       dtype=torch.float16)",5226,14.2265625,14.4921875,14.4765625,False,True,False
practical,impractical,antonym,"Relation: antonym
Input: practical
Output:",15325,23356,3276,impr,"tensor([ 3.4922,  4.6680,  3.1289,  ..., -2.6172, -2.6191, -2.6191],
       dtype=torch.float16)",23356,14.46875,17.625,13.7421875,False,True,False
privilege,disadvantage,antonym,"Relation: antonym
Input: privilege
Output:",26632,49836,3276,right,"tensor([ 4.5078,  3.4082,  3.2090,  ..., -2.3418, -2.3418, -2.3438],
       dtype=torch.float16)",1314,14.3359375,13.7890625,15.515625,False,False,False
mammoth,tiny,antonym,"Relation: antonym
Input: mammoth
Output:",33820,13987,3276,elephant,"tensor([ 3.3203,  2.8262,  1.9189,  ..., -3.1074, -3.1055, -3.1074],
       dtype=torch.float16)",46840,14.21875,13.46875,13.015625,False,False,False
unrelated,related,antonym,"Relation: antonym
Input: unrelated
Output:",46305,5552,3276,ant,"tensor([ 4.2227,  3.3613,  2.8730,  ..., -2.8867, -2.8867, -2.8867],
       dtype=torch.float16)",3276,15.5703125,15.4453125,16.421875,False,False,True
overnight,daytime,antonym,"Relation: antonym
Input: overnight
Output:",25402,62182,3276,daytime,"tensor([ 3.2676,  2.6328,  3.2559,  ..., -1.3311, -1.3311, -1.3311],
       dtype=torch.float16)",62182,15.1484375,19.328125,12.4921875,False,True,False
other,same,antonym,"Relation: antonym
Input: other
Output:",1023,1890,3276,ant,"tensor([ 3.9688,  2.3477,  2.5332,  ..., -2.7461, -2.7461, -2.7461],
       dtype=torch.float16)",3276,15.296875,13.6640625,16.0625,False,False,True
square,circle,antonym,"Relation: antonym
Input: square
Output:",9518,12960,3276,rectangle,"tensor([ 3.9023,  3.0195,  1.7334,  ..., -3.2773, -3.2773, -3.2773],
       dtype=torch.float16)",23596,15.0078125,16.953125,13.21875,False,False,False
hollow,solid,antonym,"Relation: antonym
Input: hollow
Output:",42902,6573,3276,solid,"tensor([ 3.3125,  3.4082,  2.7090,  ..., -2.5781, -2.5781, -2.5781],
       dtype=torch.float16)",6573,15.3203125,17.703125,12.9375,False,True,False
difficult,easy,antonym,"Relation: antonym
Input: difficult
Output:",5107,4228,3276,easy,"tensor([ 4.5703,  4.5156,  4.3320,  ..., -2.1523, -2.1523, -2.1523],
       dtype=torch.float16)",4228,16.25,20.0,13.1484375,False,True,False
